n,texto_senalado,comentario,hora_04_08,patron,estado
1,Atlas,Agregar qué es el atlas y/o el objetivo,16:23,A · definir el término,RESUELTO por Diego
2,familias,A qué se denomina familias,16:22,A · definir el término,RESUELTO por Diego
3,directorio,a que se llama directorio?,16:24,A · definir el término,ABIERTO
4,"Cada zona se relevó de una manera distinta,",cuales son las formas de relevo y conteo?,16:25,C · el método,ABIERTO · resuelto en la V3 con las secciones III y IV
5,para leer el territorio,leer el territorio (qué significa) o buscar otra forma de decirlo,16:27,A · jerga,"RESUELTO por Diego · la expresión se eliminó, tenía 58 apariciones"
6,Las 22 zonas de este Atlas no salieron de un cálculo automático sobre toda la Ciudad. Salieron de un…,luego vemos la redacción y explicarlo de otra forma,16:31,C · el método,ABIERTO
7,a mejor fuente,la mejor fuente posible: cuál es?,16:33,A · definir el término,RESUELTO por Diego
8,"Los contornos dibujados ayudan a leer el territorio: marcan dónde hay oferta, no dónde termina un barrio",explicar las áreas en positivo. dice lo q no es,16:39,B · definición por la negativa,ABIERTO
9,No ordena las zonas de mejor a peor ni mide cuál rinde más.,otra vez negativo,16:39,B · definición por la negativa,ABIERTO
10,repartida,reemplazar: distribuidas,16:40,D · precisión de lenguaje,RESUELTO por Diego
11,Palermo,Son parte de Palermo (barrio/ comuna)?,16:42,D · nomenclatura,RESUELTO por Diego
