establecimiento,direccion,dice_el_insumo,lo_que_dice_la_capa,hito_id,registro
Bar El Colonial,Av. Belgrano 599,NO,YA ESTABA EN LA CAPA,H008,"Bar Notable, anexo 1225/26"
Bar Seddon,Defensa 695,NO,YA ESTABA EN LA CAPA,H015,"Bar Notable + Sitio de Interes Cultural, norma 287/00, ano 2000"
Cabildo de Buenos Aires,Peru 86,NO,YA ESTABA EN LA CAPA,H020,"Bar Notable, anexo 1225/26"
El Querandi,Peru 302,NO,YA ESTABA EN LA CAPA,H053,"Bar Notable, anexo 1225/26"
London City,Av. de Mayo 599,NO,YA ESTABA EN LA CAPA,H073,"Bar Notable, anexo 1225/26"
Gran Cafe Gardel,ochava Av. Entre Rios e Independencia,NO,alta nueva,,"1935, 91 anos"
Centro Asturiano de Buenos Aires,Solis 475,NO,alta nueva,,casa regional con restaurante
Centro Laurak Bat (Restaurante Haritz),Av. Belgrano 1144,NO,alta nueva,,casa regional vasca con restaurante propio
Miramar,Sarandi 1190 / Av. San Juan 1999 (misma ochava),a medias,YA ESTABA EN LA CAPA,H078,"Bar Notable, anexo 1225/26, Y Restaurante Iconico (16, 07/07/2026)"
Casal de Catalunya,Chacabuco 863,NO,alta nueva,,casa regional
