nombre,archivo
Palermo,palermo.png
Avenida Corrientes,avenida_corrientes.png
San Telmo,san_telmo.png
Puerto Madero,puerto_madero.png
Belgrano,belgrano.png
Recoleta,recoleta.png
Costanera Norte,costanera_norte.png
Villa Crespo,villa_crespo.png
Chacarita · Colegiales · Federico Lacroze,chacarita_colegiales_federico_lacroze.png
Caballito,caballito.png
Boulevard Caseros,boulevard_caseros.png
Microcentro,microcentro.png
Abasto,abasto.png
Avenida Boedo,avenida_boedo.png
Devoto,devoto.png
Donado–Holmberg,donado_holmberg.png
Villa Urquiza,villa_urquiza.png
García del Río,garcia_del_rio.png
La Paternal,la_paternal.png
Flores · Avellaneda y Pasaje Ruperto Godoy,flores_avellaneda_y_pasaje_ruperto_godoy.png
Villa Santa Rita,villa_santa_rita.png
Monte Castro,monte_castro.png
Villa Luro,villa_luro.png
Liniers · Mercado Andino,liniers_mercado_andino.png
Mataderos,mataderos.png
Balvanera · Once,balvanera_once.png
Almagro,almagro.png
Parque Avellaneda,parque_avellaneda.png
Baek-ku · Barrio Coreano,baek_ku_barrio_coreano.png
Nueva Pompeya y Parque Patricios,nueva_pompeya_y_parque_patricios.png
Núñez,nunez.png
Villa Ortúzar,villa_ortuzar.png
Retiro,retiro.png
Monserrat y Congreso,monserrat_y_congreso.png
Barracas · Av. Montes de Oca,barracas_av_montes_de_oca.png
"Barracas · Iriarte, California y Vieytes",barracas_iriarte_california_y_vieytes.png
La Boca · Almirante Brown y Necochea,la_boca_almirante_brown_y_necochea.png
La Boca · Caminito y Vuelta de Rocha,la_boca_caminito_y_vuelta_de_rocha.png
Nueva Pompeya · eje Av. Sáenz,nueva_pompeya_eje_av_saenz.png
