id_externa,id_matriz_original,fuente,grupo,universo_sugerido,que_aporta,acceso_real,api_open_data,legalidad_riesgo,granularidad,cobertura_caba,prioridad_original,prioridad_normalizada,puntaje,camino_recomendado,accion_concreta,url,permite_scraping
E01,G01,Google Places API / Nearby + Details,POI / directorio comercial,externa_publica_o_api,"Locales publicados en Google Maps: nombre, dirección, coordenadas, categoría, estado del negocio, rating, cantidad de reseñas, horarios, teléfono, web, precios y atributos como dine-in/delivery/takeout/outdoor seating.",API oficial paga con Google Cloud y billing.,Sí: Places API (New).,"Medio: permitido vía API, pero con restricciones fuertes de almacenamiento/caché/atribución. No usar scraping de Google Maps.",Local individual / Place ID.,"Muy alta, pero no es padrón oficial ni confirma habilitación.",Alta,alta,3.1,"Pilotear con grilla por comunas/barrios usando Search Nearby y Details con campos mínimos. Guardar place_id, fecha de consulta e indicadores permitidos; revisar TOS antes de persistir campos.","Pedir autorización para crear un proyecto Google Cloud del área, cargar presupuesto mensual chico, y definir 2 comunas piloto: San Nicolás y Palermo.",https://developers.google.com/maps/documentation/places/web-service/place-details,no
E02,G02,Google Places Aggregate API,POI / conteos agregados,externa_publica_o_api,"Conteos y Place IDs de lugares por área, tipo, estado operativo, precio y rating. Sirve para densidad por polígono sin depender de un padrón propio.",API oficial paga; requiere Google Cloud.,Sí: Places Aggregate API.,Medio: usar según condiciones de Google; mejor para análisis agregados que para guardar directorios completos.,Área/polígono; Place IDs si el conteo es bajo.,Muy alta.,Alta,alta,3.1,Usarla como capa de benchmarking: conteos por comuna/barrio/radio turístico y comparación con F01/F02/F03.,Sumar a la hoja de ruta como alternativa más institucional que scraping para responder 'cuántos restaurantes activos visibles en Google hay por zona'.,https://developers.google.com/maps/documentation/places-aggregate/overview,no
E03,G03,Google Business Profile API + Performance,Datos opt-in de comercios,externa_publica_o_api,"Información y métricas de perfiles verificados: vistas, búsquedas, acciones, llamadas, rutas, reviews y datos de la ficha, pero sólo para comercios que autoricen acceso.",API oficial con permisos del dueño/administrador de cada perfil; no sirve para extraer todos los locales de CABA sin consentimiento.,"Sí, con OAuth/permisos.",Bajo si hay consentimiento explícito de comercios; alto si se intenta acceder sin autorización.,Local individual autorizado.,Variable; depende de comercios adheridos.,Alta,alta,2.95,Piloto voluntario con 20-50 restaurantes BA Capital Gastronómica/Distrito del Vino para medir visibilidad digital.,Proponer a jefa un formulario de adhesión donde los restaurantes autoricen lectura de métricas agregadas de Google Business Profile.,https://developers.google.com/my-business/reference/performance/rest,no
E04,G04,Google Popular Times,Flujo/demanda estimada,no_recomendada,Horarios populares y ocupación relativa visibles en Maps.,No encontré API oficial pública para Popular Times. Scraping o librerías no oficiales tienen riesgo alto.,No oficial.,Alto: no usar en pipeline institucional sin revisión legal.,"Local individual, si se scrapea.","Alta visualmente, pero no explotable de forma segura.",No hacer todavía,baja,0.95,"Mencionar como deseable, pero reemplazar por convenios de movilidad/pagos o Google Places Aggregate.",No pedir a Codex scraping de Popular Times. Pedir antes validación legal o contacto institucional con Google.,https://developers.google.com/maps/documentation/places/web-service/place-details,no
E05,O01,OpenStreetMap / Overpass API,POI abierto,externa_publica_o_api,"Puntos y polígonos etiquetados como restaurant, cafe, bar, fast_food, pub, biergarten, food_court, etc.; también tags de cuisine, opening_hours, website, takeaway.",Abierto/gratuito con límites de uso razonables.,Sí: Overpass API / OSM extracts.,"Bajo, respetando ODbL/atribución y límites de servidores públicos.",Nodo/way/relación.,Media-alta pero heterogénea; depende de comunidad.,Alta,alta,3.55,"Integrar como F07 de contraste abierto, no como padrón oficial. Comparar con F01/F02 y detectar zonas subrepresentadas.","Pedir a Codex una fuente F07_OSM con query Overpass para CABA, normalización de tags y match por nombre/dirección/coordenada.",https://wiki.openstreetmap.org/wiki/Overpass_API,no
E06,F01,Foursquare Places API / FSQ Places,POI comercial,externa_privada_convenio,"Directorio de POIs, categorías, cadenas, atributos y datos de lugares. Alternativa a Google con condiciones comerciales distintas.",API/producto comercial; puede requerir plan o contacto.,"Sí, producto de Foursquare.",Bajo-medio vía contrato/API; no scraping.,Local individual / FSQ ID.,A validar con muestra.,Media-alta,alta,2.5,Hacer prueba de cobertura en CABA vs Google/OSM antes de pagar.,Solicitar demo o trial institucional con caso de uso: mapa de oferta gastronómica CABA.,https://docs.foursquare.com/data-products/docs/places-api,no
E07,Y01,Yelp Places API,Reviews / POI,externa_publica_o_api,"Búsqueda de negocios, detalle, rating, precio, horarios, reseñas limitadas, delivery/transactions y engagement metrics en productos específicos.","API oficial, pero cobertura en Argentina puede ser baja.",Sí.,Bajo vía API y términos.,Local individual / Yelp ID.,Probablemente baja-media; validar.,Media-baja,baja,1.6,Usar sólo si muestra piloto devuelve cobertura útil.,No priorizar antes que Google/OSM/Rappi/PedidosYa/Mercado Pago.,https://docs.developer.yelp.com/docs/places-intro,no
E08,T01,Tripadvisor / Terra API,Turismo / reviews,externa_privada_convenio,"Señal turística de restaurantes: presencia, rating/reviews y potencial de atractivo para visitantes.",Producto developer/comercial; legacy Content API tiene sunset anunciado y migración a Terra.,Sí/comercial.,Bajo si se usa API/contrato; riesgo si se scrapea.,Local individual.,"Buena para circuito turístico, menor para barrios no turísticos.",Media,media,1.65,"Usar para capa de turismo gastronómico, no para universo total.",Pedir acceso/demo a Terra sólo si el área quiere medir posicionamiento turístico.,https://www.tripadvisor.com/developers,no
E09,D01,Rappi,Delivery / demanda real,externa_privada_convenio,"Locales activos en plataforma, pedidos, GMV, ticket promedio, tiempo de preparación, cancelaciones, disponibilidad, horarios, zonas de entrega, categorías/cocinas.",No encontré API pública institucional; los datos relevantes requieren convenio o exportación de merchant/partner dashboards.,No pública para este caso.,Bajo con convenio y datos agregados/anonimizados; alto si scraping masivo de app/web.,Ideal: local-mes o comuna-semana; nunca datos personales.,Alta en delivery.,Muy alta,alta,2.95,"Convenio de datos agregados, no scraping. Pedir mínimos: cantidad de comercios activos por comuna/rubro y pedidos/ticket agregado por mes.","Armar pedido institucional de 1 página: objetivo público, campos agregados, privacidad, periodicidad mensual, beneficio para sector.",https://www.rappi.com.ar/,no
E10,D02,PedidosYa / Delivery Hero,Delivery / demanda real,externa_privada_convenio,"Locales activos, pedidos, GMV, ticket, zonas, horarios, cancelaciones, tiempos y performance por categoría/territorio.",No encontré API pública para uso gubernamental; requiere convenio/exportación de PedidosYa o Delivery Hero.,No pública para este caso.,Bajo con convenio y agregación; alto con scraping.,Comuna/barrio-mes; local si hay autorización o anonimización fuerte.,Muy alta en delivery.,Muy alta,alta,2.95,Mismo paquete de convenio que Rappi; pedir datos agregados comparables entre plataformas.,Preparar mail formal desde Dirección/Subsecretaría pidiendo reunión de 30 min con equipo de public affairs/data.,https://www.pedidosya.com.ar/,no
E11,MP01,Mercado Pago APIs / Point / QR / Reportes,Pagos / actividad económica,externa_privada_convenio,"Pagos presenciales y online de comercios adheridos: cantidad de transacciones, montos, ticket promedio, medios de pago, sucursales/cajas/QR/Point. Es una de las mejores señales de actividad económica si se consigue agregada.",API oficial para cuentas propias o integraciones; datos de toda CABA requieren convenio con Mercado Pago.,Sí para merchant/integrador; no para datos agregados públicos.,"Bajo con convenio, agregación y anonimización; proteger datos fiscales/comerciales.",Comercio/caja/QR si autorizado; ideal comuna-rubro-mes.,Muy alta potencialmente.,Muy alta,alta,2.95,"Pedir dashboard/CSV mensual anonimizado: actividad gastronómica por comuna/rubro, no datos personales ni CUIT visibles.",Escalar como fuente F08 candidata: 'actividad económica real agregada'. Pedir sponsor político/institucional para convenio.,https://www.mercadopago.com.ar/developers/es/reference,no
E12,ML01,Mercado Libre Marketplace,E-commerce / proveedores,externa_publica_o_api,"Oferta de equipamiento, insumos y productos gastronómicos; puede servir para precios de referencia de insumos/equipamiento, no para medir restaurantes activos.","APIs de marketplace públicas/para desarrolladores, pero valor indirecto.","Sí, con foco marketplace.",Bajo vía API; evitar scraping.,Publicación/producto/vendedor.,"Alta para vendedores/productos, no necesariamente locales gastronómicos.",Baja,baja,1.6,No mezclar con universo de restaurantes. Usar sólo si surge línea de costos/insumos.,"Dejarlo en backlog, no en MVP.",https://developers.mercadolibre.com.ar/,no
E13,P01,"Adquirentes y redes de pago: Prisma/Payway, Fiserv, Getnet, MODO, Naranja X, bancos",Pagos / consumo agregado,externa_privada_convenio,"Transacciones por rubro, monto, ticket promedio, tarjetas nacionales/extranjeras, temporalidad, impacto de eventos y zonas de consumo.",Sólo convenio; no API pública para gobierno.,No pública.,"Medio: requiere anonimización, umbrales mínimos y aprobación legal.",Comuna/rubro/semana o mes; nunca persona ni tarjeta.,Muy alta si se suman varios adquirentes.,Alta,alta,2.3,Mesa institucional con Banco Ciudad + procesadores para dataset agregado recurrente.,Pedir a jefa si existe vínculo con Banco Ciudad/Desarrollo Económico para abrir conversación de datos agregados de consumo gastronómico.,,no
E14,POS01,"Sistemas POS gastronómicos: Fudo, Maxirest, Bistrosoft, Tango/Dragonfish, etc.",Ventas operativas / restaurantes,externa_privada_convenio,"Ventas, comandas, ticket promedio, ocupación de mesas, productos vendidos, horarios pico. Excelente para pilotos voluntarios.",Convenio con proveedores o restaurantes opt-in.,Depende del proveedor.,Bajo con consentimiento; medio por sensibilidad comercial.,Local-día/hora si autorizado; ideal agregado.,"Alta en locales profesionalizados, menor en pequeños.",Alta,alta,2.95,"Piloto con 20 locales voluntarios de distintos barrios. No pedir facturación individual pública, sino indicadores agregados.",Preguntar internamente si BA Capital Gastronómica tiene restaurantes aliados dispuestos a participar.,,no
