bloque,titulo,archivo,numero_viejo,numero_nuevo,proyecto,estado,nota
1,Presentacion,desde_cowork/ATLAS_V3_SECCIONES_I_IV_VII.md,I,I,comun a los dos,ESCRITA,"Sirve a los dos proyectos. Pendiente el ajuste de cifras que anuncia la cabecera de ATLAS_V3_SECCIONES_II_V_VI_IX.md."
2,Que es un polo gastronomico (v1),desde_cowork/ATLAS_V3_SECCIONES_I_IV_VII.md,II,-,A (las 124),SUPERADA,"Presentaba los tres criterios de admision como si fueran la definicion de polo. No lo son: son el criterio del instrumento geometrico. La reemplaza el bloque 3."
3,Que es un polo gastronomico (reescrita),desde_cowork/evidencia_2026/ATLAS_V3_SECCIONES_II_V_VI_IX.md,II,II,B (las 41),ESCRITA,"Reescritura completa. Agrega la definicion de polo, las seis vias de entrada y las dos maneras de medir."
4,De donde salen los datos,desde_cowork/ATLAS_V3_SECCIONES_I_IV_VII.md,III,III,comun a los dos,ESCRITA,"Sin cambios entre las dos numeraciones."
5,Como se leyo el territorio,desde_cowork/ATLAS_V3_SECCIONES_I_IV_VII.md,IV,IV,comun a los dos,ESCRITA,"Sin cambios entre las dos numeraciones."
6,Los referentes de la Ciudad,desde_cowork/evidencia_2026/ATLAS_V3_SECCIONES_II_V_VI_IX.md,-,V,B (las 41),ESCRITA,"NUEVA. No tiene equivalente en la numeracion vieja: la capa de referentes con vigencia fechada no existia como objeto el 6 de agosto."
7,Las comunidades y el territorio,desde_cowork/evidencia_2026/ATLAS_V3_SECCIONES_II_V_VI_IX.md,-,VI,B (las 41),ESCRITA,"NUEVA. Idem: los 15 enclaves delimitados son producto de la fase documental."
8,La Ciudad comuna por comuna (apertura),desde_cowork/ATLAS_V3_SECCIONES_V_VI.md,V,-,A (las 124),SUPERADA COMO CUERPO,"Es el cuerpo del proyecto A: 124 fichas agrupadas POR COMUNA. Escrita solo la apertura ('Como leer estas paginas', 'Sobre los nombres', 'Sobre los numeros'). El cuerpo nunca se escribio. Si gana la salida (a), esta apertura se recicla para el anexo tabular."
9,Las referencias una por una,desde_cowork/evidencia_2026/FICHAS_SECCION_VII_TANDA_1.md,-,VII,B (las 41),PARCIAL 11 de 41,"Es el cuerpo del proyecto B: 41 fichas en prosa agrupadas POR ORIGEN. Tanda 1 escrita el 09/08: R01 a R11, once fichas. Faltan 30. NO es lo mismo que el bloque 8 aunque los dos ocupen el lugar del cuerpo."
10,Lo que se midio y no alcanzo,desde_cowork/ATLAS_V3_SECCIONES_V_VI.md,VI,VIII,comun a los dos,ESCRITA COMPLETA,"Seis subsecciones, completa. La cabecera de la numeracion nueva la da como 'espera el cierre de las zonas', pero el texto esta escrito entero."
11,Que no dice este atlas (v1),desde_cowork/ATLAS_V3_SECCIONES_I_IV_VII.md,VII,-,A (las 124),SUPERADA,"La reemplaza el bloque 12."
12,Que no dice este atlas (actualizada),desde_cowork/evidencia_2026/ATLAS_V3_SECCIONES_II_V_VI_IX.md,VII,IX,B (las 41),ESCRITA,"Actualizada. Agrega 'Sus cifras no se obtienen sumando cualquier cosa' y cambia el remate sobre patrimonio por uno sobre densidad de referentes."
13,Nota metodologica,desde_cowork/ATLAS_V3_SECCIONES_V_VI.md,VIII,SIN LUGAR ASIGNADO,comun a los dos,ESCRITA Y HUERFANA,"ESTA ES LA UNICA FILA QUE NO CIERRA. El texto esta escrito y completo -en seis pasos, las cuatro reglas y que se publica junto con el documento-, y la tabla de numeracion nueva va de I a IX SIN INCLUIRLA. El handoff la daba por faltante y no falta: falta decidir donde va. Propuesta: anexo, o IX bis despues de 'Que no dice'."
