pagina,render,metodo_inspeccion,hallazgo,estado
1,render_tecnica/pagina_01.png,"render 150 dpi, página por página",Portada limpia; marca DGDGAS y titulo institucional; sin numero de edicion.,OK
2,render_tecnica/pagina_02.png,"render 150 dpi, página por página","Resumen ejecutivo abre con datos de la Ciudad: 22 referencias, 11 comunas, cinco familias y los cuatro grupos de cifras con su advertencia al lado.",OK
3,render_tecnica/pagina_03.png,"render 150 dpi, página por página",Indice en tres columnas; los encabezados de seccion no quedan huerfanos al pie; los 47 destinos resuelven.,OK
4,render_tecnica/pagina_04.png,"render 150 dpi, página por página",Ocho fichas de lectura con la clave de naturaleza de las cifras; regla general al pie.,OK
5,render_tecnica/pagina_05.png,"render 150 dpi, página por página","Cinco familias con muestra de color, trama y definicion en linea propia; una referencia por renglon a ancho completo, ninguna etiqueta cortada.",OK
6,render_tecnica/pagina_06.png,"render 150 dpi, página por página","Mapa general a pagina completa con anclas geograficas (numero de las 15 comunas, Rio de la Plata, Av. Gral. Paz y Riachuelo), advertencia de area vs volumen y tabla de 22 en dos columnas enlazada.",OK
7,render_tecnica/pagina_07.png,"render 150 dpi, página por página","R01: la ausencia de cifra aparece como linea secundaria en cuerpo normal, no como titular.",OK
8,render_tecnica/pagina_08.png,"render 150 dpi, página por página",R01: tres subzonas separadas y rotuladas; sin fusion entre ellas.,OK
9,render_tecnica/pagina_09.png,"render 150 dpi, página por página",Vista de detalle Las Canitas; zoom correcto sobre la subzona.,OK
10,render_tecnica/pagina_10.png,"render 150 dpi, página por página",Ficha doble R02/R03; ambas con linea secundaria de ausencia de cifra.,OK
11,render_tecnica/pagina_11.png,"render 150 dpi, página por página","R02: corredor continuo de punta a punta; Av. Corrientes, Callao y 9 de Julio rotuladas como calles de referencia.",OK
12,render_tecnica/pagina_12.png,"render 150 dpi, página por página",R03: contorno organico; desapareció el rectangulo de la edicion anterior.,OK
13,render_tecnica/pagina_13.png,"render 150 dpi, página por página",Vista contextual R02/R13; las dos formas separadas y rotuladas.,OK
14,render_tecnica/pagina_14.png,"render 150 dpi, página por página",Ficha doble R04/R06; R06 sin badge de antecedente por no tener cifra publicable.,OK
15,render_tecnica/pagina_15.png,"render 150 dpi, página por página","R04: los cuatro diques aparecen como huecos del poligono; el area excluye el espejo de agua y la linea de cierre lo declara con su fuente (D-A-10, BLOQUEADO-01 cerrado).",OK
16,render_tecnica/pagina_16.png,"render 150 dpi, página por página",R06: unidad continua con su hueco interno preservado.,OK
17,render_tecnica/pagina_17.png,"render 150 dpi, página por página",R05: badge de antecedente previo con simbolo propio.,OK
18,render_tecnica/pagina_18.png,"render 150 dpi, página por página",R05: las tres centralidades agrupadas y rotuladas una sola vez cada una; Av. Cabildo y Av. Juramento rotuladas.,OK
19,render_tecnica/pagina_19.png,"render 150 dpi, página por página",R07: badge de antecedente previo; cuatro componentes declarados.,OK
20,render_tecnica/pagina_20.png,"render 150 dpi, página por página","R07: cuatro componentes separados sobre el frente costero, sin conectores artificiales.",OK
21,render_tecnica/pagina_21.png,"render 150 dpi, página por página",R08: la ficha ocupa la columna completa y la linea de fuente cierra al pie; sin aire muerto en el tercio inferior.,OK
22,render_tecnica/pagina_22.png,"render 150 dpi, página por página","R08: envolvente organica con Thames y Gurruchaga rotuladas, las dos calles que nombra el texto de la pagina.",OK
23,render_tecnica/pagina_23.png,"render 150 dpi, página por página",Vista de detalle R08: los tres puntos de tope de relevamiento marcados con circulo punteado.,OK
24,render_tecnica/pagina_24.png,"render 150 dpi, página por página",Ficha doble R09/R10; ambas declaran que el mapa no cubre la totalidad de los registros.,OK
25,render_tecnica/pagina_25.png,"render 150 dpi, página por página","R09: los dos focos independientes, rotulados y sin envolvente comun; Av. Jorge Newbery y Av. Dorrego rotuladas.",OK
26,render_tecnica/pagina_26.png,"render 150 dpi, página por página","R10: los dos nucleos independientes, rotulados.",OK
27,render_tecnica/pagina_27.png,"render 150 dpi, página por página",Ficha doble R11/R13.,OK
28,render_tecnica/pagina_28.png,"render 150 dpi, página por página",R11: microcentralidad de tramo corto; no se extiende a Barracas.,OK
29,render_tecnica/pagina_29.png,"render 150 dpi, página por página",R13: forma suavizada con trazo punteado de area declarada.,OK
30,render_tecnica/pagina_30.png,"render 150 dpi, página por página",R12: ficha extensa; ocupa la columna completa y cierra al pie.,OK
31,render_tecnica/pagina_31.png,"render 150 dpi, página por página",R12: cinco subunidades separadas y rotuladas; sin medialunas residuales.,OK
32,render_tecnica/pagina_32.png,"render 150 dpi, página por página","Vista de detalle R12: aporta zoom y rotulos, pero se parece mucho al mapa principal.",OBSERVACION
33,render_tecnica/pagina_33.png,"render 150 dpi, página por página",Ficha doble R14/R15 con badge de cifra exacta.,OK
34,render_tecnica/pagina_34.png,"render 150 dpi, página por página",R14: eje de Boedo continuo a lo largo de la avenida.,OK
35,render_tecnica/pagina_35.png,"render 150 dpi, página por página",R15: polo de Devoto con sus huecos internos.,OK
36,render_tecnica/pagina_36.png,"render 150 dpi, página por página","Vista de detalle R15: el corpus no cierra geometria del nucleo, asi que la vista repite el polo completo. BLOQUEADO-03 se mantiene abierto por decision; la fuente oficial de Espacios Verdes solo confirma que Plaza Arenales esta en Villa Devoto, Comuna 11.",OBSERVACION
37,render_tecnica/pagina_37.png,"render 150 dpi, página por página",Ficha doble R16/R17.,OK
38,render_tecnica/pagina_38.png,"render 150 dpi, página por página","R16: doble eje fragmentado por tramos, con Donado y Holmberg rotuladas.",OK
39,render_tecnica/pagina_39.png,"render 150 dpi, página por página","R17: se dibuja el unico eje con trazado cerrado en el corpus. Monroe y Congreso se rotulan como calles de referencia del callejero oficial, no como ejes de producto: BLOQUEADO-02 se mantiene abierto por decision.",OBSERVACION
40,render_tecnica/pagina_40.png,"render 150 dpi, página por página",Ficha doble R18/R20 con badge de cota inferior.,OK
41,render_tecnica/pagina_41.png,"render 150 dpi, página por página","R18: disco de consulta de 400 m, sin punto central, con trazo punteado.",OK
42,render_tecnica/pagina_42.png,"render 150 dpi, página por página",R20: banda con esquinas ablandadas y extremos planos preservados; Av. Garcia del Rio y Av. Cabildo rotuladas.,OK
43,render_tecnica/pagina_43.png,"render 150 dpi, página por página",Vista de detalle R20: el control de Parque Saavedra se distingue del producto.,OK
44,render_tecnica/pagina_44.png,"render 150 dpi, página por página",R19: la ficha ocupa la columna completa y cierra al pie.,OK
45,render_tecnica/pagina_45.png,"render 150 dpi, página por página","R19: dos tramos independientes, rotulados y sin union artificial; Federico Lacroze, Cabildo, Libertador y Alvarez Thomas rotuladas.",OK
46,render_tecnica/pagina_46.png,"render 150 dpi, página por página",Vista de detalle R19: grafico completo y bloques en el mismo orden que el resto; corregido el corte de la edicion anterior.,OK
47,render_tecnica/pagina_47.png,"render 150 dpi, página por página",R21: la ficha ocupa la columna completa y cierra al pie.,OK
48,render_tecnica/pagina_48.png,"render 150 dpi, página por página",R21: tres piezas; los puntos de anclaje del buffer ya no se dibujan.,OK
49,render_tecnica/pagina_49.png,"render 150 dpi, página por página",R22: ficha con badge de cota inferior; ocupa la columna completa.,OK
50,render_tecnica/pagina_50.png,"render 150 dpi, página por página","R22: marco de relevamiento sin la grilla de calculo; rotulado como marco, no como area gastronomica.",OK
51,render_tecnica/pagina_51.png,"render 150 dpi, página por página",Anexo A 1 de 2: matriz R01-R11 completa y legible.,OK
52,render_tecnica/pagina_52.png,"render 150 dpi, página por página",Anexo A 2 de 2: matriz R12-R22 completa y legible.,OK
