archivo,polo,tipo_mapa,comprension_inmediata,jerarquia_visual,etiquetas,solapamientos,escala,leyenda,fondo,espacio_vacio,legibilidad_media_pagina,consistencia_texto_mapa,riesgo_malinterpretacion,clasificacion,uso_recomendado,hallazgos_principales,ajustes_imprescindibles
belgrano_01_mapa_analitico.png,BELGRANO,analitico,media,media,sin_rotulos_toponimicos,bajo,ok_500m,tecnica_F01_F02,callejero_sobrio,alto_este,media,alta_con_metodo,puntos_como_estado_legal,NO_USAR_EN_INFORME,anexo_metodologico,"Muestra multiparte y dualidad de fuentes; sin jerarquía de centralidades.","No usar en ficha política; si se anexa, renombrar F01/F02 en composición."
belgrano_02_mapa_presentacion.png,BELGRANO,presentacion,media,media,largas_y_compuestas,medio_en_etiqueta_principal,ok_500m,tecnica_F01_F02,callejero_sobrio,alto_este,media,media,"7_piezas_como_7_polos; Bajo_Belgrano_fusionado_con_centralidad_principal",AJUSTE_IMPORTANTE,cuerpo_tras_ajuste,"Etiqueta 'Barrio Chino–Belgrano C–Barrancas–Pasaje Echeverría / Bajo Belgrano' ilegible a media página; subtítulo con BEL-A; Belgrano R visible pero sin jerarquía visual distinta.","Acortar rótulos; separar Bajo Belgrano; quitar código BEL-A del subtítulo; pie institucional corto; opcional recorte de encuadre este."
belgrano_03_comparativo_modelos.png,BELGRANO,comparativo,baja,baja,solo_codigos_BEL,n/a,ok_500m_x3,ausente,callejero_sobrio,alto,baja,baja,no_se_ve_diferencia_de_modelos,NO_USAR_EN_INFORME,descartar_o_regenerar,"Tres paneles de puntos sin geometrías de modelo legibles; no demuestra por qué BEL-A supera a B/C.","No incorporar al PDF político hasta regenerar con polígonos de cada modelo."
belgrano_04_puntos_cobertura.png,BELGRANO,cobertura,baja,media,ausentes,bajo,ok_500m,ausente,callejero_sobrio,alto_este,media,media,simbolos_sin_clave,NO_USAR_EN_INFORME,anexo_si_se_agrega_leyenda,"Círculos y cuadrados sin leyenda; subtítulo de 'asignación' técnico.","Leyenda de incluidos/contexto/sin asignación o no usar."
belgrano_05_vacios_continuidad.png,BELGRANO,vacios,media,media,cotas_solapadas,alto_en_cotas,ok_500m,ausente,callejero_sobrio,alto_este,baja_media,alta_si_se_lee_subtitulo,segmentos_como_conectores,AJUSTE_IMPORTANTE,anexo_metodologico,"Subtítulo correcto (distancia no conector); cotas rojas superpuestas e ilegibles.","Reubicar cotas o tabla lateral de distancias; no cuerpo principal."
recoleta_01_mapa_analitico.png,RECOLETA,analitico,alta,media,ausentes,bajo,ok_250m,tecnica_F01_F02,callejero_sobrio,medio_norte,alta,alta,huecos_como_error,NO_USAR_EN_INFORME,anexo,"Excelente para ver unidad con huecos; jerga de fuentes.","Solo anexo; explicar huecos en pie si se usa."
recoleta_02_mapa_presentacion.png,RECOLETA,presentacion,alta,alta,unica_clara,bajo,ok_250m,tecnica_F01_F02,callejero_sobrio,medio_norte,alta,alta,envolvente_oficial_o_barrio,AJUSTE_MENOR,cuerpo_principal,"Mejor mapa de presentación de la corrida; forma irregular comprensible; subtítulo REC-A y banner EXPERIMENTAL debilitan.","Sustituir subtítulo y pie; suavizar leyenda F01/F02; mantener un solo nombre de polo."
recoleta_03_comparativo_modelos.png,RECOLETA,comparativo,alta,alta,codigos_REC,bajo,ok_250m_x3,ausente,callejero_sobrio,medio,media,alta,REC-C_como_varios_polos,LISTO_PARA_INFORME,anexo_o_caja_metodologica,"Único comparativo realmente legible: se ve continuidad REC-A vs corte REC-B vs multiparte REC-C.","Usar solo en método/anexo; no como ficha del polo."
recoleta_04_puntos_cobertura.png,RECOLETA,cobertura,media,media,ausentes,bajo,ok_250m,ausente,callejero_sobrio,medio,media,media,simbolos_sin_clave,NO_USAR_EN_INFORME,anexo_con_leyenda,"Estados de punto sin clave visual.","Agregar leyenda o no usar."
recoleta_05_vacios_continuidad.png,RECOLETA,vacios,media,media,cotas_solapadas,alto,ok_250m,ausente,callejero_sobrio,medio,baja_media,alta_si_se_lee_subtitulo,segmentos_como_ejes,AJUSTE_IMPORTANTE,anexo,"Cotas superpuestas en el centro de huecos.","Tabla de distancias o regeneración de rótulos; no cuerpo."
costanera_norte_01_mapa_analitico.png,COSTANERA_NORTE,analitico,media,media,ausentes,bajo,ok_500m,tecnica_F01_F02,callejero_sobrio,muy_alto_SW,media_baja,alta,naranja_como_informal,NO_USAR_EN_INFORME,anexo,"Cuatro tramos visibles sin nombre; dominio visual de puntos externos.","Anexo; no afirmar informalidad."
costanera_norte_02_mapa_presentacion.png,COSTANERA_NORTE,presentacion,media_baja,baja_media,un_solo_rotulo_en_SE,bajo,ok_500m,tecnica_F01_F02,callejero_sobrio,muy_alto_SW,baja_en_media_pagina,media,"un_solo_componente_o_mapa_vacio; CN-DEC10_en_subtitulo",AJUSTE_IMPORTANTE,cuerpo_tras_ajuste,"No identifica los cuatro componentes; el rótulo único en el extremo SE desbalancea la lectura multiparte.","Rótulos cortos por componente (nombres descriptivos o Componente 1–4); quitar CN-DEC10 del subtítulo; pie de vacíos estructurales; considerar zoom/encuadre o diagrama de apoyo."
costanera_norte_03_comparativo_modelos.png,COSTANERA_NORTE,comparativo,media,baja,codigo_CN-DEC10,bajo,ok_500m,ausente,callejero_sobrio,alto,media,media,pie_colisionado,NO_USAR_EN_INFORME,descartar,"Un solo panel (no compara modelos); footer ilegible (colisión texto); QA interno REVISAR.","No usar; redundante con 01/02."
costanera_norte_04_puntos_cobertura.png,COSTANERA_NORTE,cobertura,media,media,ausentes,bajo,ok_500m,ausente,callejero_sobrio,muy_alto,baja_media,media,simbolos_sin_clave,NO_USAR_EN_INFORME,anexo,"Pocos puntos; sin leyenda; no aporta al cuerpo.","No prioritario."
costanera_norte_05_vacios_continuidad.png,COSTANERA_NORTE,vacios,alta,alta,cotas_legibles,bajo_medio,ok_500m,ausente,callejero_sobrio,alto_pero_funcional,media,alta,segmentos_como_conectores_mitigado_por_subtitulo,AJUSTE_MENOR,anexo_o_caja_de_vacios,"Mejor mapa para defender discontinuidad y distancias; subtítulo correcto.","Pie corto; opcional acotar cotas a min entre vecinos; útil junto al texto DEC-05."
