organismo,campo,prioridad,uso_principal,publicable_en_atlas,observacion
AGC,id_autorizacion_o_unidad_uso,ALTA,enlace_estable,NO,"Solicitar la clave institucional vigente"
AGC,cuit,ALTA,enlace_de_titular,NO,"Señal de enlace; no equivale a establecimiento"
AGC,razon_social,ALTA,enlace_y_control_historico,NO,"Puede corresponder a persona física o jurídica"
AGC,nombre_comercial,ALTA,identidad_del_establecimiento,SI,"Publicar sólo después de validar sede"
AGC,domicilio_y_puertas,ALTA,identidad_territorial,SI,"Conservar todas las puertas asociadas"
AGC,clave_catastral,ALTA,control_de_unidad_de_uso,NO,"Partida matriz y otras claves disponibles"
AGC,codigo_y_descripcion_de_rubro,ALTA,clasificacion_gastronomica,SI,"Conservar código y texto original"
AGC,estado_administrativo,ALTA,interpretacion_de_vigencia,NO,"No equiparar automáticamente con apertura"
AGC,fechas_de_alta_actualizacion_y_baja,ALTA,cronologia,NO,"Necesarias para resolver cambios de ocupante"
AGC,vinculo_entre_tramites,ALTA,historia_administrativa,NO,"Alta; transmisión; modificación; baja"
IDECBA,id_unidad_economica,ALTA,enlace_estable,NO,"Preferentemente persistente entre operativos"
IDECBA,cuit,ALTA,enlace_entre_operativos,NO,"Señal de enlace; no equivale a sede"
IDECBA,razon_social,MEDIA,enlace_y_control,NO,"Complementa CUIT y nombre comercial"
IDECBA,nombre_comercial,ALTA,identidad_observada,SI,"Usar con fecha de observación"
IDECBA,domicilio_y_puerta,ALTA,identidad_territorial,SI,"Dato central para cruce con Atlas"
IDECBA,coordenada_o_referencia_cartografica,MEDIA,validacion_geografica,SI,"Sólo si forma parte del operativo"
IDECBA,codigo_y_descripcion_de_actividad,ALTA,clasificacion_gastronomica,SI,"Solicitar diccionario"
IDECBA,condicion_de_ocupacion,ALTA,estado_observado,SI,"No equivale a habilitación"
IDECBA,fecha_ultima_observacion,ALTA,recencia,SI,"Obligatoria para interpretar el registro"
IDECBA,cobertura_del_operativo,ALTA,evaluacion_de_sesgo,SI,"Manzanas; barrios; comunas y fecha"

