zona_id,nombre,estado_de_la_zona,pieza,dato_que_falta,frase_de_la_ficha_con_el_hueco,donde_esta_esa_frase,quien_lo_puede_conseguir,propuesta_de_redaccion,candidato_medido_NO_adoptado,nota
Z27,Villa Santa Rita,no,el conjunto,"Un rango de alturas sobre Av. Alvarez Jonte, o dos calles de corte.","«Puntos dispersos con anclaje en Av. Alvarez Jonte, que es el limite sur y oeste del barrio y no su columna interior.»",desde_cowork/evidencia_2026/fichas_corpus_polos.csv · campo perimetro_textual,Diego / relevamiento,,,"La ficha declara que la via de densidad NO abre -«seis locales dispersos en diez cuadras es un conjunto, no una densidad»-, asi que el hueco no es de redaccion: es que la zona todavia no tiene una concentracion que delimitar."
Z39,Parque Avellaneda,no,el anillo del parque,"O el rango de alturas sobre cada avenida -si es un corredor en L-, o cambiar la avenida: medido, Av. Olivera NO bordea el parque.","«El anillo del Parque Avellaneda, sobre Av. Olivera y Av. Lacarra.»",desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego (decision de lectura); el callejero ya dio la medicion,,la cara del parque mide 44.21 ha con 0 locales; frente sobre Av. Lacarra 911 m y sobre Av. Directorio 614 m; sobre Av. Olivera 0 m -> Av. Olivera la toca en un punto y NO la bordea,"RELECTURA DE LA FUENTE: Time Out habla de bodegones SOBRE Olivera y Lacarra, que es un corredor; «anillo» es palabra del atlas. Y las dos avenidas se cruzan en un punto: son dos lados de una esquina."
Z53,La Boca · Caminito y Vuelta de Rocha,no,el entorno de Caminito y la Vuelta de Rocha,"El tramo de Av. Don Pedro de Mendoza, en alturas o entre calles de corte.","«Entorno de Caminito y la Vuelta de Rocha, sobre Av. Don Pedro de Mendoza.»",desde_cowork/evidencia_2026/FICHAS_SUR_NUEVAS.md,Diego da el tramo; el callejero cierra el resto,,"Caminito SI esta en el callejero (141 m) y toca Av. Don Pedro de Mendoza a 0 m; la avenida (7,082 m) con el limite oficial del barrio cierra 3 cara(s): el objeto del sur existe, falta la extension","PROPUESTA PARA LA CARA DEL SUR: la Vuelta de Rocha no esta en el callejero porque es un recodo del Riachuelo, pero el objeto que cierra esa cara SI existe y es auditable: el limite oficial del barrio de La Boca sobre el Riachuelo, de caba_barrios.geojson, con sha256 y procedencia. Y Caminito SI esta en el callejero."
Z33,Mataderos,no,la Feria y el Mercado de Hacienda,Una extension. El texto da el cruce de dos avenidas y nada mas.,"«la Feria y el Mercado de Hacienda, en Av. Lisandro de la Torre y Av. de los Corrales»",desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,fuente publica: la Feria tiene perimetro de ocupacion declarado,,,La Feria ocupa calles cortadas los fines de semana: su perimetro es un dato administrativo que existe fuera del atlas.
Z33,Mataderos,no,el conjunto de referentes dispersos,"Una extension, y antes que eso la decision de si es una pieza o no.",«y un conjunto de referentes dispersos» · «sus dos piezas estan a mas de un kilometro»,desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego,,,La propia ficha dice que «una densidad promedio sobre el conjunto no describe ninguna de las dos».
Z35,Balvanera · Once,no,la zona entera,TODO el perimetro: la ficha no nombra ninguna calle.,"«Perimetro. En revision. Hay trayectoria e identidad de colectividad reales, y la densidad actual no esta documentada.»",desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,"quien escribe la ficha, sobre la propuesta medida de al lado","Eje Tucuman entre el 2379 y el 2755, ambas aceras, con transversal sobre Paso al 700.","TUCUMAN 2379-2755: eje 573 m -> 10 manzanas -> 15.31 ha, 51 locales | PASO 700-799: eje 243 m -> 4 manzanas -> 3.88 ha, 23 locales | union de las dos: 19.18 ha, 74 locales","REDACTADA desde las puertas que la propia ficha ya lista, todas del padron oficial de 2015: Sucat David (Tucuman 2379), El Jaial (2620), Al Galope (2633), Lalo Helueni (2755) y Yaffo Kosher (Paso 747). Las cinco resuelven en el callejero y Paso cruza el tramo. NO ADOPTADA: es una propuesta de redaccion, no una delimitacion, y el padron es de 2015."
Z40,Nueva Pompeya y Parque Patricios,no,Av. Caseros y el Distrito Tecnologico,Un rango de alturas sobre Av. Caseros.,"«Tres piezas: Av. Caseros y el Distrito Tecnologico, ...»",desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,"Diego; o fuente publica: la Ley 2972 fija el perimetro del Distrito Tecnologico, que el repositorio NO tiene",,"CASEROS AV. 2601-3199: eje 952 m -> 13 manzanas -> 29.67 ha, 60 locales","Los dos unicos numeros que el atlas ya tiene para esta pieza son el eje del IDECBA -Av. Caseros 2601-2999- y El Globito en el 3159. El candidato medido usa 2601-3199, y adoptarlo seria decidir que el polo coincide con el eje relevado: exactamente lo que Mataderos no dejo hacer."
Z40,Nueva Pompeya y Parque Patricios,no,Av. Saenz y el Mercado de Pompeya,Un rango de alturas sobre Av. Saenz.,"«..., Av. Saenz y el Mercado de Pompeya, ...»",desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego,,"SAENZ AV. 790-1399: eje 2,030 m -> 28 manzanas -> 39.39 ha, 52 locales",ES LA MISMA PIEZA QUE Z54. Candidatos en disco: el Mercado de Pompeya en Av. Saenz 790 y el eje del IDECBA 801-1399.
Z40,Nueva Pompeya y Parque Patricios,no,Barrio Charrua,"El cuarto borde, o el perimetro del Barrio General San Martin.","«tiene el mejor perimetro fisico del Atlas: Av. Bonorino, Av. Fernandez de la Cruz y las vias del Belgrano Sur»",desde_cowork/evidencia_2026/fichas_corpus_polos.csv · campo perimetro_textual,fuente publica: el perimetro del Barrio General San Martin,,"Av. Bonorino y Av. Fernandez de la Cruz SE CRUZAN (0 m); con el borde del barrio la cara mayor es 493.69 ha, o sea Nueva Pompeya entera (495.41 ha). No cierra el enclave.","MEDIDO Y NO CIERRA, por dos motivos: las vias del Belgrano Sur no son una linea del callejero -solo hay segmentos con marca de cruce-, y las dos avenidas SE CRUZAN. Con el borde del barrio como tercer lado la cara que sale es Nueva Pompeya entera. Y la ficha declara que ahi no hay oferta comercial documentada: sumarlo agregaria superficie sin locales."
Z54,Nueva Pompeya · eje Av. Saenz,no,el eje Av. Saenz,"La extension del eje. Una sola altura -el 790, que es el mercado- no es un tramo.","«Eje Av. Saenz, con nucleo en el Mercado de Pompeya, Av. Saenz 790.»",desde_cowork/evidencia_2026/FICHAS_SUR_NUEVAS.md,Diego,,,"LA FUSION CON Z40 NO NECESITA GEOMETRIA PARA DECIDIRSE: el perimetro escrito de Z40 ya lista «Av. Saenz y el Mercado de Pompeya» como su segunda pieza, y Z54 es «eje Av. Saenz, con nucleo en el Mercado de Pompeya». Son el mismo eje y el mismo objeto, a la misma direccion. Lo que espera al perimetro de Z40 es la CIFRA, no la decision."
Z41,Nunez,parcial,corredor bajo el viaducto Mitre,"Los dos extremos del tramo, y antes el reparto con las otras dos zonas que lo comparten.",«el corredor bajo el viaducto Mitre» · «el extremo sur del viaducto toca la referencia de Federico Lacroze y el tramo entre Blanco Encalada y Monroe cae en Belgrano»,desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego (el reparto); el callejero no tiene la traza del viaducto,,"existe nunez_corredor_viaducto.geojson: «corredor bajo el viaducto Mitre (aprox. recta entre cabeceras)», buffer 150 m, 48.96 ha. El borde lo pone el buffer, no la evidencia: no cuenta como perimetro","YA SE DIBUJO UNA VEZ, y por eso no cuenta: seis_vias/nunez_corredor_viaducto.geojson es «aprox. recta entre cabeceras» con buffer de 150 m. Ese borde es una propiedad del instrumento, que es justo lo que esta ronda no admite."
Z41,Nunez,parcial,"nucleo de bistros en Campos Salles, O'Higgins y Grecia",Un rango de alturas o calles de corte para cada una de las tres.,"«y un nucleo disperso de bistros en Campos Salles, O'Higgins y Grecia»",desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego / relevamiento,,,"El texto lo llama disperso. Ness (Grecia 3691) y Evelia (Campos Salles 1712) dan dos alturas, pero delimitar por los referentes no es delimitar por el perimetro."
Z46,Retiro,parcial,nucleo institucional de Plaza San Martin y Florida,El tramo de Florida. La calle entera mide mas de un kilometro.,«el nucleo institucional de Plaza San Martin y Florida»,desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego,,"FLORIDA 800-1005: eje 330 m -> 6 manzanas -> 13.97 ha, 52 locales","Es la pieza mas barata de las once: dos de sus hitos quedaron a 5 m y a 59 m del trazado actual -Florida Garden (Florida 899) y Plaza Bar (Florida 1005)-, asi que las alturas que la acotan ya estan en la propia ficha."
Z37,Almagro,parcial,nucleo de Guardia Vieja y Bulnes,Cuales son las tres cuadras.,"«En Guardia Vieja hay cuatro locales en tres cuadras, dos de ellos enfrentados en la misma esquina - el 3601 y el 3602.»",desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego / relevamiento,,"GUARDIA VIEJA 3500-3800: eje 357 m -> 6 manzanas -> 7.60 ha, 35 locales","El texto da dos alturas de la MISMA cuadra y dice que son tres cuadras, sin decir cuales. El candidato medido supone 3500-3800 y es una suposicion, no la ficha."
Z37,Almagro,parcial,nodo de Rivadavia y Medrano,Una extension. El texto da una esquina.,«y el nodo de Rivadavia y Medrano»,desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego,,,Las Violetas (Av. Rivadavia 3899) es el hito de esta pieza y quedo a 697 m del trazado actual.
Z44,Villa Ortuzar,parcial,nucleo secundario de Plaza 25 de Agosto,Por donde va el cuarto lado.,"«con nucleo secundario en Plaza 25 de Agosto - Giribone, 14 de Julio, Charlone y Bauness»",desde_cowork/evidencia_2026/SECCION_VII_ZONAS_INCORPORADAS.md,Diego / callejero,,las cuatro calles cierran 0 caras; el par mas separado es CHARLONE y BAUNESS a 784 m,MEDIDO Y NO CIERRA: las cuatro calles no encierran ninguna cara. Bauness queda a 184 m de Giribone y a 249 m de 14 de Julio; ni siquiera las otras tres cierran.
