orden,tramo,prioridad,establecimiento,hito_id,direccion_consultada,business_status,identidad,identidad_detalle,publica_horarios,abierto_24h,vigencia_fecha_consulta,estado_que_acredita,nivel,lectura,clase_test,esperado,lo_que_sabemos,dias_desde_el_hecho
0,(a) test de calibracion,0,Plaza Bar,H082,Florida 1005,CLOSED_PERMANENTLY,exacta,,no,,2026-08-08,no,v2b,acredita CERRADO con fuerza: es una afirmación positiva y difícil de producir por error,calibracion,CLOSED_PERMANENTLY,cerrado desde abril de 2017,3285
1,(a) test de calibracion,0,La Buena Medida,H062,Suarez 101,OPERATIONAL,exacta,,no,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,calibracion,CLOSED_PERMANENTLY,cerrada desde octubre de 2025,280
2,(a) test de calibracion,0,The New Brighton,H084,Sarmiento 645,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,calibracion,CLOSED_PERMANENTLY,quiebra declarada el 18/03/2026,143
3,(b) test de reapertura,0,El Tokio,H055,Av. Alvarez Jonte 3550,OPERATIONAL,misma cuadra,3550 contra 3548 (2 de diferencia),si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,reapertura,OPERATIONAL,"cerró en 2023, reabrió en 2025",0
4,(b) test de reapertura,0,Los Laureles,H076,Av. Iriarte 2290,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,reapertura,OPERATIONAL,"cerró en julio de 2026, ya reabrió",0
5,(c) prioridad 1 · hitos únicos,1,Cafe de la U,H023,Av. Triunvirato 4801,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
6,(c) prioridad 1 · hitos únicos,1,MN Santa Ines,MIC-003,Ávalos 360,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
7,(c) prioridad 1 · hitos únicos,1,Britanico,H019,Brasil 399,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
8,(c) prioridad 1 · hitos únicos,1,San Bernardo,H033,Av. Corrientes 5436,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
9,(c) prioridad 1 · hitos únicos,1,Esquina Homero Manzi,H057,Av. San Juan 3601,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
10,(c) prioridad 1 · hitos únicos,1,Cafe de Garcia,H022,Sanabria 3302,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
11,(d) prioridad 4 · catálogo sin verificar,4,Bar Lavalle,H011,Lavalle 1693,OPERATIONAL,misma cuadra,1693 contra 1699 (6 de diferencia),si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
12,(d) prioridad 4 · catálogo sin verificar,4,Celta Bar,H038,Sarmiento 1702,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
13,(d) prioridad 4 · catálogo sin verificar,4,El Gato Negro,H050,Av. Corrientes 1669,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
14,(d) prioridad 4 · catálogo sin verificar,4,La Giralda,H067,Av. Corrientes 1453,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
15,(d) prioridad 4 · catálogo sin verificar,4,Los Galgos (Callao 501),H075,Av. Callao 501,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
16,(d) prioridad 4 · catálogo sin verificar,4,La Opera (Av. Corrientes 1799),H068,Av. Corrientes 1799,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
17,(d) prioridad 4 · catálogo sin verificar,4,Petit Colon,H081,Libertad 505,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
18,(d) prioridad 4 · catálogo sin verificar,4,Zum Edelweiss,ICO-016,LIBERTAD 431,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
19,(d) prioridad 4 · catálogo sin verificar,4,Bar Bidou,H003,Av. Roque Saenz Pena 858,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
20,(d) prioridad 4 · catálogo sin verificar,4,Claridge's (Tucuman 535),H039,Tucuman 535,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
21,(d) prioridad 4 · catálogo sin verificar,4,Confiteria Ideal (Suipacha 384),H042,Suipacha 384,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
22,(d) prioridad 4 · catálogo sin verificar,4,La Puerto Rico (Alsina 420),H070,Alsina 420,OPERATIONAL,misma cuadra,420 contra 416 (4 de diferencia),si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
23,(d) prioridad 4 · catálogo sin verificar,4,Le Caravelle,H072,Lavalle 726,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
24,(d) prioridad 4 · catálogo sin verificar,4,El Querandi (Peru 302),H053,Peru 302,OPERATIONAL,misma cuadra,302 contra 322 (20 de diferencia),si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
25,(d) prioridad 4 · catálogo sin verificar,4,Bar del Alvear Palace Hotel,H006,Av. Alvear 1891,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
26,(d) prioridad 4 · catálogo sin verificar,4,La Biela,H061,Av. Quintana 600,OPERATIONAL,misma cuadra,600 contra 596 (4 de diferencia),si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
27,(d) prioridad 4 · catálogo sin verificar,4,Aramburu,H153,Vicente Lopez 1661,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
28,(d) prioridad 4 · catálogo sin verificar,4,Bis Bistro,MIC-049,Vicente López 1661 Local 12,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
29,(d) prioridad 4 · catálogo sin verificar,4,Casa Veltri,MIC-035,Juncal 1642,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
30,(d) prioridad 4 · catálogo sin verificar,4,Fervor,MIC-057,Posadas 1519,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
31,(d) prioridad 4 · catálogo sin verificar,4,Restaurante Oviedo,ICO-013,BERUTI 2602,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
32,(d) prioridad 4 · catálogo sin verificar,4,Roux,MIC-030,Peña 2300,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
33,(d) prioridad 4 · catálogo sin verificar,4,Cabana Las Lilas,MIC-051,Avenida Alicia Moreau de Justo 516,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
34,(d) prioridad 4 · catálogo sin verificar,4,La Cabana,MIC-053,Avenida Alicia Moreau de Justo 580,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
35,(d) prioridad 4 · catálogo sin verificar,4,Estilo Campo,ICO-006,"MOREAU DE JUSTO, ALICIA AV. 1840",OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
36,(d) prioridad 4 · catálogo sin verificar,4,El Mercado (Faena),H152,Martha Salotti 445,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
37,(d) prioridad 4 · catálogo sin verificar,4,Marcelo Restaurante,ICO-011,"MOREAU DE JUSTO, ALICIA AV. 1140",OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
38,(d) prioridad 4 · catálogo sin verificar,4,Michel Rolland Grill & Wine,MIC-029,Juana Manso 1760,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
39,(d) prioridad 4 · catálogo sin verificar,4,Sorrento,ICO-014,"MOREAU DE JUSTO, ALICIA AV. 420",OPERATIONAL,misma cuadra,420 contra 410 (10 de diferencia),si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
40,(d) prioridad 4 · catálogo sin verificar,4,Alcanfor,MIC-019,Aguirre 949,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
41,(d) prioridad 4 · catálogo sin verificar,4,Fico,MIC-004,Muñecas 775,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
42,(d) prioridad 4 · catálogo sin verificar,4,Han,MIC-005,Vera 966,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
43,(d) prioridad 4 · catálogo sin verificar,4,Julia,H156,Loyola 807,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
44,(d) prioridad 4 · catálogo sin verificar,4,Trescha,H154,Murillo 725,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
45,(d) prioridad 4 · catálogo sin verificar,4,Don Julio,H160,Guatemala 4699,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
46,(d) prioridad 4 · catálogo sin verificar,4,Crizia,H155,Gorriti 5143,OPERATIONAL,OTRA CALLE,"consultada «Gorriti 5143» · devuelta «Fitz Roy 1819, C1414 Cdad. Autónoma de Buenos Aires»",si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
47,(d) prioridad 4 · catálogo sin verificar,4,CoChinChina,H162,Armenia 1540,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
48,(d) prioridad 4 · catálogo sin verificar,4,A Fuego Fuerte,MIC-020,Bonpland 1670,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
49,(d) prioridad 4 · catálogo sin verificar,4,El Preferido de Palermo,H151,Jorge Luis Borges 2108,OPERATIONAL,exacta,,si,,2026-08-08,,,NO acredita abierto: dice que nadie reportó lo contrario. No mueve el estado; se registra la consulta y su fecha,,,,
