fecha,asunto,estado,quien,que_dice,consecuencia_operativa,donde
2026-08-09,niveles de nombre de las 41,ACEPTADA,Diego,"Se aceptan los cuatro niveles propuestos. 0 normativos, 3 oficiales de facto, 27 uso corriente, 11 de trabajo.","Van al encabezado de las 41 fichas. Incluye dos cambios de nombre: «Centro y Microcentro» (sin «segmentado») y «Monserrat y Congreso» (con «y», no «+»).",niveles_de_nombre_41.csv
2026-08-09,vigencia de El Globo (H. Yrigoyen 1199),VERIFICADO ABIERTO,Diego,Historia en canal propio del 09/08/2026. Nivel v2.,"Libera la lamina 5. NO se computa el estado de Google Maps: OPERATIONAL es ausencia de senal de cierre, no afirmacion de apertura (FD-21).",LAMINAS_v2.2_2026-08-09.md
2026-08-09,vigencia de Plaza Asturias (Av. de Mayo 1199),VERIFICADO ABIERTO,Diego,Foto en canal propio de aproximadamente el 02/08/2026. Nivel v2.,Idem. Los cuatro del cruce de Salta quedan con vigencia fechada.,LAMINAS_v2.2_2026-08-09.md
2026-08-09,ERR-09 · via C de Z47 Monserrat,APLICADA POR COWORK,Diego delego,Pasa de «abre (DEBIL)» a «no abre». La decision 1 del 07/08 ya lo habia resuelto y nunca llego al archivo.,Monserrat entra igual con cuatro vias. No cambia nada de lo publicado.,seis_vias_Z47_Z48_Z49.csv - pendiente de aplicar en el archivo
2026-08-09,ERR-08 · las seis vias de Almagro,APLICADA,Diego,"Almagro abre CINCO vias, no seis. Y no era la unica que marcaba seis: Z40 y Z43 tambien.",Aplicada en la lamina 4 de la v2.2.,LAMINAS_v2.2_2026-08-09.md
2026-08-09,"doble conteo R01 x Chacagiales (8,09 ha, 7 locales)",NO REQUIERE DECISION,Cowork,Los perimetros publicados no se tocan (las 22 solo se amplian). Se declara en las dos fichas y no se suman.,Ya escrito asi en la ficha de Palermo y en la de Chacarita.,SECCION_VII_REFERENCIAS_PUBLICADAS.md
2026-08-09,cuerpo del documento,DECIDIDA,Diego,"Las 41 fichas en prosa, agrupadas por comuna. Las 124 concentraciones van como capa de datos y Anexo B.","Estructura final I-IX mas Anexo A (nota metodologica), B (las 124) y C (correspondencia, glosario, fuentes).",TABLERO_ATLAS_V3.md
2026-08-09,nombre de la cuarta subzona de Palermo,PENDIENTE - ESPERA MEDICION,Diego,"Propuesta: «Palermo - eje Av. Santa Fe». Explica 75 de 134 locales en 12,70 de 40,17 ha.","NO se pide la firma hasta que el repositorio mida el perimetro en calles sobre la caja -58.43404,-34.59232 a -58.42101,-34.58240. Proponer perimetros sin medir ya fallo dos veces.",ronda_13/palermo_pieza_1_y_filtraciones.csv
2026-08-09,Av. Montes de Oca: referencia 42 o anexo,PENDIENTE,Diego,"Sostiene la lamina 12, una caminata y una fila del cruce del IDECBA, y no esta entre las 41. En los 124 es P066.",Necesita antes que el repositorio la mida con las seis vias. Recomendacion de Cowork: que entre como la 42.,TABLERO_ATLAS_V3.md
2026-08-09,las tres caminatas,PENDIENTE - YA NO BLOQUEAN,Diego,"Montes de Oca 280-1702, Av. Rivadavia en Flores, Las Canitas 361 contra 97.","Las tres tienen reemplazo de escritorio: curva de continuidad, cruce gastronomia sobre comercio total, y reconstruccion del universo de La Nacion.",LO_QUE_DECIDISTE_Y_LO_QUE_FALTA.md
