pagina,contenido,mapa,textos,jerarquia,margenes,solapamientos,cortes,legibilidad,coherencia_marca,estado,observaciones
1,Portada institucional (titulo; subtitulo; DGDGAS; gobierno; fecha),no aplica,correctos; sin palabras de estatus (preliminar/borrador/experimental),correcta,correctos,no,no,alta,DGDGAS correcta (franja roja + azul),APTO,Se retiro la linea "Version de trabajo interna" de V1; la identificacion de version queda en nombre de archivo y metadatos
2,Sintesis ejecutiva + encuadre 7 zonas + caja Como leer + pie de alcance,no aplica,actualizados (TO-01/TO-02); estados de lectura coherentes con los chips usados,correcta,correctos,no,no,alta,coherente,APTO,Aire entre encuadre y caja heredado del diseno V1 (intencional)
3,Mapa general + caja Lectura + nota metodologica publica unica,mapa_general_institucional_v3_1 recortado; 7 zonas; leyenda 5 categorias; escala y norte,lectura TO-03 aplicada; bajada institucional sin referencias internas,correcta,correctos,no,no,alta,coherente,APTO,El recorte elimino el subtitulo interno "V3.1 post-QA" del asset; nota unica al pie (no se repite bajo otros mapas)
4,Palermo con mapa institucional nuevo + caja lectura,render delimitacion vigente; 3 nucleos rotulados dentro de sus poligonos; leyenda; escala; norte,conservados de V1,correcta,correctos,no,no,alta,coherente,APTO,Etiquetas reposicionadas dentro de los poligonos en la iteracion 2
5,Corrientes corredor continuo + cajas lectura y Abasto,render corredor v2.1 con contexto vertical 1.8:1; leyenda; escala; norte,conservados; Abasto como area asociada fuera de traza,correcta,correctos,no,no,alta,coherente,APTO,Iteracion 2 corrigio la franja finita con vacios verticales de la iteracion 1
6,San Telmo y Puerto Madero en dos columnas,renders nucleo+Defensa contextual y PM_PRES_C; leyendas; escalas; nortes,frase "en elaboracion" retirada (TO-13),correcta,correctos,no,no,alta,coherente,APTO,Ambos mapas en proporcion de columna sin deformacion
7,Polo Gastronomico Belgrano + caja zonas en observacion,belgrano_institucional_v3_1 recortado; jerarquia 3 niveles; leyenda; escala; norte,lectura de polo unico con 3 centralidades y Belgrano R sector secundario; Recoleta fuera de la caja,correcta,correctos,no,no,alta,coherente,APTO,Sin codigos tecnicos; concentracion presentada como criterio del polo
8,Polo Gastronomico Recoleta (pagina nueva) + cajas lectura y diversidad,recoleta_institucional_v3_1 recortado; etiqueta externa; huecos preservados; leyenda; escala; norte,unidad consolidada; sin nucleos tecnicos; sin vocabulario vetado,correcta,correctos,no,no,alta,coherente,APTO,Seccion principal propia segun decision de extension
9,Polo Gastronomico Costanera Norte: lectura + 2 paneles + mapa media pagina,costanera_norte_media_pagina_v3_1 recortado; componentes 1-4; leyenda descriptiva; escala; norte,lenguaje DEC-10; sin textos obsoletos; sin porcentaje de fuente en el cuerpo,correcta,correctos,no,no,alta,coherente,APTO,Chip "delimitacion adoptada"; la leyenda del asset conserva la denominacion descriptiva documentada (ver QA textual: containers)
10,Proximos pasos compactados + nota metodologica fusionada,no aplica,bullets TO-11/TO-12; parrafo unico de dependencia de fuente (TO-14) con 92.96 %,correcta,correctos,no,no,alta,coherente,APTO,Fusion p.9+p.10 de V1 que financia la pagina de Recoleta manteniendo 10 paginas
