id,nombre,tipo,gestion,barrio,comuna,direccion_resumida,estado_operativo,horario_resumido,dias_apertura,perfil_oferta,publico_objetivo,atractivo_principal,fuentes_resumen,observacion_ejecutiva
MG-0001,Mercado de San Telmo,mercado_historico,mixta,San Telmo,1,Defensa 961/963,activo,9 a 22 (a confirmar),Lunes a Domingo,gastronomia variada y productos frescos,turistico y barrial,mercado historico de 1897 con identidad turistica,GCBA/Turismo BA + sitio propio,Icono turistico; horarios con fuentes divergentes
MG-0002,Mercado de Belgrano,mercado_historico,mixta,Belgrano,13,Juramento 2527,activo,frescos 8:30-20; gastronomia 11-24,Lunes a Domingo,patio gastronomico multicocina y abasto,barrial y turistico,mercado de 1891 renovado con food court,GCBA/Turismo BA,Mercado historico renovado; fuerte oferta gastronomica
MG-0003,Mercado del Progreso,mercado_barrial_alimentario,privada,Caballito,6,Rivadavia 5430,activo,Lun-Vie 7:30-13 y 17-20; Sab hasta 14,Lunes a Sabado,abasto alimentario con bares y pizzerias,barrial,mercado de 1889 sitio de interes cultural,sitio propio + Turismo BA,Clasico barrial de abasto con gastronomia
MG-0004,Mercat Villa Crespo,food_hall,privada,Villa Crespo,15,Thames 747,activo,12 a 23 (Vie-Sab hasta 01),Martes a Domingo,comida de autor y productos de productores,mixto,food hall de diseno en tres plantas,Turismo BA + prensa,Food hall moderno con impronta cultural
MG-0006,Patio de los Lecheros,patio_gastronomico,publica,Caballito,6,Donato Alvarez 175,activo,9 a 24 (Vie-Sab hasta 3),Todos los dias,foodtrucks y puestos con propuesta cultural,barrial y turistico,antiguo anden ferroviario al aire libre,GCBA,Polo gastronomico-cultural gratuito del GCBA
MG-0008,Mercado Bonpland,mercado_de_productores,mixta,Palermo,14,Bonpland 1660,activo,10 a 19/20,Martes Miercoles Viernes y Sabado,economia solidaria y productos de productores,barrial y consumo consciente,mercado cooperativo de economia social,Turismo BA/GCBA + Nacion,Referente de economia solidaria en Palermo
MG-0010,Smart Plaza Parque Patricios,patio_gastronomico,publica,Parque Patricios,4,Pepiri 185,activo,11 a 24 (Vie-Sab hasta 1),Todos los dias,seis puestos variados con barras,barrial,primera plaza de comidas tecnologica,GCBA/Turismo BA,Patio gastronomico al aire libre del sur
MG-0011,Patio Costanera Norte,patio_gastronomico,mixta,Costanera Norte,13,Av. Rafael Obligado 7010,activo,Mie 12-19; Jue-Sab 12-24; Dom 12-21,Miercoles a Domingo,patio riberenio con oferta variada,turistico,vistas al rio y aire libre,GCBA/Turismo BA,Patio gastronomico junto al rio
MG-0012,Patio Gastronomico Rodrigo Bueno,patio_gastronomico,publica,Puerto Madero,1,Av. Espana 2230,activo,11 a 23,Viernes a Domingo,cocina de emprendedores del barrio,barrial,emprendimientos gastronomicos locales,GCBA (BA Capital Gastronomica),Desarrollo local junto a la Reserva
MG-0013,Mercado San Nicolas,mercado_historico,mixta,San Nicolas,1,Av. Cordoba 1750,activo,mercado 8-18; gastronomia 11-24,Lunes a Sabado,plaza de comidas y abasto renovado,barrial,mercado centenario renovado en Microcentro,GCBA,Mercado municipal renovado con plaza de comidas
MG-0015,Buenos Aires Market,feria_gastronomica,privada,itinerante,0,Sede variable (parques y plazas),activo,Fin de semana (por sede),Fines de semana,productores y gastronomia movil,barrial y turistico,feria itinerante de productores,sitio propio + GCBA,Feria itinerante de alimentos saludables
MG-0016,Sabe la Tierra,mercado_de_productores,privada,itinerante,0,Sede variable (plazas y parques),activo,Fin de semana (por sede),Fines de semana,organicos y agroecologicos,consumo consciente,feria de productores organicos,sitio propio + GCBA,Feria itinerante de productores organicos
MG-0017,Gourmand Food Hall,food_hall,privada,Retiro,1,Posadas 1245 (Patio Bullrich),activo,Dom-Jue 10-23; Vie-Sab 10-1,Todos los dias,diez propuestas gourmet con logica de mercado,turistico y medio-alto,primer food hall del pais,Google + sitio propio + prensa,Food hall curado; incorporado tras validacion V2.4
