codigo_fuente,nombre_fuente,tipo_fuente,origen_institucional,descripcion,cobertura_esperada,rubros_potenciales,nivel_oficialidad,limitaciones,riesgo_metodologico,requiere_descarga_futura,requiere_convenio_o_permiso,versionable,sensible
F01,Oferta y Establecimientos Gastronomicos,dataset abierto,GCBA / BA Data (CKAN),padron de oferta gastronomica registrada con categoria y tipo de cocina nombre direccion barrio comuna y coordenadas,media,restaurantes|bares|cafeterias|pizzerias|parrillas|bodegones|heladerias,oficial,no es universo completo y registra oferta no actividad confirmada,medio,no,no,si,no
F02,Habilitaciones Aprobadas AGC,registro administrativo,GCBA / Agencia Gubernamental de Control,habilitaciones gastronomicas aprobadas o inferidas por descripcion de rubro 2015 a 2025 con domicilio comuna y superficie,alta,restaurantes|bares|cafeterias|panaderias|rotiserias|heladerias|venta_especializada,oficial,habilitacion no es local activo y la descripcion de rubro es angosta,alto,no,no,si,no
F03,Ferias y Mercados,dataset abierto + padron,GCBA / BA Data,espacios reales de ferias y mercados mas padron de puestos itinerantes,media,ferias_gastronomicas|mercados_gastronomicos,oficial,grano mixto y los puestos no son ferias ni mercados,medio,no,no,si,no
F04,Eventos gastronomicos semiestructurados,relevamiento manual trazable,GCBA / relevamiento DataGastro,eventos y ediciones gastronomicas relevadas manualmente con fuente por fila,baja,eventos_gastronomicos,parcial,no es universo completo de eventos,medio,no,no,si,no
F05,Programas y politicas gastronomicas,catalogo manual trazable,GCBA / relevamiento DataGastro,programas politicas normativa e instrumentos vinculados a gastronomia,baja,contexto_institucional,parcial,no es universo de establecimientos solo contexto,bajo,no,no,si,no
F06,Ente de Turismo / oferta gastronomica,curaduria institucional,GCBA / Ente de Turismo,seleccion institucional de oferta gastronomica orientada a turismo,baja,restaurantes|bares|cafeterias|bodegones|parrillas,oficial,sesgo turistico hacia zonas y rubros vistosos,medio,si,si,si,no
F07,BA Data Bares y Cafes Notables,dataset abierto,GCBA / BA Data,registro oficial de bares y cafes notables de la ciudad,alta,bar_notable|bares|cafeterias|confiterias|bodegones,oficial,universo acotado a lo notable no cubre comercio comun,bajo,si,no,si,no
F08,BA Data comercios y locales adicionales,dataset abierto,GCBA / BA Data,otros datasets de comercios o locales que puedan aportar rubros gastronomicos,desconocida,pendiente,oficial,pendiente identificar recurso directo,medio,si,no,si,no
F09,Distritos economicos y circuitos gastronomicos,programa / documental oficial,GCBA / Desarrollo Economico,distritos o circuitos gastronomicos promovidos por el GCBA como contexto territorial,baja,contexto_territorial,oficial,no es padron de establecimientos solo delimitacion territorial,medio,si,pendiente,si,no
F10,Registros de espacios culturales con gastronomia,registro institucional,GCBA / Cultura (si aplica),espacios culturales con oferta gastronomica asociada si existe registro,desconocida,bares|cafeterias|eventos_gastronomicos,oficial,solo aplica si el espacio tiene componente gastronomico,alto,si,pendiente,si,no
I03,Relevamientos internos disponibles,relevamiento interno,DataGastro / archivos internos,inventarios y catalogos internos como catalogo de eventos candidato y eventos propios,baja,eventos_gastronomicos|productores_proveedores,interno,contiene datos sensibles de terceros y participantes,alto,no,no,no,si
