archivo,que_es,script_de_origen,ruta_original
curva_continuidad_seis_enteros.csv,"Barrido de continuidad de los 6 polos que `leaf` no partió, más los 4 controles positivos. Umbrales 40–300 m, componentes conexas y tamaños.",polos_particion_anada_estructura.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\curva_continuidad_seis.csv
curva_continuidad_p065.csv,"Barrido de P065. Incluye `pct_locales_en_esas_componentes`, la columna que distingue una partición de un estallido.",polos_p065_union_y_clases.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\curva_continuidad_p065.csv
curva_continuidad_polos_grandes.csv,Barrido de los 4 polos de 300+ locales buscando PARTES nombrables (regla de Belgrano). Grilla extendida a 20–300 m.,polos_partes_nombrables.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\curvas_continuidad_polos_grandes.csv
partes_nombrables_detalle.csv,"Las partes encontradas, aceptadas y al filo, con barrios y zona publicada encima.",polos_partes_nombrables.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\partes_nombrables_detalle.csv
partes_nombrables_resumen.csv,"Veredicto por polo grande: partes, umbral adoptado, aceptada o al filo.",polos_partes_nombrables.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\partes_nombrables_resumen.csv
justificacion_grilla_20_300m.csv,"Por qué la grilla baja a 20 m: distancia media al vecino observada contra la predicción de Poisson 1/(2·√λ), por polo grande. `piso_viejo_sobre_vecino` es la lectura operativa — cuando pasa de 2, el umbral más bajo de la grilla vieja ya conecta todo.",justificar_grilla_continuidad.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\justificacion_grilla_continuidad.csv
justificacion_grilla_20_300m.txt,"El argumento en texto: la distancia entre vecinos escala con 1/√densidad, así que un piso de 40 m es un umbral DISTINTO según la densidad del polo. Incluye un resultado no buscado: el orden por densidad nominal y por vecino observado NO coinciden, y el caso que los separa es P065 — control independiente de su encadenamiento.",justificar_grilla_continuidad.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\JUSTIFICACION_GRILLA_CONTINUIDAD.txt
p078_sueltos_ubicacion.csv,"Los 123 locales de P078 fuera de sus tres partes, uno por uno: parte más cercana y segunda, distancias, ángulo, si está entre dos partes y si cae adentro del envolvente conjunto. Es la prueba que REFUTÓ la lectura de que fueran los tramos sin oferta de R01.",polos_p078_donde_caen_los_123.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\p078_sueltos_ubicacion.csv
p078_sueltos_reparto.csv,"El reparto de esos 123 por parte más cercana, contra la cuota de locales de cada parte.",polos_p078_donde_caen_los_123.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\p078_sueltos_reparto.csv
p078_donde_caen_los_sueltos.txt,"La corrida completa, con la lectura declarada ANTES de correr y el veredicto NO CONFIRMA. Sirve como ejemplo de R1: la banda estaba escrita, el número cayó del lado que no se esperaba, y el veredicto lo eligió el número.",polos_p078_donde_caen_los_123.py,outputs\BARRIDO_CIUDAD_2026-08\borrador_polos\P078_DONDE_CAEN_LOS_SUELTOS.txt
