id_afirmacion,nombre_mercado,afirmacion,campo,fuente,nivel_confianza,usar_en_informe,motivo
AF-001,Mercados/patios GCBA activos,"GCBA/Turismo BA coinciden en Mercado Belgrano, Mercado San Nicolás, Mercado Bonpland, Patio de los Lecheros, Smart Plaza Patio Parque Patricios, Patio Costanera Norte y Patio Rodrigo Bueno como espacios activos mencionados.",listado_base,FPER-001/003/004/005/006,C1_oficial_GCBA_TurismoBA,si_con_cautela,"Usar como refuerzo del núcleo público/mixto, recordando que no es lista exhaustiva de privados."
AF-002,Mercado Soho,Turismo BA describe Mercado Soho como espacio en Palermo con dos pisos y once experiencias gastronómicas.,oferta,FPER-007,C1_oficial_GCBA_TurismoBA,si,Refuerza carácter gastronómico/food hall; faltan horarios/dirección oficial completa.
AF-003,Mercado Soho,Una nota de TN lo ubica en Armenia 1744 y publica horarios por día.,direccion;horarios,FPER-008,C3_prensa_confiable_con_fecha,si_con_cautela,Usar como apoyo hasta recuperar URL completa y fecha.
AF-004,Mercat Caballito,Turismo BA lo menciona como espacio participante de La Noche de la Gastronomía.,existencia;relacion_evento,FPER-009,C1_oficial_GCBA_TurismoBA,si_con_cautela,Fuente oficial parcial; no cierra dirección ni horarios.
AF-005,Mercado Bonpland,"Mercado Bonpland abre martes, miércoles, viernes y sábados de 10 a 17 h según GCBA.",horarios,FPER-010,C1_oficial_GCBA_TurismoBA,si,Afirmación horaria oficial según export.
AF-006,Mercado Bonpland,"Bonpland ofrece productos orgánicos, alimentos envasados, frutas y verduras, bebidas, productos regionales y de granja.",oferta,FPER-010,C1_oficial_GCBA_TurismoBA,si,Oferta documentada por fuente oficial en el export.
AF-007,Mercado Bonpland,"Bonpland funciona con cooperativas y sistema de cooperadora, con enfoque de comercio justo/economía solidaria.",gestion;perfil_productores,FPER-011,C1_oficial_otro_organismo,si_con_cautela,"Fuente oficial nacional; útil para gestión social, no reemplaza dato GCBA."
AF-008,Mercado Belgrano,"GCBA informa oferta alimentaria variada: queserías, pescadería, carnicerías, pollerías, panaderías, comida vegana, dietéticas, casas de pasta y más.",oferta,FPER-012,C1_oficial_GCBA_TurismoBA,si,Apoya perfil de mercado barrial alimentario.
AF-009,Mercado Belgrano,Instagram oficial reporta 37 locales y horarios diferenciados entre frescos y gastronómicos.,cantidad_de_puestos;horarios,FPER-013,C2_sitio_oficial_mercado,si_con_cautela,No es fuente GCBA; útil para ficha si se recupera URL/post.
AF-010,Mercado San Nicolás,"GCBA informa horario de lunes a sábados de 8 a 18 h y oferta de rotiserías, queserías, carnicerías, pollerías, pescaderías, verdulerías, pulperías y locales de comida.",horarios;oferta,FPER-015,C1_oficial_GCBA_TurismoBA,si,Afirmación oficial fuerte según export.
AF-011,Mercado San Nicolás,"Cronista menciona 18 locales/puestos con rubros como verdulería, carnicería, fiambrería, pizzería y cafetería.",cantidad_de_puestos;oferta,FPER-016,C3_prensa_confiable_con_fecha,si_con_cautela,No se recuperó ficha oficial con ese desglose.
AF-012,Mercado del Progreso,"Turismo BA indica 17 negocios a la calle y 174 puestos interiores, con oferta de bares, pizzerías, vinotecas, carnicerías, panaderías, pescaderías y otros rubros.",cantidad_de_puestos;oferta,FPER-017,C1_oficial_GCBA_TurismoBA,si,Fuente oficial más sólida en el extracto para cantidad/oferta.
AF-013,Mercado del Progreso,Hay divergencia horaria: 8 a 14 h vs 8 a 18 h según fuentes oficiales/fichas recuperadas.,horarios,FPER-018,C1_oficial_GCBA_TurismoBA,no_como_dato_cerrado,"Usar como brecha/nota, no como horario definitivo."
AF-014,Mercado de San Telmo,Sitio propio publica horario lunes a domingo de 9 a 20 h.,horarios,FPER-019,C2_sitio_oficial_mercado,si_con_cautela,Diverge con Turismo BA en inglés; sugerir nota de divergencia.
AF-015,Mercado de San Telmo,"Turismo BA en inglés publica martes a viernes 10:30 a 19:30 y sábados, domingos y feriados 9 a 20 h.",horarios,FPER-020,C1_oficial_GCBA_TurismoBA,si_con_cautela,Diverge con sitio propio; no cerrar horario sin decidir fuente preferida.
AF-016,Feria de San Telmo,"Las fuentes recuperadas la presentan como feria de antigüedades/objetos de colección, no mercado gastronómico.",exclusion,FPER-021,X_fuera_de_alcance,si,Usar para evitar mezclar Feria de San Telmo con Mercado de San Telmo.
AF-017,Gourmand Food Hall,"Aparece como posible food hall en Patio Bullrich, Recoleta, con múltiples cocinas.",posible_omitido,FPER-027,C5_pendiente_revision,no_hasta_verificar,Es el posible omitido más relevante; no sumar al conteo sin fuente completa y criterio de alcance.
AF-018,Mercado Fusión,Aparece como encuentro gastronómico al aire libre en Plaza de las Naciones Unidas.,posible_omitido,FPER-029,C5_pendiente_revision,no_hasta_verificar,"Puede ser evento/feria temporal, no mercado estable."
