id_candidato,nombre,tipo_mercado_gastronomico,gestion_publica_privada_mixta,barrio,comuna,estado_operativo,activo_para_conteo,web_oficial,horarios_confirmados,respaldo_documental,en_fuentes_internas,en_google_places,nivel_confianza,accion_v2,observacion
MG-0001,Mercado de San Telmo,mercado_con_identidad_historica_gastronomica,mixta,San Telmo,1,activo,si,sitio_propio,pendiente,si,no_directo,OPERATIONAL,C1_oficial,validar_horarios,Google OPERATIONAL; horarios divergentes
MG-0002,Mercado de Belgrano,mercado_con_identidad_historica_gastronomica,mixta,Belgrano,13,activo,si,institucional_gcba,si,si,si,OPERATIONAL,C1_oficial,confirmar_ficha,corroborado en fuentes internas DGDGAS (9 archivos) y Google
MG-0003,Mercado del Progreso,mercado_barrial_alimentario,privada,Caballito,6,activo,si,sitio_propio,si,si,si,OPERATIONAL,C1_oficial,confirmar_ficha,corroborado internas (1) y Google
MG-0004,Mercat Villa Crespo,food_hall,privada,Villa Crespo,15,activo,si,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,confirmar_ficha,Google OPERATIONAL
MG-0005,Mercado Soho,food_hall,privada,Palermo,14,activo,si,sitio_propio,si,si,no_directo,CLOSED_PERMANENTLY,C1_oficial,validar_cierre_google,DISCREPANCIA: Google lo marca cerrado vs sitio propio/Turismo activo; revisar en terreno
MG-0006,Patio de los Lecheros,espacio_tipo_mercado_gastronomico,publica,Caballito,6,activo,si,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,confirmar_ficha,Google OPERATIONAL (food_court)
MG-0007,Mercado de los Carruajes,food_hall,mixta,Retiro,1,cerrado,no,institucional_gcba,no,si,no_directo,no_consultado,C1_oficial,mantener_como_cerrado,cierre abril 2025; no se consulto en Google
MG-0008,Mercado Bonpland,mercado_de_productores,mixta,Palermo,14,activo,si,institucional_gcba,si,si,si,OPERATIONAL,C1_oficial,confirmar_ficha,corroborado internas DGDGAS (7) y Google
MG-0009,El Galpon,mercado_de_productores,privada,Chacarita,15,activo,si,sitio_propio,si,si,no_directo,OPERATIONAL_match_dudoso,C1_oficial,revisar_match_google,Google devolvio un teatro/event_venue homonimo; verificar que sea el mercado organico
MG-0010,Smart Plaza Patio Parque Patricios,espacio_tipo_mercado_gastronomico,publica,Parque Patricios,4,activo,si,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,confirmar_ficha,Google OPERATIONAL; aparece tambien como Patio Parque Patricios
MG-0011,Patio Costanera Norte,espacio_tipo_mercado_gastronomico,mixta,Costanera Norte,13,activo,si,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,confirmar_ficha,Google OPERATIONAL (market)
MG-0012,Patio Gastronomico Rodrigo Bueno,espacio_tipo_mercado_gastronomico,publica,Puerto Madero,1,activo,si,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,confirmar_ficha,Google OPERATIONAL (food_court)
MG-0013,Mercado San Nicolas,mercado_con_identidad_historica_gastronomica,mixta,San Nicolas,1,activo,si,institucional_gcba,si,si,si,OPERATIONAL,C1_oficial,confirmar_ficha,corroborado internas DGDGAS (3) y Google
MG-0014,Mercat Caballito,food_hall,privada,Caballito,6,activo,si,sin_web_oficial,si,si,no_directo,CLOSED_PERMANENTLY,C3_multifuente_confiable,validar_cierre_google,DISCREPANCIA: Google lo marca cerrado vs prensa que lo daba abierto; revisar en terreno
MG-0015,Buenos Aires Market,feria_gastronomica,privada,itinerante,0,itinerante,si,sitio_propio,pendiente,si,no_directo,OPERATIONAL,C2_sitio_oficial_del_mercado,validar_sedes,Google OPERATIONAL (market); horarios por sede
MG-0016,Sabe la Tierra,mercado_de_productores,privada,itinerante,0,itinerante,si,sitio_propio,pendiente,si,no_directo,OPERATIONAL,C2_sitio_oficial_del_mercado,validar_sedes,Google OPERATIONAL (market/grocery)
