referencia_id,nombre,via_E_abierta,via_E_nivel_max,via_E_n_grupos,via_E_reconocimiento,via_E_fuentes,via_E_advertencia,via_E_rutas_n,fecha_relevamiento
R01,Palermo,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad. Se suman food tours comerciales sobre Las Canitas.,Infobae 19/08/2023 'Chacalermo' | Forbes Espana 11/10/2024 | El Cronista 20/08/2021 'Los 10 polos gastronomicos' | Time Out BA 09/06/2026 | Parrilla Tour y Viator (e5),"Michelin distingue locales de Palermo (Don Julio, Crizia, Mengano) pero no la zona: eso es via B, no via E.",5,2026-08-07
R02,Avenida Corrientes,si,e2,3,La Nacion (agosto de 2026) trata el eje Corrientes como circuito de comida ligado al teatro; El Cronista y Perfil publican rutas de las pizzerias clasicas de la avenida. Hay tours de pizza comercializados.,La Nacion / Revista Lugares 02/08/2026 | El Cronista 'Ruta de la pizza en Av. Corrientes' | Perfil Noticias 'Sabor porteno' | The Buenos Aires Pizza Tour y Asado Adventure (e5),Se descarto turismo.buenosaires.gob.ar por ser comunicacion del propio GCBA. Los Galgos (Callao 501) verificado abierto al 02/08/2026 por declaracion de su responsable.,4,2026-08-07
R03,San Telmo,si,e2,2,"RECONTADO (ronda 5, FD-01 aplicado, 2026-08-07). La Nacion (2026) y Time Out BA (2025) tratan al barrio como circuito gastronomico; los food tours (e5) acompanan pero no suman un tercer grupo independiente. El Cronista queda excluido del conteo: su nota es de 2021, y el re-sellado 'act. 2025' no cambia la anada por FD-01 (fecha real de la evidencia, no fecha de republicacion).","La Nacion 02/04/2026 'San Telmo etnico' | Time Out BA 16/06/2025 | GetYourGuide, Civitatis, Context Travel, Sherpa Food Tours (e5) | El Cronista 09/11/2021 act. 12/09/2025 -- EXCLUIDO DEL CONTEO por FD-01, queda como referencia de anada 2021",VIA E ABIERTA POR EL MINIMO: R03 no tiene ninguna otra via abierta (A/C/F en no, B/D pendientes), asi que este recuento es el que decide si la fila tiene algun sentido abierto. Con 2 grupos independientes sigue abriendo. Unica zona donde la evidencia e5 es abundante y de operadores internacionales. Lonely Planet 'best neighborhoods' no pudo verificarse (la pagina devuelve solo navegacion): no se conto.,6,2026-08-07
R04,Puerto Madero,si,e2,2,Clarin Gourmet (2023) y El Cronista (2021) tratan a Puerto Madero como polo gastronomico. La evidencia de nivel zona es anterior a 2024 y Ambito registra la zona en alerta por caida del consumo.,Clarin Gourmet 12/02/2023 | El Cronista 20/08/2021 'Los 10 polos gastronomicos',Ninguna pieza de nivel zona posterior a 2023. Bahia Madero y Sottovoce figuran cerrados en la propia fuente de 2023.,4,2026-08-07
R05,Belgrano,si,e2,3,"La Nacion (2023) y Perfil (2026) tratan al Barrio Chino de Arribenos como polo gastronomico consolidado; Ambito (2025) cubre Belgrano como zona para comer. Tres grupos de prensa nacional, ninguno del GCBA.",La Nacion 01/05/2023 'Mas de 40 locales en 4 cuadras' | Perfil 21/07/2026 | Ambito 23/06/2025 'Donde comer en Belgrano y Nunez',"Info Gastronomica replica a La Nacion y a Perfil: mismo grupo, no suma. Time Out lista aperturas sueltas, no trata la zona.",5,2026-08-07
R06,Recoleta,si,e2,2,La Nacion (2026) trata a Recoleta como uno de los barrios con mas movimiento gastronomico y El Cronista lo ubica entre los polos de la Ciudad. Se suman food tours comerciales que recorren el barrio.,La Nacion / Que Sale 09/04/2026 | El Cronista 20/08/2021 | Parrilla Tour (e5),"Precedente de vaciamiento documentado por la propia La Nacion ('la calle fantasma que perdio restaurantes iconicos'). Michelin recomienda Casa Veltri y Presencia: via B, no via E.",5,2026-08-07
R07,Costanera Norte,no,e2,1,"Solo La Nacion cubre Costanera Norte como polo gastronomico en renacimiento, con dos notas de mayo y junio de 2025 del mismo medio: un grupo. Buscado por cuatro rutas, no aparecio un segundo grupo independiente.",La Nacion 04/06/2025 y 15/05/2025 (mismo grupo),"Queda a un grupo del umbral. Pagina/12 cubre el Distrito Joven con encuadre urbanistico, no gastronomico. Los Anos Locos, Los Platitos 57, A Los Amigos y Look figuran cerrados; Rodizio demolido.",4,2026-08-07
R08,Villa Crespo,si,e2,2,"La Nacion (2025) y El Cronista (2025) tratan a Villa Crespo como polo gastronomico consolidado sobre Loyola, Thames y Aguirre. Dos grupos de prensa nacional independientes entre si.","La Nacion 15/04/2025, 29/07/2025 y 16/12/2025 (un grupo) | El Cronista 28/03/2025 act. 23/09/2025","Alcanfor (Aguirre 949) y Horta (Aguirre 1080) recomendados Michelin: via B, no via E.",4,2026-08-07
R09,Chacarita,si,e2,3,The New York Times (2024) dedica una nota al barrio como destino; La Nacion (2024) publica reporteo propio y el ranking gastronomico de Time Out (2026) nombra el eje Chacarita-Colegiales.,The New York Times 06/05/2024 (Seth Kugel) | La Nacion 06/06/2024 (nota propia) | Time Out 09/06/2026 | Culinary Backstreets (e5),"La nota del NYT fue replicada por Infobae, La Nacion sociedad, Perfil, Diario Con Vos y Cucinare: es UN grupo, no cinco. Info Gastronomica afirma que Time Out eligio a Chacarita entre los barrios mas cool: la lista 2025 incluye a Villa Devoto, no a Chacarita.",6,2026-08-07
R10,Caballito,si,e2,2,El Cronista (2021) describe el polo premium de Av. Pedro Goyena y La Nacion publico un recorrido por esa avenida gastronomica. Ambos grupos son anteriores a 2024; no hay cobertura nacional reciente de la zona.,El Cronista 21/09/2021 | La Nacion 'Un recorrido por Pedro Goyena' (nota de archivo),"La afirmacion 'sin vacancia de locales' es de 2021 y previa a la caida del consumo: no es sostenible hoy sin verificacion. Ver ademas los 12 nuevos Bares Notables del 03/08/2026, dos de ellos en Caballito.",4,2026-08-07
R11,Boulevard Caseros,si,e2,2,La Nacion (2017) y El Cronista (2021) describen la cuadra de Av. Caseros entre Defensa y Bolivar como polo gastronomico. Apertura debil: no hay cobertura zonal de prensa nacional posterior a 2021.,La Nacion 12/01/2017 act. 30/08/2020 | El Cronista 03/11/2021,APERTURA DEBIL POR ANTIGUEDAD. Cinco rutas de busqueda no dieron ninguna nota zonal 2022-2026. Zonaprop lista la zona entre cinco polos pero es portal inmobiliario sin criterio editorial: no computa.,5,2026-08-07
R12,Centro / Microcentro segmentado,no,e4,1,"Un solo grupo admisible: Time Out BA (2026) lista restaurantes del Microcentro. No se hallo prensa nacional que trate al Centro como destino gastronomico; la cobertura 2025-2026 es de vacancia, quiebras y reconversion.","Time Out BA 09/04/2026 (unico grupo, nivel e4)",CONTRADICCION DE SIGNO: Infobae 20/05/2026 'Crecen los locales vacios en el microcentro porteno'. The New Brighton (Sarmiento 645) declarado en quiebra el 18/03/2026 tras mas de un siglo. La zona con mas masa gastronomica de la Ciudad no abre la via E.,4,2026-08-07
