id,nombre,publico_objetivo,perfil_turistico,perfil_barrial
MG-0001,Mercado de San Telmo,turistico y barrial,alto,alto
MG-0002,Mercado de Belgrano,barrial y turistico,medio,alto
MG-0003,Mercado del Progreso,barrial,medio,alto
MG-0004,Mercat Villa Crespo,mixto,medio,medio
MG-0006,Patio de los Lecheros,barrial y turistico,medio,alto
MG-0008,Mercado Bonpland,barrial y consumo consciente,bajo,medio
MG-0010,Smart Plaza Parque Patricios,barrial,bajo,alto
MG-0011,Patio Costanera Norte,turistico,medio,bajo
MG-0012,Patio Gastronomico Rodrigo Bueno,barrial,bajo,alto
MG-0013,Mercado San Nicolas,barrial,medio,medio
MG-0015,Buenos Aires Market,barrial y turistico,medio,medio
MG-0016,Sabe la Tierra,consumo consciente,bajo,medio
MG-0017,Gourmand Food Hall,turistico y medio-alto,alto,bajo
