establecimiento,direccion,barrio,registro,veredicto,nivel,fecha_dato,verificado_por,nota,fila_que_toca
Casa Burgio,Av. Cabildo 2477,Belgrano,Pizzeria Emblematica APyCE 2025,verificado_abierto,v2,2026-08-07,"Diego, Instagram @burgiopizzeria: subieron historias HOY",Sube de probablemente_abierto. Su unica pieza anterior vencia el 20/08: se evito la caida a dudoso por trece dias.,R05 Belgrano
El Simbolo,Av. Corrientes 3787 (variante 3797),Almagro,"Bar Notable, anexo 1225/26",verificado_abierto,v2,2026-08-07,Diego,Sube de probablemente_abierto. Era el unico de Almagro sin Tripadvisor util: la ficha esta sin reclamar y no despliega opiniones.,Z37 Almagro
Las Violetas,Av. Rivadavia 3899 esq. Medrano,Almagro,"Bar Notable, anexo 1225/26",verificado_abierto,v3 + confirmacion,2026-08-07,Tripadvisor 07/07/2026 + Diego,Doble confirmacion.,Z37 Almagro
Tancat,Paraguay 645,Retiro / San Nicolas,Restaurante Iconico (GCBA + AHRCC),verificado_abierto,v2,2026-08-07,"Diego, Instagram @tancattasca",SUBE DE v1-con-reserva A VERIFICADO. Era el que mas rendia: TRES FILAS de un saque.,R18 / Z46 Retiro
El Fortin,Av. Alvarez Jonte 5299 esq. Av. Lope de Vega,MONTE CASTRO,Sitio de Interes Cultural Res. 667/2006 CPPHC + Pizzeria Emblematica APyCE 2025,verificado_abierto,v3 + confirmacion,2026-08-07,Tripadvisor 09/05/2026 (confirmada en tres dominios) + Diego,"NO ESTA EN LINIERS. Esta en Monte Castro, sobre el trifinio con Villa Real y Versalles. La confusion probable es con EL FERROVIARIO (Av. Reservistas Argentinos 219), que si esta en Liniers, frente al estadio Amalfitani. La resena de Tripadvisor aparecia TERCERA en el listado, detras de dos de febrero de 2024: leerlas una por una fue lo que la encontro.",Z28 Monte Castro
El Buzon,Esqui 1393 esq. Tabare,Nueva Pompeya,"Bar Notable, 1930",verificado_abierto,v2,2026-08-07,Diego,"SON DOS BARES DISTINTOS: 'El Buzon' (Esqui 1393, Nueva Pompeya, 1930, ligado a Homero Manzi y a los versos de 'Sur') y 'El Viejo Buzon', que es otro local y ademas es una de las diez sedes reales del Tango BA 2026. Diego confirmo los dos abiertos. FALTA CAPTURAR EL HORARIO DE CIERRE: en agosto de 2025 atendia lunes a viernes de 7 a 16, una retraccion fuerte; bajar de las 16 seria el escalon siguiente.",Z40 Nueva Pompeya
El Viejo Buzon,por confirmar,por confirmar,Bar Notable — sede real del Tango BA 2026 segun el GCBA,verificado_abierto,v2,2026-08-07,Diego,Bar DISTINTO de El Buzon. Es una de las diez sedes que el organizador nombra para el Festival y Mundial de Tango 2026. Confirmar su direccion contra el anexo 1225/26.,
La Orquidea,Av. Corrientes 4101 esq. Acuna de Figueroa,Almagro,"Bar Notable, una de las 12 altas del consolidado",probablemente_abierto,v5,2026-08-07,Agencia NOVA 07/08/2026,"Diego propone darla por resuelta por la entrega del diploma del 04/08. Coincido en lo practico —el riesgo real es nulo— pero por la escala queda en v5: el acto fue en la Casa de la Cultura, no en el local, y la distincion es indicio fuerte, no constatacion presencial. Se deja en probablemente_abierto SIN pendiente de chequeo.",Z37 Almagro
Bar del Glorias,Andalgala 1982,Mataderos,"Bar Notable, buffet del Club Glorias Argentinas",probablemente_abierto,v4,2026-04-06,Aqui Mataderos 06/04/2026,"Nota sobre el proyecto legislativo de beneplacito por los 85 anos del club (fundado el 03/02/1941: el aniversario es real y verificable). Describe el bar operativo con 150 personas y actividad cultural casi cada noche. RESERVA: sin reporteo propio, el parrafo tiene la cadencia de la ficha del catalogo. Via corta: @gloriasargentinas.oficial, que postea grilla.",Z33 Mataderos
Cafe Olimpo,Irigoyen 1491 esq. Arregui,"VILLA LURO (Comuna 10, segun el anexo)",Bar Notable,dudoso,ninguno,2017-07,reintento fallido por tercera vez,"HALLAZGO NUEVO QUE NO TENIAN LOS DOS CHEQUEOS ANTERIORES: hay una TIENDA ACTIVA EN RAPPI (id 210233) con la direccion exacta, carta completa y precios en pesos vigentes. Una vidriera transaccional con precios actuales la mantiene el comercio, no un archivo. PERO NO EXPONE FECHA, y sin fecha no hay nivel. Tripadvisor tiene UNA sola resena, de julio de 2017. No tiene ficha en turismo del GCBA (404). Villa Luro no esta salvado, pero dejo de estar sin pistas. Tres vias baratas: @olimpo.barcafe, el 3647-7287, o un pedido de prueba que fecharia la transaccion.",Z31 Villa Luro
9 de Julio,Larrazabal 1276,Mataderos,Bar Notable,dudoso,ninguno,2025-10-16,,"NO TIENE FICHA EN TRIPADVISOR (verificado por busqueda restringida a los tres dominios). Figura como sede de La Noche de los Bares Notables del 16/10/2025, pero quien lo nombra es un medio barrial, no el organizador: no computa como v5, y 295 dias lo dejan fuera de ventana igual. ANTECEDENTE QUE ACONSEJA NO ESTIRAR EL VEREDICTO: cerro el 06/08/2019 por tarifas y alquiler, con cartel de inmobiliaria en la puerta, y reabrio en 2021 con nuevos duenos.",Z33 Mataderos
El Cedron,Av. Juan B. Alberdi 6101 esq. Murguiondo,Mataderos,"pizzeria de 1935, Interes Cultural (Legislatura, 2013)",dudoso,ninguno,2025-06-27,,"La ficha de Tripadvisor esta desactualizada y la propia resena mas reciente lo dice: 'el telefono NO CORRESPONDE A LA PIZZERIA Y LOS DATOS TAMPOCO'. Ancla vieja pero util: una resena de 2023 pide 'la pizza de espinaca con salsa blanca', que coincide con la especialidad del anexo. Via corta: @el_cedron.",Z33 Mataderos
El Boliche de Roberto,Bulnes 331,Almagro,"Bar Notable (nombre formal '12 de Octubre', origen 1893)",dudoso,ninguno,2026-03-25,,"EL ESLABON ROTO DE ALMAGRO. Tiene rastro presencial real —check-ins de Untappd del 25/03/2026 y resenas del 22/03— pero nada cae dentro de ventana. Y carga la unica senal de cierre de toda la ronda: Yelp muestra 'CLOSED - Updated July 2026' en el titulo del resultado, pero el dominio bloquea y no se puede auditar. CONTRADICE la actividad de marzo. Se registra, no se convierte en veredicto. Via corta: @bolichederoberto_",Z37 Almagro
