polo_id,nombre_propuesto,nombre_en_ficha,nombre_mapa,nivel_del_nombre,fuente_del_nombre,marca_ficha,verificar_contenencia_normativa,nota,n_locales,barrios,comunas,calles_dominantes
P091,Palermo Soho,Palermo Soho,Palermo Soho,3,uso corriente · al sur de Av. Juan B. Justo en Palermo Viejo,,no,"Contiene la esquina Serrano y Honduras y 71 de los 130 locales de calles de Soho. Don Julio (1 Estrella, 50 Best #3) esta adentro.",728,Palermo (719); Villa Crespo (9),14; 15,Raul Scalabrini Ortiz (25); Armenia (22); Costa Rica (22); Gorriti (20); Honduras (20); Malabia (19)
P078,Palermo Hollywood,Palermo Hollywood,Palermo Hollywood,3,uso corriente · al norte de Av. Juan B. Justo en Palermo Viejo,,no,"Fitz Roy, Bonpland y Humboldt son marcadores fuertes de Hollywood. Prueba 3 y documentacion coinciden.",585,Palermo (564); Chacarita (17); Colegiales (4),13; 14; 15,Fitz Roy (29); Bonpland (27); Humboldt (25); Gorriti (19); Costa Rica (19); Arevalo (19)
P065,Las Cañitas,Las Cañitas,Las Cañitas,3,uso corriente · Turismo BA lo nombra sin publicar limites,,no,Baez 17/17 y Arce 17/17 adentro. El polo excede Cañitas: incluye Soldado de la Independencia y Luis Maria Campos.,361,Palermo (350); Belgrano (11),13; 14,Soldado De La Independencia (18); Arce (17); Baez (17); Migueletes (14); Luis Maria Campos (14); Santa Fe (10)
P103,San Telmo,San Telmo,San Telmo,3,uso corriente muy establecido; es uno de los cinco polos que nombra Turismo BA,,no,"Mercado de San Telmo (Bolivar 954) es Monumento Histórico Nacional. Foco menor de 44 locales sobre Chacabuco y Estados Unidos: se menciona, no es subzona.",342,San Telmo (278); Monserrat (62); Constitucion (2),1,Peru (14); Defensa (14); Chacabuco (13); Bolivar (13); Carlos Calvo (13); Balcarce (13)
P046,Villa Urquiza · Bulevar Mendoza y Av. Triunvirato,Villa Urquiza · Bulevar Mendoza y Av. Triunvirato,Bulevar Mendoza,3,uso corriente ('el bulevar'),,no,"El bulevar Mendoza entre Triunvirato y Barzana es el eje que la prensa reconoce. Parque Chas tiene identidad fuerte como trazado, NO como zona gastronomica.",291,Villa Urquiza (286); Parque Chas (3); Villa Ortuzar (2),12; 15,Olazabal (27); Triunvirato (25); Monroe (15); Congreso (7); Alvarez Thomas (6); Andonaegui (6)
P021,Liniers · centro comercial y microcentro boliviano,Liniers · centro comercial y microcentro boliviano,Liniers,3,uso corriente; el enclave circula con cinco nombres distintos,,no,Ibarrola y Ramón L. Falcón estan en el perimetro del enclave. Si el programa lo va a señalizar hay que ELEGIR UN NOMBRE: 'microcentro boliviano de Liniers' es el de la literatura de juntas historicas.,262,Liniers (257); Versalles (5),9; 10,Rivadavia (26); Ramon L Falcon (8); Montiel (7); Ibarrola (6); Carhue (6); Francisco De Viedma (5)
P072-4,Belgrano C,Belgrano C,Belgrano C,3,uso corriente · viene del nombre de la estacion,,no,"Cabildo, Juramento, Vuelta de Obligado y Ciudad de la Paz.",212,Belgrano (212),13,Cabildo (29); Ciudad De La Paz (19); Juramento (10); Mendoza (9); Amenabar (9); Vuelta De Obligado (6)
P056,Caballito · Av. Rivadavia y Acoyte,Caballito · Av. Rivadavia y Acoyte°,Primera Junta,4,denominacion de trabajo,°,no,"Mercado del Progreso (Av. Rivadavia 5430), con ficha en Turismo BA.",210,Caballito (210),6,Rivadavia (24); Acoyte (12); Juan Bautista Alberdi (9); Barco Centenera (8); Rosario (7); Guayaquil (6)
P073,Palermo Botánico,Palermo Botánico,Palermo Botánico,3,uso corriente · Turismo BA,,no,"Cerviño, Ugarteche y Republica Arabe Siria, entorno del Jardin Botánico.",207,Palermo (207),14,Cabello (18); Cervino (15); Las Heras (8); Jeronimo Salguero (7); Republica Arabe Siria (7); Ugarteche (7)
P113,Av. Corrientes · tramo teatral,Av. Corrientes · tramo teatral,Av. Corrientes,3,uso corriente,,no,"Nucleo teatral entre 9 de Julio y Callao. Es un EJE, no un poligono.",200,San Nicolas (164); Balvanera (36),1; 3,Corrientes (27); Montevideo (16); Rodriguez Pena (13); Tucuman (6); Callao (6); Sarmiento (5)
