id,polo,tipo_objecion,objecion,fuerza,respuesta_institucional_breve,respuesta_metodologica_breve,riesgo_si_no_se_atiende,fuente_del_riesgo
OBJ-BEL-T01,BELGRANO,tecnica,"La cobertura del 35,58 % es demasiado baja para hablar de un polo consolidado.",alta,"El polo se define por centralidades densas de oferta, no por cubrir todo el barrio ni todo el universo de puntos de trabajo.","La cobertura mide puntos del universo de trabajo dentro de la geometría multiparte a 160 m; la densidad interna es alta (~624 pts/km²) y umbrales 120/250 m justifican no forzar hull ni fragmentación arbitraria.",Desautorización pública del polo Belgrano,metricas_V3+lectura_barrio
OBJ-BEL-P01,BELGRANO,politica_comunicacional,"Si Turismo BA no lista a Belgrano y el mapa no pinta el barrio entero, el Gobierno estaría inventando un polo.",alta,"Es una definición territorial de trabajo de la Dirección, apoyada en prensa verificada y contraste espacial, explícitamente distinta del listado clásico de Turismo BA.","La ausencia en el listado institucional se declara una vez en metodología (BEL-E01); no impide la lectura de centralidades documentadas (Barrio Chino y entorno).",Pérdida de legitimidad ante pares o prensa,evidencia_V1_1+metodo
OBJ-BEL-T02,BELGRANO,tecnica,"Hay siete piezas en el mapa pero se habla de tres centralidades: es inconsistente.",media,"Las piezas son el detalle geométrico; la lectura institucional es de hasta tres centralidades bajo un solo polo, con Belgrano R como sector secundario.","KPI lock: 3 componentes y 7 piezas_topologicas; no equivalen a 7 polos ni a 7 subpolos.",Confusión con multipolos o con 'polito' Belgrano R,mapa_02+metricas
OBJ-BEL-P02,BELGRANO,politica_comunicacional,"Belgrano R aparece rotulado: ¿es o no es subpolo?",media,"En esta versión se mantiene como sector secundario; no se promueve a subpolo.",Solo una firma humana podría promoverlo; la corrida no aporta respaldo suficiente para equivalencia con la centralidad principal.,Expectativa de vecinos o referentes locales,decision_cerrada+mapa_02
OBJ-BEL-T03,BELGRANO,tecnica,"Más de la mitad de la señal es fuente externa (53,23 %).",media,"La existencia del polo no se reduce a una sola fuente; se articulan registros públicos y señales externas de localización.","La dependencia se declara como limitación de fuente; no se traduce a 'locales activos' ni a juicio regulatorio.",Sospecha de sesgo de plataformas,metricas_V3
OBJ-REC-T01,RECOLETA,tecnica,"La forma es irregular y con huecos: parece una envolvente artificial o mal recortada.",alta,"La geometría sigue la oferta densa del polo y respeta predios no gastronómicos (equipamientos, espacios abiertos); no es el límite del barrio.","REC-A es unidad continua (1 componente) con cierre cartográfico orientativo; cobertura ~78,5 % sin rellenar vacíos internos.",Lectura de arbitrariedad cartográfica,mapa_02+documental
OBJ-REC-P01,RECOLETA,politica_comunicacional,"El mapa se extiende hacia el este y puede leerse como incorporación de Retiro.",media,"El Polo Gastronómico Recoleta es una unidad de trabajo; el borde hacia Retiro se trata como transición, no como fusión de barrios.","La evidencia de corredor Alvear–Posadas es histórica (2011) y se contrastó sin expansión automática del modelo.",Conflicto de identidad barrial,documental_V1_1+resultados
OBJ-REC-T02,RECOLETA,tecnica,"La estabilidad 0,626 es solo media; el modelo no es robusto.",media,"La robustez media no impide comunicar un polo con fuerte reconocimiento institucional; se evita lenguaje de certeza absoluta.","Métrica de bootstrap/estabilidad de la corrida; se reporta en método. REC-A y REC-C comparten 0,626; la elección de REC-A es por parsimonia institucional, no por un salto de estabilidad.",Objeción de técnicos a la adopción,metricas_V3
OBJ-REC-P02,RECOLETA,politica_comunicacional,"Si había nueve núcleos, ¿por qué no nueve polos o al menos dos subpolos visibles?",alta,"Se comunica un único polo histórico; la estructura fina es analítica e interna, no una partición pública en nueve unidades.","Decisión cerrada V1.1 + REC-A: 9 núcleos absorbidos; REC-B (2 subzonas) queda como respaldo sin mejora sustancial de cobertura.",Sobrefragmentación comunicacional,decision+HDBSCAN_v21
OBJ-REC-T03,RECOLETA,tecnica,"No hay cifra de oferta publicable; el polo queda 'sin tamaño'.",baja,"El reconocimiento institucional del polo no depende de un conteo único de restaurantes en esta versión.","REC-R02 (~150) está rechazada por atribución errónea a San Telmo; publicar reemplazo exige fuente nueva y firma humana.",Presión por inventar o reintroducir la cifra,REC-R02
OBJ-CN-T01,COSTANERA_NORTE,tecnica,"El 92,96 % de dependencia de fuente externa invalida el polo.",alta,"El polo se adopta por identidad documental, marco legal del frente y decisión institucional; la fuente externa no es el único fundamento narrativo.","DEC-10 exige declarar la dependencia una vez en metodología y prohíbe usarla para degradar la jerarquía editorial.",Reapertura de DEC-10 o relegación a anexo,DEC-10+metricas
OBJ-CN-P01,COSTANERA_NORTE,politica_comunicacional,"Incluir un componente sin registros F01/F02 es institucionalizar informalidad o ilegalidad.",alta,"No se afirma informalidad ni ilegalidad de establecimientos; se reconoce un tramo con tipología de puestos/carritos y limitación de padrones de locales fijos.","CN_C02: 0 F01/F02 y 11 señales externas; lenguaje permitido = componente, franja de puestos y carritos, subregistro como hipótesis; prohibido = ilegal/irregular sin prueba oficial.",Riesgo reputacional y jurídico de lectura,CN_C02+CN-INF
OBJ-CN-T02,COSTANERA_NORTE,tecnica,"Cuatro componentes separados por cientos o miles de metros no forman un 'polo'.",media,"La discontinuidad es parte de la lógica del frente ribereño (infraestructura, Aeroparque, parques, concesiones, predios).","Separaciones documentadas 163,5–2727,5 m; sin conectores artificiales (DEC-05); 71/72 puntos asignados.",Pedido de hull o banda conectora cosmética,DEC-05+separacion_csv
OBJ-CN-P02,COSTANERA_NORTE,politica_comunicacional,"El mapa de presentación no identifica los cuatro tramos: parece incompleto o un solo enclave.",alta,"El Polo Gastronómico Costanera Norte es multiparte: cuatro componentes discontinuos con vacíos estructurales.","Ajuste de rótulos/composición (editorial); no se modifican geometrías ni se eliminan componentes.",Lectura de mapa 'vacío' o de un solo componente,mapa_02_presentacion
OBJ-CN-T03,COSTANERA_NORTE,tecnica,"Correspondencia documental solo parcial en CN_C02 y CN_C04.",baja,"La adopción del sistema multiparte no exige emparejamiento perfecto nombre-a-polígono en cada tramo.","Tabla de correspondencia V3: EMPAREJADA/PARCIAL; regla V1.1: falta de correspondencia perfecta no elimina componente.",Pedido de borrar componentes,correspondencia_csv
