n,bloque,decision,resolucion,tomada_por,fecha,consecuencia_operativa
1,criterio,"La FIAB sola, ¿abre la via C?","NO. La via C exige mercado, patio o galeria en actividad. La FIAB suma como dato de contexto pero no abre.",Diego,2026-08-07,"Hay 254 FIAB en la Ciudad: si computaran, Villa Soldati pasaria de 0 a 1 via y entraria. Revisar la via C de Z47 Monserrat, que quedo abierta solo por FIAB: pasa a NO ABRE y Monserrat queda con 4 vias, igual entra."
2,criterio,¿El reporteo 'a nivel programa' cuenta como v1?,NO. Se exige reporteo a nivel establecimiento para v1. Lo demas es v4.,Diego,2026-08-07,Tancat y El Imparcial bajan de v1-con-reserva a v4. Tancat igual queda verificado_abierto por el v2 de Instagram que confirmo Diego. El Imparcial baja a probablemente_abierto.
3,criterio,¿Los check-ins de Untappd cuentan como v3?,"SI, con nivel propio v3b.",Diego,2026-08-07,"La Perla de Caminito queda verificado_abierto en v3b. Agregar v3b a la escala: 'check-in de consumo con fecha y usuario, ultimos 90 dias'."
4,criterio,¿Se autoriza el gasto en Places?,"SI, los 220 hitos.",Diego,2026-08-07,"USD 3,74-7,04 estimados, precio NO verificado en vivo contra la consola. Confirmar antes de gastar. Campos minimos: business_status, formatted_address, opening_hours. REGISTRAR SIEMPRE LA FECHA DE CONSULTA. Nivel v2b. Asimetria: Places acredita CERRADO con mas fuerza que ABIERTO."
5,22 publicadas,"R18 Esmeralda-Paraguay, ¿se absorbe en Z46 Retiro?","SI, se absorbe.",Diego,2026-08-07,"R18 deja de existir como referencia independiente. El cluster coreano-asiatico (Maipu / Esmeralda / Paraguay / M.T. de Alvear, alturas 800-990) pasa a ser subzona de Retiro. Recalcular la matriz sin R18."
6,22 publicadas,"R19 Federico Lacroze, ¿se amplia al entorno?",SI.,Diego,2026-08-07,"El reconocimiento externo recae sobre Fraga, Dorrego, Charlone y Jorge Newbery y sobre el entorno de Plaza Los Andes, NO sobre la Av. Federico Lacroze. Ampliar hacia esos ejes."
7,22 publicadas,"R20 Garcia del Rio, ¿se revisa el corte del corredor?",SI.,Diego,2026-08-07,"Abre solo via F en la grilla pero tiene la cobertura documental mas insistente de las 22 (La Nacion 2021, 2025 y 2026 con reporteo de campo distinto cada vez). El boulevard va de Cabildo a Balbin."
8,22 publicadas,"R21 La Paternal, ¿se amplia hacia el este?",SI.,Diego,2026-08-07,"La prensa situa el circuito sobre Belaustegui, Remedios de Escalada, Paz Soldan, Rojas, Avalos, Espinosa y Terrero, hacia el limite con Villa Crespo. La matriz la define por Av. San Martin y Av. Warnes."
9,22 publicadas,R17 Villa Urquiza contra R16 DoHo,"Se mantiene R17 con delimitacion nominal, anotando la fragilidad.",Diego,2026-08-07,"Dos de los tres grupos de la via E de R17 describen DoHo, que es R16. Si se exigiera que la evidencia recaiga sobre Triunvirato-Monroe, quedaria un solo grupo y la via NO abriria. Dejar la nota en la ficha."
10,zonas nuevas,¿Entra Monserrat?,SI.,Diego,2026-08-07,"9 de los 90 Bares Notables de la Ciudad, cuatro establecimientos convergiendo en el cruce de Salta, y dos casas regionales con comedor. Cargar los 10 hitos nuevos."
11,zonas nuevas,San Cristobal,El repo corre el conteo sobre Av. San Juan 1900-2100 y Av. Independencia 2300-2500 antes de decidir.,Diego,2026-08-07,Miramar (Sarandi 1190 / Av. San Juan 1999) tiene DOBLE reconocimiento oficial: Bar Notable Y Restaurante Iconico. Nuestra base lo tenia a medias.
12,zonas nuevas,Los cinco PENDIENTE de la ronda 2,Monte Castro entra si se verifica la continuidad sobre Alvarez Jonte 4400-5300. Los otros cuatro se resuelven con las decisiones 13 y 14.,Diego,2026-08-07,Flores casco historico y Floresta dependen de la 14. Balvanera Once y Balvanera Congreso dependen de la 13.
13,zonas nuevas,Balvanera-Congreso ahora que Monserrat entra,SE FUSIONAN en un solo polo del eje Av. de Mayo - Callao.,Diego,2026-08-07,"ANCLAJE NORMATIVO: Decreto 437/1997, que declara la Av. de Mayo Lugar Historico Nacional. Recae sobre el eje mismo, no sobre un poligono de casco, asi que es mejor anclaje para un polo lineal que el APH1. El APH1 'San Telmo - Monserrat' queda como anclaje de la catalogacion de inmuebles y usos."
14,delimitacion,Flores tiene tres zonas con resultados opuestos,"TRES POLOS SEPARADOS, no uno.",Diego,2026-08-07,"Z23 casco historico (via E no abre), Z24 Avellaneda-Ruperto Godoy (abre con 6 grupos), Z39 Bajo Flores/Baek-ku (abre con 2). Esto ademas resuelve las 10 filas que estaban en requiere_cruce: se asignan por cruce espacial a la zona que las contenga."
