id_espacio,id_fuente,tipo_espacio,nombre,descripcion,direccion,barrio,comuna,latitud,longitud,calidad_geo,dias_funcionamiento,horarios,productos,url_fuente,fecha_consulta,origen_dato,estado_datos,calidad_dato,requiere_validacion,motivo_validacion,limitaciones,observaciones,id_ubicacion
ESP00001,F03,Mercado,CENTRO DE ABASTECIMIENTO MUNICIPAL Nº 72,Centro de abastecimiento municipal / mercado,AV. CORDOBA 1750,San Nicolas,1,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,CAM Nº 72,UD1B36
ESP00002,F03,Mercado,CENTRO DE ABASTECIMIENTO MUNIPAL Nº 27,Centro de abastecimiento municipal / mercado,AV. SAENZ 790,Nueva Pompeya,4,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,CAM Nº 27,U9554B
ESP00003,F03,Mercado,CENTRO DE ABASTECIMIENTO MUNICIPAL Nº 116,Centro de abastecimiento municipal / mercado,EZEIZA Y NAZCA,Villa Pueyrredon,12,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,CAM Nº 116,UEA8D5
ESP00004,F03,Mercado,CENTRO DE ABASTECIMIENTO MUNICIPAL Nº 128,Centro de abastecimiento municipal / mercado,AV. JURAMENTO 2527,Belgrano,13,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,CAM Nº 128,U7FA8F
ESP00005,F03,Mercado,Mercado Comunitario Primera Junta,Centro de abastecimiento municipal / mercado,AV. RIVADAVIA Y ROJAS,Caballito,6,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,MC PRIMERA JUNTA,UB6E19
ESP00006,F03,Mercado,M1,Centro de abastecimiento municipal / mercado,AV. ALVAREZ THOMAS Y DORREGO,Chacarita,15,No disponible,No disponible,sin_geo,No disponible,No disponible,No disponible,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,si,Mercado sin coordenadas de fuente; no geocodificado,Sin coordenadas de fuente; no mapear hasta contar con geometria oficial,M1,U79DE8
ESP00007,F03,Feria especializada,Parque Los Andes,MANUALIDADES Y ANTIGÜEDADES,CORRIENTES AV. Y DORREGO AV.,Chacarita,15,-34.59175882,-58.44790009,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U292E6
ESP00008,F03,Feria especializada,Mercado De Las Pulgas,ANTIGÜEDADES,"CORRIENTES AV. Y ARENAL, CONCEPCION",Chacarita,15,-34.58965268,-58.450172,fuente_oficial,MARTES A DOMINGO,No disponible,ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U67916
ESP00009,F03,Feria especializada,Paseo Centenario,MANUALIDADES Y ANTIGÜEDADES,"PATRICIAS ARGENTINAS AV. Y MACHADO, ANTONIO",Caballito,6,-34.60459011,-58.43607955,fuente_oficial,"SABADO, DOMINGOS Y FERIADOS",No disponible,MANUALIDADES Y ANTIGÜEDADES,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U6AFD7
ESP00010,F03,Feria especializada,PLAZOLETA 1º JUNTA,LIBROS USADOS,RIVADAVIA AV. Y BARCO CENTENERA DEL,Caballito,6,-34.62082179,-58.44169232,fuente_oficial,MARTES A DOMINGO,No disponible,LIBROS USADOS,https://data.buenosaires.gob.ar/dataset/ferias-mercados,2026-06-10,datos reales,datos reales,alta,no,Espacio de feria publicado por fuente oficial,Feria especializada/no alimentaria; no mezclar con FIAB sin aclaracion metodologica,NA,U41E96
