polo,evidencia_id,afirmacion,subzona,fuente,organismo,fecha,url,cita_breve,tipo_fuente,fortaleza,uso_permitido,contradiccion,observaciones
Belgrano,BEL-E01,CABA define corredores y zonas gastronomicas destacadas; Belgrano no figura en el listado,Marco ciudad / Belgrano general,Polos gastronomicos,Turismo BA (GCBA),s/d estable desde al menos 2014,https://turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,Te presentamos los corredores y zonas gastronomicas mas destacadas de la ciudad.,institucional_publico,ALTA_marco_BAJA_Belgrano,narrativa_institucional_comparativa,No menciona Belgrano,Lista Palermo Las Canitas Puerto Madero Recoleta San Telmo. Archivo: https://web.archive.org/web/20140927100916/http://www.turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos
Belgrano,BEL-E02,Logica de polos multiples y concentrados en la ciudad,Belgrano general,Gastronomia en Buenos Aires,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/article/gastronom%C3%ADa-en-buenos-aires,Palermo Puerto Madero Las Canitas Recoleta y San Telmo son algunos de los polos,institucional_publico,MEDIA,marco_existencia_polo,Belgrano no nombrado,Fetch HTTP a veces falla; uso solo como marco
Belgrano,BEL-E03,Belgrano descrito como barrio con gastronomia y diseno en crecimiento,Belgrano general,Belgrano: gastronomia y tiendas de diseno en un barrio que no para de crecer,La Nacion,2019-07-12,https://www.lanacion.com.ar/otros/belgrano-gastronomia-y-tiendas-de-diseno-en-un-barrio-que-no-para-de-crecer-nid12072019/,Belgrano esta en continuo movimiento y es de esos barrios que vale la pena visitar a toda hora.,periodistico,MEDIA,existencia_polo_caracterizacion,No delimita subzonas formales,Autor Gisela Carpineta; menciona Barrio Chino y Juramento
Belgrano,BEL-E04,Barrio Chino como nuevo polo gastronomico con densidad compacta y expansion Via Viva,Barrio Chino / Belgrano C,Mas de 40 locales en 4 cuadras. Como es el nuevo polo gastronomico del Barrio Chino,La Nacion,2023-05-01,https://www.lanacion.com.ar/sabado/mas-de-40-locales-en-4-cuadras-como-es-el-nuevo-polo-gastronomico-del-barrio-chino-nid01052023/,Convertir al Barrio Chino en un nuevo polo gastronomico porteno.,periodistico,ALTA,centralidad_principal_delimitacion_orientativa,Riesgo de leer 4 cuadras como poligono cerrado,Autor Sebastian A. Rios; conecta Pasaje Echeverria y Belgrano C
Belgrano,BEL-E05,Circuito foodie desde Barrio Chino hasta Pasaje Echeverria,Barrio Chino / Pasaje Echeverria,El circuito foodie de Belgrano,Buenos Aires Connect,2022-06-01,https://buenosairesconnect.com/donde-comer-belgrano-restaurantes-barrio-chino-pasaje-echeverria/,Descubri el circuito foodie de Belgrano: desde el Barrio Chino hasta el Pasaje Echeverria,divulgacion_gastronomica,MEDIA,caracterizacion_relacion_subzonas,Puede mezclar turismo y gastronomia,Autor Fiamma Zampino; menciona Belgrano R C Bajo
Belgrano,BEL-E06,Pasaje Echeverria nace como calle peatonal paralela a vias tras remodelacion Belgrano C,Pasaje Echeverria / Barrancas / Belgrano C,Los 9 mejores lugares para ir a comer en el Barrio Chino,iProfesional,2023-02-17,https://www.iprofesional.com/turismo/377641-los-9-mejores-lugares-para-ir-a-comer-en-el-barrio-chino,quedo una calle peatonal paralela a las vias que fue bautizada como Pasaje Echeverria,periodistico,ALTA,relacion_nodos_centralidad_principal,Ranking de locales no es evidencia territorial principal,Autor Silvina Reusmann; fecha original 16 incorrecta
Belgrano,BEL-E07,Nuevo Barrio Chino como gran polo de Belgrano; tramo Juramento a Mendoza,Barrio Chino / corredor bajo vias,Nuevo Barrio Chino: que comer y por cuanto en los flamantes locales del gran polo gastronomico de Belgrano,Clarin Gourmet,2023-05-14,https://www.clarin.com/gourmet/nuevo-barrio-chino-comer-flamantes-locales-gran-polo-gastronomico-belgrano_0_K19moUbDp1.html,Solo de Juramento a Mendoza en las ultimas semanas hubo 14 aperturas,periodistico,ALTA,delimitacion_orientativa_longitudinal,Riesgo de fijar tramo comercial como unidad cerrada,Autor Maria Florencia Perez; fecha original 2023-07-31 incorrecta; parcial paywall
Belgrano,BEL-E08,Barrio Chino se transformo en polo comercial y gastronomico,Barrio Chino / Belgrano C,Barrio Chino de Buenos Aires: donde queda y los mejores lugares para comer rico,Ohlala,2024-06-26,https://www.somosohlala.com/lifestyle/gastronomia/barrio-chino-reloaded-cuales-son-los-nuevos-spots-bajo-las-vias-para-comer-rico-y-pasear-nid29072023,se transformo en el nuevo polo comercial y gastronomico,divulgacion_lifestyle,MEDIA,caracterizacion_doble_comercial_gastronomica,Menor rigor institucional,Autor Maria Paula Bandera; frente a estacion Belgrano C
Belgrano,BEL-E09,Nueva escena del China town belgranense,Barrio Chino,Reporte MALEVA: seis platos de la nueva escena del Barrio Chino de Belgrano,MALEVA,2021-08-17,https://malevamag.com/2021/08/17/reporte-maleva-cuales-son-los-seis-platos-que-tenes-que-comer-si-o-si-en-el-barrio-chino-de-belgrano/,Salimos a degustar los sabores de la nueva escena del China town belgranense,gastronomico_especializado,MEDIA,caracterizacion_renovacion,Sesgo foodie,Autor Camila Barreiro; fecha original 18 incorrecta
Belgrano,BEL-E10,Belgrano como barrio de multiples recorridos; Cabildo-Juramento no fijado como subpolo,Cabildo-Juramento / barrio,Belgrano: todo lo que tenes que saber sobre este barrio sensacional,Buenos Aires Connect,2025-04-09,https://buenosairesconnect.com/belgrano-cuatro-recorridos-cuatro-aspectos-un-solo-barrio/,Titulo y seccion de cafes bares; no fija nombre Cabildo-Juramento como subpolo,divulgacion_urbana,BAJA_MEDIA,eje_descriptivo_parcial,No consolida corredor como subpolo,Evidencia debil para Cabildo-Juramento
Belgrano,BEL-E11,Bajo Belgrano apuesta a bares restaurantes y vida nocturna; calle Sucre,Bajo Belgrano / Sucre,El Bajo Belgrano apuesta a grandes bares restaurantes y vida nocturna,La Nacion,circa 2013,https://www.lanacion.com.ar/lifestyle/el-bajo-belgrano-apuesta-a-grandes-bares-restaurantes-y-vida-nocturna-nid1578738/,En la calle Sucre Dandy y una discoteca se suman en la manzana,periodistico,MEDIA,denominacion_subpolo,Delimitacion imprecisa; paywall,Replica: https://carlosfelice.com.ar/blog/2013/06/el-bajo-belgrano-apuesta-a-grandes-bares-restaurantes-y-vida-nocturna/
Belgrano,BEL-E12,Belgrano R con oferta gastronomica en recorrido de locales,Belgrano R,Una vuelta por Belgrano R,Solo por Gusto,2022-10-19,https://soloporgusto.com/una-vuelta-por-belgrano-r/,No solo de sus manchones verdes vive este barrio; tambien su propuesta gastronomica,gastronomico_especializado,MEDIA,sector_secundario_caracterizacion,HTTP 403 al abrir cuerpo completo,No evidencia subpolo formal compacto
Belgrano,BEL-E13,Belgrano R renovado; movida gastronomica; polito entre comillas,Belgrano R,BELGRANO R CON R DE RICO Y RENOVADO,MALEVA,2018-03-19,https://malevamag.com/2018/03/19/belgrano-r-con-r-de-rico-y-renovado-las-cinco-nuevas-propuestas-que-tenes-que-conocer-por-dolores-ugarte-del-rio/,se empezo a gestar una movida gastronomica; nuevo polito gastronomico,gastronomico_especializado,MEDIA,sector_secundario,Oferta dispersa hamburgueserias etc; desactualizada 2018,Autor Dolores Ugarte del Rio; no elevar a subpolo principal
Belgrano,BEL-E14,Cocinas del mundo concentradas en pocas cuadras en Belgrano,Belgrano / microsector,Cocinas del mundo: el barrio que ofrece platos de diversos paises en unas pocas cuadras,La Nacion,2025-01-20,https://www.lanacion.com.ar/sabado/el-nuevo-belgrano-la-gastronomia-del-mundo-se-da-cita-en-unas-pocas-cuadras-nid20012025/,el barrio que ofrece platos de diversos paises en unas pocas cuadras,periodistico,MEDIA,narrativa_concentracion,Paywall; precision espacial no leida en cuerpo,Fecha original 2025-02-03 incorrecta
