id,pagina,pedido_extraido,consultas_exactas,evidencia_publicable,fecha_fuente,resultado_documental,senal_no_publicable,proximo_paso
"P01","Avenida Boedo","Café Margot (Boedo 857); San Antonio (Av. Juan de Garay 3602); Esquina Homero Manzi (Av. San Juan 3601)","\"Café Margot\" \"Boedo 857\" 2026 | \"San Antonio\" \"Juan de Garay 3602\" 2026 pizzería | \"Homero Manzi\" \"San Juan 3601\" 2026","https://www.eltrecetv.com.ar/cucinare/2026/05/27/nuevas-pizzerias-emblematicas-de-buenos-aires-las-10-elegidas-por-los-empresarios-del-rubro/","2026-05-27","San Antonio: v2. Margot: sin pieza v2 fuera de plataforma. Homero Manzi: ficha oficial sin fecha editorial, no v2.","Café Margot: https://restaurantguru.com/Cafe-Margot-Buenos-Aires (2026-07-24)","Recorrido para Margot y Homero Manzi; no forzar cierre ni apertura."
"P02","Caballito","Mercado del Progreso (Av. Rivadavia 5430)","\"Mercado del Progreso\" \"Rivadavia 5430\" 2026","https://mercadodelprogreso.com/","2026-06-15","v2: el sitio del operador fecha el sorteo realizado en el mercado y publica la altura.","","Resuelto documentalmente a la fecha de la fuente."
"P03","Villa Devoto","Café de García (Sanabria 3302)","\"Café de García\" \"Sanabria 3302\" \"2026\" -Godiamo","https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-1225-26-ANX.pdf","2026-02-26","v1: catálogo patrimonial; no acredita actividad.","https://restaurantguru.com/Bar-Garcia-Buenos-Aires-2 (2026-07-02); https://godiamo.com.ar/cafes-y-dulces/cafe-de-garcia/ (consulta dinámica 2026-07-24)","Recorrido."
"P04","Villa Urquiza","Café de la U (Av. Triunvirato 4801)","\"Café de la U\" \"Triunvirato 4801\" 2026","https://turismo.buenosaires.gob.ar/es/otros-establecimientos/caf%C3%A9-de-la-u?page=7","sin fecha editorial verificable","v4: ficha oficial en presente, sin fecha; no alcanza v2.","","Recorrido o agenda oficial fechada."
"P05","Federico Lacroze","Verificar que el contorno nuevo contenga al viejo sin perder superficie","consulta local al archivo geométrico; no es búsqueda de establecimiento","","","No es un establecimiento concreto. Es una validación GIS del perímetro y quedó fuera del alcance de esta ronda documental.","","Resolver con superposición geométrica reproducible; no requiere caminar."
"P06","Palermo","Don Julio (Guatemala 4699); Crizia (Fitz Roy 1819); CoChinChina (Armenia 1540); A Fuego Fuerte (Bonpland 1670); Mengano (Cabrera 5172)","Guía Michelin 2026 Don Julio Guatemala 4699 Crizia Fitz Roy 1819 | Guía Michelin 2026 CoChinChina Armenia 1540 A Fuego Fuerte Bonpland 1670 | Guía Michelin 2026 Mengano Cabrera 5172 Buenos Aires","https://www.michelin.com/en/publications/products-and-services/the-number-of-restaurants-with-stars-has-already-reached-14-in-the-michelin-guide-buenos-aires-mendoza-2026","2026-07-13","La edición 2026 confirma actualización de la selección, y las fichas Michelin individualizan los domicilios; no apareció una pieza única, fechada, con nombre y altura para cada uno. No se los eleva a v2 por combinación de fuentes.","Fichas de la Guía Michelin con nombre, dirección y horario pero sin fecha editorial individual.","Recorrido o pieza fechada individual para cada uno."
"P07","La Paternal","MN Santa Inés (Ávalos 360)","\"MN Santa Inés\" \"Ávalos 360\" 2026","https://www.fondodeolla.com/nota/20397-santa-ines-de-los-milagros/","2026-04-28","v2: reseña fechada, nombre y altura exacta.","","Resuelto documentalmente a la fecha de la fuente."
"P08","Retiro","Bárbaro (Tres Sargentos 415); Confitería Saint Moritz (Esmeralda 894)","\"Bárbaro\" \"Tres Sargentos 415\" 2026 | \"Saint Moritz\" \"Esmeralda 894\" bar 2026","https://www.diariodecultura.com.ar/turismo-cultural/del-bollini-al-tres-sargentos-los-pasajes-mas-lindos-de-buenos-aires/","2026-05-25","Bárbaro: v2. Saint Moritz: ficha pública sin fecha, permanece EN DUDA.","","Recorrido para Saint Moritz."
"P09","Barracas · Montes de Oca","El Puentecito (Vieytes 1895; el atlas también arrastra Luján 2101)","\"El Puentecito\" \"Vieytes 1895\" 2026","","","No apareció pieza pública fechada fuera de plataformas que confirme actividad y resuelva el domicilio.","https://es.restaurantguru.com/EL-PUENTECITO-Buenos-Aires (2026-04-26)","Recorrido y control de la dirección publicada."
"P10","La Boca · Almirante Brown y Necochea","Gennarino (esquina Suárez y Necochea; sin altura en el atlas)","\"Gennarino\" \"Suárez\" \"Necochea\" 2026 restaurante La Boca","https://www.newsdigitales.com/nota/312003/buscan-transformar-la-realidad-de-la-boca-con-la-reapertura-de-dos-cantinas/","2025-09-13","La pieza documenta compra/restauración y anuncio de reapertura, no una confirmación posterior. Sin altura, tampoco satisface la regla nombre+número.","","Recorrido; obtener número de calle antes de publicar."
"P11","La Boca · Caminito","Genovés (Brandsen 923)","\"Genovés\" \"Brandsen 923\" 2026 restaurante","https://www.genovesrestaurante.com/contacto","sin fecha editorial verificable","v4: canal propio con nombre, dirección y horarios, pero sin fecha editorial.","https://es.restaurantguru.com/Genoves-Restaurante-Buenos-Aires (2026-07-02)","Recorrido o agenda/pieza fechada independiente."
"P12","Almagro","El Símbolo (Corrientes 3787); La Orquídea (Corrientes 4101); Pin Pun (Corrientes 3954)","\"El Símbolo\" \"Corrientes 3787\" 2026 bar | \"La Orquídea\" \"Corrientes 4101\" 2026 | \"Pin Pun\" \"Corrientes 3954\" 2026","https://static.buenosaires.gob.ar/sites/default/files/2026-02/DBA%20715%20WEB.pdf","2026-02-12","La Orquídea: v2 por evento oficial del 2026-02-13. El Símbolo: nota 2026 con discrepancia 3787/3797, no cierra identidad exacta. Pin Pun: sólo señal de plataforma.","Pin Pun: https://restaurantguru.com/Pin-Pun-Buenos-Aires (2026-07-13)","Recorrido para El Símbolo y Pin Pun."
"P13","Flores · Avellaneda","Barthalé; Bulmat; Karaoke W; Pan Moa; Dashimaki; Maum; Makarios; Norte Pulpería; Yugane; Shabu Shabu 153; Ichiban","\"Bulmat\" \"Ruperto Godoy 731\" 2026 | \"Karaoke W\" \"Ruperto Godoy 761\" 2026 | \"Pan Moa\" \"Ruperto Godoy 763\" 2026 | \"Dashimaki\" \"Ruperto Godoy 770\" 2026 | \"Maum\" \"Felipe Vallese 3135\" 2026 | \"Makarios\" \"Felipe Vallese 3130\" 2026 | \"Pulpería Norte\" \"Felipe Vallese 3123\" 2026 | \"Ichiban\" restaurante Flores Buenos Aires 2026","","","No apareció una pieza pública fechada, fuera de plataformas, que resuelva individualmente los once. Ichiban queda además con dirección ausente/inconsistente en el atlas.","Pan Moa: RestaurantGuru 2026-03-30; Norte Pulpería: RestaurantGuru 2026-02-25 marcado cerrado; Yugane: espejo social 2026-06-26; Shabu Shabu 153: RestaurantGuru 2025-07-02 marcado cerrado.","Recorrido completo de las once puertas; las marcas de cierre de plataforma no se publican."
"P14","Monte Castro","Continuidad del tramo Álvarez Jonte 4400–5300","consulta territorial; no es búsqueda de establecimiento","","","No es un establecimiento concreto ni se resuelve con evidencia puntual.","","Recorrido territorial sistemático o conteo GIS actualizado."
"P15","Villa Luro","Estación de Milanesas (Acassuso 5202); García Restaurante (García de Cossio 5727); Mich Bar (Basualdo 103)","\"Estación de Milanesas\" \"Acassuso 5202\" 2026 | \"Restaurante García\" \"García de Cossio 5727\" 2026 | \"Mich Bar\" \"Basualdo 103\" 2026","","","No apareció pieza pública fechada fuera de plataformas para ninguno.","Estación de Milanesas: Rappi, consulta 2026-08-10.","Recorrido de los tres."
"P16","Villa Ortúzar","Charlone; Gallo Negro; Simona; Cullen Henderson; Kopem; F4 Esquina; Tía Meche; Cantina y Teatro Tai; Suculentas; Curva","\"Cervecería Charlone\" \"Freire 745\" 2026 | \"Gallo Negro\" \"Donado 1851\" 2026 | \"Simona\" \"Alvarez Thomas 661\" 2026 | \"Cullen Henderson 1106\" 2026 restaurante | \"Kopem\" \"1700\" \"Villa Ortúzar\" 2026 | \"F4 Esquina\" \"Roseti 1596\" 2026 | \"Tía Meche\" \"Bauness 1302\" 2026 | \"Cantina y Teatro Tai\" \"Charlone 1752\" 2026 | \"Suculentas\" \"Heredia 499\" 2026 restaurante | \"Curva\" \"Caldas 1596\" 2026 restaurante","https://www.passline.com/eventos/nighthit-486912 | https://noticiasargentinas.com/turismo-y-lifestyle/suculentas--el-refugio-de-villa-ortuzar-donde-manda-el-sabor--y-el-capricho-_a6991b9f2c331fb2518af84a6","2026-05-08 | 2026-02-15","Simona y Suculentas: v2. Los otros ocho no obtuvieron pieza pública fechada con nombre y altura.","Charlone, Gallo Negro y F4 Esquina tienen fichas de plataformas/directorios actuales; quedan separadas.","Recorrido de los ocho restantes."
