pagina,elemento,texto_actual,problema,publico_afectado,accion_recomendada,texto_propuesto,prioridad,requiere_nuevo_mapa,depende_pipeline_hibrido,observaciones
1,Subtítulo de portada,"Informe","Genérico; no orienta sobre el tipo de pieza",político,simplificar,"Lectura territorial de la actividad gastronómica",media,no,no,"Cambio de una línea en el generador"
2,Página de índice,"Índice (11 entradas)","Prescindible en pieza de ≤11 páginas para decisores",político,eliminar,"(sin índice; portada + 9 páginas de contenido)",baja,no,no,"Solo si la versión política queda en ≤10 páginas"
3,Párrafo 1 del resumen,"Este informe organiza un universo semilla de 22 polos y ejes gastronómicos…","Jerga interna (universo semilla) como primera frase de la pieza",político,simplificar,"La Ciudad concentra su actividad gastronómica en un conjunto de polos y ejes reconocibles. Este informe ordena 22 zonas de referencia y detalla las cinco de mayor relevancia.",alta,no,no,"El término universo semilla se explica una sola vez en la nota metodológica"
3,Párrafo 2 del resumen,"Las áreas representadas son aproximaciones de lectura territorial: no constituyen límites oficiales, padrón de locales ni ranking gastronómico.","Triple negación en el centro del resumen; la pieza se define por lo que no es",político,trasladar_a_nota,"Las áreas representadas son referencias de lectura territorial, no límites oficiales. (una sola vez, al pie)",alta,no,no,"El texto completo va a la nota metodológica final"
3,Cuerpo del resumen,"(no existe)","Falta el hallazgo territorial: dónde se concentra la actividad, qué está consolidado, qué merece seguimiento",político,agregar,"3–4 afirmaciones territoriales en positivo (arco norte, ejes históricos del centro-sur, zonas en observación)",alta,no,no,"Redactable ya con la lectura de Fase 25; sin números nuevos"
3,Layout,"Gran espacio vacío entre párrafos y caja inferior","Página parece inacabada",ambos,simplificar,"Compactar: resumen + alcance en una sola página",media,no,no,"Se fusiona con la página 4"
4,Página completa (3 cajas),"Aclaración metodológica / Universo semilla / Subzonas","Una página entera de disclaimers hace parecer preliminar toda la pieza",político,simplificar,"Una sola nota de alcance de 3–4 líneas integrada a la página de resumen; detalle a nota metodológica final",alta,no,no,"Mantiene honestidad con una nota bien escrita en vez de tres cajas"
4,Caja 1,"…mediante fuentes abiertas, referencias territoriales y capas auxiliares de geolocalización","Demasiado técnico para el cuerpo",político,trasladar_a_nota,"(en nota metodológica) construido a partir de fuentes abiertas y referencias territoriales",media,no,no,
4,Caja 2 título,"Universo semilla","Jerga interna como título de caja",político,eliminar,"Alcance de la información",alta,no,no,
5,Tamaño del mapa global,"Mapa ocupa ~45% de la página","El elemento más importante de la pieza no domina su página",ambos,rediseñar,"Mapa a página (casi) completa",alta,sí,no,"Reencuadre del asset existente; no requiere datos nuevos"
5,Jerarquía del mapa global,"22 etiquetas del mismo peso visual","Un decisor no distingue consolidado de exploratorio; es la pregunta política central",político,rediseñar,"Tres niveles visuales: polos consolidados / ejes / zonas en observación",alta,sí,parcial,"Puede hacerse ya con criterio editorial declarado; sincronizar Costanera con DEC-05/06"
5,Leyenda,"Área aproximada; Eje / corredor aproximado","La palabra aproximado estampada en la leyenda contradice la convención declarada (DEC-09)",político,simplificar,"Área de referencia; Eje / corredor",alta,sí,no,"La convención se declara una vez en nota al pie del mapa"
5,Caja Lectura,"El mapa global ordena una mirada general de la Ciudad y ubica los principales sectores de referencia en una misma pieza.","Texto de relleno; no dice nada que el mapa no muestre",político,simplificar,"La actividad se concentra en el arco norte (Palermo–Belgrano), con ejes históricos en el centro y el sur y un frente costero en desarrollo.",alta,no,no,"Hallazgo editorial defendible con la lectura actual"
5,Representación de Costanera Norte,"Eje lineal (líneas rojas continuas)","DEC-05/06: Costanera debe ser multiparte discontinua y rotulada exploratoria",ambos,rediseñar,"Componentes discontinuas bajo una sola etiqueta con rótulo de lectura exploratoria",media,sí,sí,"Espera resultados de Codex y decisión de representación"
6,Página completa,"Lectura territorial general (3 cajas + 3 bullets)","Duplica literalmente textos de pp. 3 y 7–11; página meta que habla del informe y no del territorio",político,eliminar,"(o reconvertir en página de hallazgos)",alta,no,no,"Libera una página para Próximos pasos"
6,Bullet 3,"Las menciones laterales funcionan como referencias del universo semilla, sin ordenar preferencias.","Doble jerga (menciones laterales + universo semilla)",político,eliminar,,alta,no,no,
7-11,Título de caja izquierda,"Referencias del universo semilla","Jerga en las cinco láminas de detalle",político,simplificar,"Referencias de la zona",alta,no,no,"Cambio único en el generador (título compartido)"
7-11,Listado de locales con nombre propio,"Don Julio; La Cabrera; Kansas; …","Riesgo de lectura como aval o recomendación oficial en pieza política",político,trasladar_a_nota,"En versión política: quitar o llevar a anexo como referencias ilustrativas",media,no,no,"Decisión editorial de Diego; en versión interna pueden quedar"
7-11,Tags bajo etiquetas de mapa,"SUBZONA APROX. / ÁREA DE LECTURA / EJE APROX. / HITO / NODO / SUBZONA DE REFERENCIA","Seis vocabularios de tag distintos; transmiten inseguridad y ruido visual",político,simplificar,"Un solo sistema discreto o sin tags, con convención declarada una vez en leyenda",alta,sí,no,"Regenerable con los assets y geometrías actuales"
7-11,Leyenda de mapas de detalle,"subzona aproximada / área de lectura / avenidas de referencia","Jerga interna (área de lectura) y aproximada repetida",político,simplificar,"subzona / área de referencia / avenidas",alta,sí,no,
7-11,Título del mapa dentro de la lámina,"Palermo / Las Cañitas (repite el encabezado)","Nombre de la zona aparece 3 veces por página",ambos,simplificar,"Quitar título interno del mapa; conservar encabezado",baja,sí,no,"Mejora menor; aprovechar si los mapas se regeneran por otra causa"
8,Mapa Puerto Madero,"Banda Docks + eje naranja Sector costero superpuestos; 4 categorías de tag","Dos representaciones del mismo frente conviven; mapa angosto cargado",ambos,posponer,"Regenerar tras la repetición técnica (DH-06)",media,sí,sí,"No invertir en microajustes: la geometría puede cambiar con resultados de Codex"
9,Etiqueta principal San Telmo,"Área gastronómica + tag ÁREA DE LECTURA","Redundante (área/área) y genérica; única zona sin nombre propio",político,simplificar,"Corazón gastronómico de San Telmo (o equivalente editorial)",media,sí,parcial,"Si DH-01 c) prospera, el mapa se regenera con eje Defensa respaldado"
9,Marcador del Mercado,"Rombo grande HITO COLECTIVO","Desproporcionado respecto de la trama; hito colectivo es jerga",político,simplificar,"Marcador menor + Mercado de San Telmo",baja,sí,no,
10,Título de página,"Detalle: Corrientes / Abasto","La barra sugiere paridad entre corredor y Abasto; DEC-01 pide corredor único con Abasto asociado",político,simplificar,"Detalle: Corrientes (con Abasto como área asociada)",alta,no,no,"Ajuste de título y bajada; el mapa actual ya es compatible con DEC-01"
10,Área de Abasto,"Rectángulo gris punteado ÁREA DE LECTURA","Parece placeholder sin terminar",político,rediseñar,"Trama sutil con etiqueta Abasto — área asociada",media,sí,no,"Mismo tratamiento para Bajo Belgrano y Belgrano R en p. 11"
10,Rótulo del corredor,"Corrientes (9 de Julio – Callao) EJE APROX.","Fija extremos con precisión de calle; tolerable solo como convención declarada",técnico,mantener,"Corrientes — corredor teatral-gastronómico",baja,sí,no,"Si se mantiene el paréntesis, declarar la convención en nota"
11,Tags de subzonas Belgrano,"SUBZONA APROX. / ÁREA DE LECTURA / SUBZONA DE REFERENCIA (tres sistemas en una lámina)","Imposible reconstruir la diferencia semántica entre los tres",ambos,simplificar,"Un solo rótulo (sector de referencia) para las tres subzonas",alta,sí,no,"DEC-04: rotular como lectura editorial, sin jerarquía validada"
11,Caja de referencias,"Belgrano R: subzona de referencia dentro de la macroárea (listado entre locales)","Error de categoría: una subzona listada como referencia de local",ambos,simplificar,"Mover a la caja Lectura territorial",media,no,no,
global,Término universo semilla,"universo semilla (7 de 11 páginas)","Jerga interna dominante en toda la pieza",político,simplificar,"relevamiento inicial de referencias (una vez, en nota); en láminas no aparece",alta,no,no,"Ver GUIA_LENGUAJE_INFORMES_POLOS.md"
global,Página de cierre,"(no existe)","La pieza termina en una lámina de detalle; falta qué sigue",político,agregar,"Página final Próximos pasos: profundización de zonas, seguimiento, actualización de evidencia",alta,no,no,"Lo primero que pide un decisor; redactable ya"
global,Nota metodológica final,"(no existe; los descargos están dispersos)","Sin destino claro para el detalle metodológico que se retira de las láminas",ambos,agregar,"Una página final de nota metodológica sobria (fuentes, criterio, convención de representación)",alta,no,no,"Recibe todo lo trasladado desde pp. 3, 4 y leyendas"
