polo,metrica,valor_vigente,fuente_vigente,valor_futuro_esperado,fuente_futura_requerida,estado
global,zonas_referencia_informe,22,kpis_lock_preliminar.json (confirmado_editorial),sin cambio previsto salvo decision editorial,contenido editorial V3,CONSERVAR
global,zonas_seleccionadas_detalle,5,kpis_lock_preliminar.json (DEC-19),probable ampliacion al sumar Recoleta y Costanera al detalle (cifra la decide Diego),decision editorial de arquitectura V3,ACTUALIZAR
global,paginas_informe_politico,10,PDF experimental V1,9-10 (objetivo editorial; ver plan),PDF V3 regenerado,CONSERVAR
global,version_capas_presentacion,null,kpis_lock_preliminar.json (pendiente_de_codex),version declarada del handoff V3,handoff tecnico V3 de Codex,PENDIENTE_CORRIDA_V3
global,hashes_capas_presentacion,null,kpis_lock_preliminar.json (pendiente_de_codex),SHA-256 por archivo,manifest V3 de Codex,PENDIENTE_CORRIDA_V3
belgrano,shortlist_nucleos_tecnicos,v2: shortlist preliminar -> v2.1: regla explicita BEL_RV2_N02;N03;N05;N06 (v2.1 SUSTITUYE v2; insumo interno no publicable),DIAGNOSTICO_BELGRANO_V21.md + COMPARACION_V2_VS_V21.md,correspondencia con centralidades decididas (principal / eje interno / Bajo Belgrano / Belgrano R condicional),corrida V3 + test de correspondencia post hoc + firma DH-05,PENDIENTE_CORRIDA_V3
belgrano,jerarquia_interna_publicable,ninguna publicada (mapa actual muestra 3 areas equivalentes),PDF experimental p.7,jerarquia de 4 niveles segun decision de Diego respaldada espacialmente,corrida V3 Belgrano + firma de Diego (promocion de Belgrano R la firma Diego),PENDIENTE_CORRIDA_V3
recoleta,nucleos_hdbscan_tecnicos,9 candidatos (tecnicos; NO comunicables como 9 polos),DIAGNOSTICO_RECOLETA_V21.md,agregacion a polo unico con maximo 2 subzonas o centralidades,corrida V3 comparacion arquitecturas (a) unidad general (b) unidad + 2 subzonas,PENDIENTE_CORRIDA_V3
recoleta,cobertura_geometrica,78.23% (v2.1; interno),DIAGNOSTICO_RECOLETA_V21.md,valor V3 (interno; publicacion requiere contexto),handoff V3,PENDIENTE_CORRIDA_V3
recoleta,composicion_fuentes,404 F01/F02 + 363 Places = 47.33% Places (v2.1; interno),DIAGNOSTICO_RECOLETA_V21.md,valor V3 para nota metodologica,handoff V3,PENDIENTE_CORRIDA_V3
recoleta,cifra_oferta_publicable,sin cifra publicada (REC-R02 descartada: los ~150 restaurantes pertenecen a San Telmo),DECISIONES_Y_USOS_DOCUMENTALES.md sec.1.4,solo con firma de Diego (sec.4.6),decision humana explicita,CONSERVAR
costanera_norte,registros_conciliados,v2: 71 asignados -> v2.1: 72 conciliados = 71 en componentes + 1 dependencia de contenedor (v2.1 SUSTITUYE v2; interno),COMPARACION_V2_VS_V21.md + DIAGNOSTICO_COSTANERA_V21.md,valor V3 conciliado,handoff V3,PENDIENTE_CORRIDA_V3
costanera_norte,componentes_polo,texto vigente del informe: "tres sectores principales" / v2.1 tecnico: 3 principales + CN_C02 contexto,PDF experimental p.8 + DIAGNOSTICO_COSTANERA_V21.md,4 componentes discontinuos con CN_C02 incluido (DEC-10; ya decidido; la corrida V3 aporta geometria no cantidad),capas presentacion V3 + DEC-05/DEC-10,ACTUALIZAR
costanera_norte,cn_c02_registros,11 registros; 0 F01/F02; 100% Places (v2.1),DIAGNOSTICO_COSTANERA_V21.md,valor V3 (el componente se mantiene por DEC-10; su debilidad de fuente va a metodo),handoff V3,PENDIENTE_CORRIDA_V3
costanera_norte,dependencia_fuente_externa,93.1% (v2; no_publicable_sin_contexto),kpis_lock_preliminar.json,valor v2.1/V3 confirmado; se explica UNA sola vez en metodologia (DEC-10),handoff V3,ACTUALIZAR
costanera_norte,estatus_editorial,"lectura exploratoria / no constituye un polo delimitado" (texto vigente OBSOLETO),PDF experimental p.8,"polo identificado; delimitacion adoptada; estructura multiparte; actualizable con nueva evidencia",DEC-10 (ya vigente; no requiere corrida),ELIMINAR
corrientes,cobertura_tecnica,40.08% (v2; no_publicable_sin_contexto),kpis_lock_preliminar.json,fuera de la variante politica,sin cambio (etiquetas v2.1 no geometricas),CONSERVAR
san_telmo,cobertura_tecnica,65.0% (v2; no_publicable_sin_contexto),kpis_lock_preliminar.json,fuera de la variante politica,capas v2.1 jerarquizadas (cola previa),CONSERVAR
puerto_madero,cobertura_tecnica,79.93% (v2; no_publicable_sin_contexto),kpis_lock_preliminar.json,fuera de la variante politica,presentacion PM_PRES_C v2.1 (v2.1 SUSTITUYE la analitica de ~80 componentes para presentacion),CONSERVAR
global,paginas_fase25_oficial,11 (historico),kpis_lock_preliminar.json,sin cambio (describe la pieza oficial previa),no aplica,CONSERVAR
