polo,tipo,texto
Donado–Holmberg,para_conocer,"**Para conocer.** No hay ningún establecimiento con reconocimiento oficial adentro de este corredor, y es un dato y no un hueco: los más cercanos son el **Café de la U**, Av. Triunvirato 4801, a 602 metros, y **La Mezzetta**, Av. Álvarez Thomas 1321, a 717 — y los dos pertenecen a los polos vecinos. Este corredor se sostiene por su oferta y su forma, no por su historia reconocida."
García del Río,para_conocer,"**Para conocer.** Adentro no hay ningún establecimiento con reconocimiento oficial, pero el entorno inmediato es de los más densos del norte: **La Escuela**, Bar Notable de Manuela Pedraza 2803, queda a 341 metros, y a menos de medio kilómetro hay tres de la guía MICHELIN —**Garabato Bistró** (O'Higgins 3424), **Piedra Pasillo al Fondo** (Campos Salles 2145) y **Ness** (Grecia 3691), este último también en un ranking internacional—. Todos pertenecen al polo de Núñez, que es su vecino."
Flores · Avellaneda y Pasaje Ruperto Godoy,para_conocer,"**Para conocer.** No hay ningún establecimiento con reconocimiento oficial en más de un kilómetro a la redonda: el más cercano es **La Farmacia**, Bar Notable de Av. Directorio 2400, a 1.133 metros. Es de los casos que mejor muestran para qué sirven las seis condiciones: la zona existe, se camina y la prensa la trata como destino, y no tiene un solo nombre en los catálogos patrimoniales."
Villa Luro,para_conocer,"**Para conocer.** Ningún establecimiento con reconocimiento oficial, y no por poco: el más cercano es el Bar Notable **9 de Julio**, Larrazábal 1276, a **1.211 metros**, seguido por la heladería histórica **El Ciervo** (Carhué 124) a 1.365 y el **Café Olimpo** (Irigoyen 1491) a 1.445 — los tres del otro lado del barrio, y el Olimpo pertenece a Monte Castro. Es el polo con el entorno patrimonial más vacío de todo el atlas."
Balvanera · Once,para_conocer,"**Para conocer.** El borde que se cerró en esta edición **no contiene ningún establecimiento con reconocimiento oficial**, y hay que decir por qué: el **Café de los Angelitos**, Av. Rivadavia 2100, que es el establecimiento por el que esta zona entró al atlas, queda **768 metros afuera** del recorte de Tucumán y Paso. Los Bares Notables más cercanos —**Clásica y Moderna** (Av. Callao 892) a 658 metros, **Los Galgos** (Av. Callao 501) a 665 y **La Academia** (Av. Callao 368) a 683— son del entorno de Corrientes y Callao, no del enclave kosher."
Parque Avellaneda,para_conocer,"**Para conocer.** Ningún establecimiento con reconocimiento oficial adentro. El más cercano es **Yiyo el Zeneize**, Av. Eva Perón 4402, a 515 metros. Los tres locales que esta página nombra —La Barra del Parque, De Flores Café y el Viejo Mercado— no están en ningún catálogo patrimonial: son la oferta del anillo, y sólo el primero cae adentro del borde dibujado."
Baek-ku · Barrio Coreano,para_conocer,"**Para conocer.** Ninguno, y es la característica central de este polo: no hay un solo establecimiento con reconocimiento oficial en las siete cuadras, ni ninguno a menos de 797 metros —el Bar Notable **La Farmacia**, Av. Directorio 2400—. Entra por la colectividad y por cómo lo trata la prensa, no por sus catálogos."
Baek-ku · Barrio Coreano,dato,"**Un dato.** «Baek-ku» quiere decir **«ciento nueve»**, y viene de la línea 109 de colectivos, la que los coreanos usaban para llegar al Bajo Flores. No es un topónimo coreano: es el número de un bondi."
Monserrat y Congreso,dato,"**Un dato.** Cuatro Bares Notables convergen sobre un solo cruce, el de Salta con Av. de Mayo e Hipólito Yrigoyen: Bar Iberia, Plaza Asturias, El Globo y El Imparcial. **La distancia máxima entre los cuatro es de 76 metros.** Dos tienen reconocimiento formal y dos no tienen ninguno."
"Barracas · Iriarte, California y Vieytes",dato,"**Un dato.** El Puentecito, Vieytes 1895, tiene origen en **1750** como pulpería y posta de carretas, y el sitio oficial de turismo lo describe como el restaurante más antiguo de Buenos Aires que sigue funcionando en su emplazamiento original."
La Boca · Caminito y Vuelta de Rocha,dato,"**Un dato.** El Obrero, Agustín R. Caffarena 64, cerró ocho meses durante la pandemia y volvió a abrir. Este atlas no lo cuenta entre los que cerraron: un cierre temporal no es una extinción, y las dos listas se llevan por separado."
Nueva Pompeya · eje Av. Sáenz,dato,"**Un dato.** El Mercado de Pompeya es **uno de los cuatro mercados municipales que quedan en toda la Ciudad**, y el único de la Comuna 4. Se recicló entre 2015 y 2019 y tiene panadería, fiambrería, pastas, confitería, heladería, carnicería y pescadería."
Parque Avellaneda,dato,"**Un dato.** Once locales en 75 hectáreas parece poquísimo, y lo es por una razón de dibujo: la mayor parte de lo que el borde encierra **es el parque**. La densidad por hectárea de este polo no se compara con la de ninguno de los otros."
Almagro,dato,"**Un dato.** Almagro tiene cinco Bares Notables y **ninguno de los cinco cae dentro de la mancha que la detección por densidad encuentra en el barrio**. Están sobre Guardia Vieja, Corrientes y Rivadavia, tres ejes distintos. Es el caso que obligó a medir la historia sobre la zona y no sobre el recorte."
Retiro,dato,"**Un dato.** El núcleo coreano y asiático que esta página declara —14,9 hectáreas y 117 locales— **cae entero en San Nicolás**, no en Retiro. El polo lleva el nombre del barrio y su parte más específica está del otro lado del límite."
Villa Santa Rita,dato,**Un dato.** Es uno de los pocos polos que entra **sin densidad y lo dice**: seis locales dispersos en diez cuadras son un conjunto y no una concentración. Se sostiene por su historia y por cómo lo trata la prensa.
Microcentro,dato,"**Un dato.** Es el segundo polo del atlas por cantidad de locales y a la vez uno de los polos que más discusión generó: con una vara de tres condiciones en lugar de dos, el Microcentro **quedaba afuera del atlas gastronómico de Buenos Aires**. Fue uno de los casos que decidió dónde poner la vara."
