orden_prioridad,nombre,barrio,polo_id,polo_nombre,hitos_reconocidos_en_polo,criterio_prioridad,estado_previo,nivel_previo,dias_desde_verificacion_previa,resultado,nivel_resultante,fecha_nueva,fuente_nueva,observaciones,es_de_los_42
1,EL PROGRESO,Barracas,Z50,Barracas · Av. Montes de Oca,2,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2022-10-28,https://buenosaires.gob.ar/sites/default/files/media/document/2022/10/25/76961abb6ac6cfd729e46cbd62f3328b39ac793a.pdf,Programación cultural oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
2,BAR 9 DE JULIO,Mataderos,Z33,Mataderos,6,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,298,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
3,EL QUERANDI,Monserrat,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-07-23,https://buenosaires.gob.ar/gcaba_historico/noticias/borges-vuelve-los-bares-notables,Itinerario cultural oficial fechado con parada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
4,LA PUERTO RICO,Monserrat,R12,Centro y Microcentro,21,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-11-08,https://buenosaires.gob.ar/noticias/charlas-en-los-bares-notables-de-la-ciudad,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
5,BAR EL COLONIAL,Monserrat,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-05-22,https://buenosaires.gob.ar/gcaba_historico/noticias/actividades-de-mayo-en-los-bares-notables,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
6,BAR PORTUARIO,La Boca,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-11-08,https://buenosaires.gob.ar/noticias/charlas-en-los-bares-notables-de-la-ciudad,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
7,BAR SEDDON,Monserrat,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
8,BOCA A BOCA BAR,La Boca,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2024-11-02,https://buenosaires.gob.ar/sites/default/files/2024-10/Programaci%C3%B3n_0.pdf,Programación oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
9,CAFE ROMA,La Boca,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-06-22,https://www.infobae.com/sociedad/2025/06/22/cafetines-de-buenos-aires-el-bar-centenario-que-funciona-como-sede-social-del-barrio-de-la-boca-y-exhibe-donaciones-de-vecinos/,Pieza periodística fechada y centrada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
10,EL ESTANO 1880,La Boca,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó una pieza pública individual y fechada que supere el estándar previo. La ausencia de evidencia no se interpreta como cierre.,si
11,LA FLOR DE BARRACAS,Barracas,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-11-08,https://buenosaires.gob.ar/noticias/charlas-en-los-bares-notables-de-la-ciudad,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
12,ROMA DEL ABASTO,Balvanera,,,,fuera_de_soportes; prioridad_posterior,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,si
13,ESQUINA HOMERO MANZI,Almagro,R14,Avenida Boedo,3,sostiene_condicion_historia; priorizar_por_pocos_hitos,en_riesgo,v1,95,abierto_a_fecha_fuente,v2,2024-11-02,https://buenosaires.gob.ar/sites/default/files/2024-10/Suplemento%20semanal%20Descubrir%20BA%20%E2%80%A2%2031%20de%20octubre%20al%206%20de%20noviembre%20de%202024%20%E2%80%A2.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
14,CABILDO DE BUENOS AIRES,Monserrat,Z47,Monserrat y Congreso,5,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-05-25,https://holasantelmo.ar/el-bar-donde-desayunaba-el-papa-y-se-fundo-un-club-de-futbol/,Pieza barrial fechada que describe la operación actual del establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
15,LONDON CITY,Monserrat,Z47,Monserrat y Congreso,5,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2024-11-02,https://buenosaires.gob.ar/sites/default/files/2024-10/Suplemento%20semanal%20Descubrir%20BA%20%E2%80%A2%2031%20de%20octubre%20al%206%20de%20noviembre%20de%202024%20%E2%80%A2.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
16,LA ESCUELA,Nunez,Z41,Núñez,6,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-07-16,https://www.diariodecultura.com.ar/turismo-cultural/bar-la-escuela-en-el-barrio-de-nunez/,Pieza periodística fechada y centrada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
17,CAFE SAN BERNARDO,Villa Crespo,R08,Villa Crespo,8,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
18,ALMACEN Y BAR LAVALLE,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://buenosaires.gob.ar/sites/default/files/2025-10/DBA%20701%20WEB_0.pdf,Actividad oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
19,BAR DEL ALVEAR PALACE HOTEL,Recoleta,R06,Recoleta,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó una pieza pública individual y fechada que supere el estándar previo. La ausencia de evidencia no se interpreta como cierre.,no
20,CELTA BAR,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-10-16,https://turismo.buenosaires.gob.ar/es/article/la-noche-de-los-bares-notables,Programación turística oficial fechada en el establecimiento. Acredita vigencia en esa fecha; no equivale a constatación al corte.,no
