polo_uid,polo_nombre,referente_id,nombre,categoria_referente,subcategoria,direccion,lat,lon,barrio,comuna,estado_vigencia,fecha_verificacion,reconocimiento,fuente,nivel_confianza,motivo_inclusion,es_icono_principal,es_ancla,observaciones,asignacion_metodo,fuera_geometria,cerca_borde_50m,distancia_borde_m
POLO-R01,Palermo,HITO-MIC-020,A Fuego Fuerte,MICHELIN,Recomendado/seleccionado,Bonpland 1670,-34.583595,-58.437705,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/a-fuego-fuerte,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,349.847
POLO-R01,Palermo,HITO-DIR-008,Angelin,pizzería histórica,APYCE + GCBA (2025),Av. Cordoba 5270,-34.589853,-58.436933,Villa Crespo,Comuna 15,SIN_VERIFICAR,,APYCE + GCBA (2025),https://www.canal26.com/turismo/2026/06/24/las-pizzerias-emblematicas-de-buenos-aires-historia-precios-y-por-que-siguen-marcando-la-cultura-portena/,media,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,SI,42.822
POLO-R01,Palermo,HITO-MIC-032,Buri Omakase,MICHELIN,Recomendado/seleccionado,Guatemala 5781,-34.578876,-58.433715,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/buri-omakase,alta,referente documentado; asignación geometria,NO,NO,,GEOMETRIA,NO,NO,73.432
POLO-R01,Palermo,HITO-H021,Cafe Cortazar,Bar Notable,,Jose Antonio Cabrera 3797,-34.596464,-58.419818,Palermo,Comuna 14,OPERATIVO,2026-08-08,Bar Notable (Boletín Oficial · declaratoria),Boletín Oficial CABA,alta,referente documentado; asignación documento,NO,SI,Fuera de la geometría; asociación documental explícita.,DOCUMENTO,SI,NO,639.636
POLO-R01,Palermo,HITO-H162,CoChinChina,Latin America’s 50 Best,The World's 50 Best Bars 2025,Armenia 1540,-34.590428,-58.428895,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,The World's 50 Best Bars 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,302.699
POLO-R01,Palermo,HITO-H155,Crizia,Latin America’s 50 Best,Latin America's 50 Best Restaurants 2025,Gorriti 5143,-34.58849,-58.432514,Palermo,Comuna 14,SIN_VERIFICAR,,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,234.463
POLO-R01,Palermo,HITO-MIC-009,Crizia,MICHELIN,Una Estrella,Fitz Roy 1819,-34.583209,-58.435151,Palermo,Comuna 14,SIN_VERIFICAR,,Una Estrella,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/crizia,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,170.959
POLO-R01,Palermo,HITO-H149,Don Julio,Latin America’s 50 Best,Latin America's 50 Best Restaurants 2025,Guatemala 4699,-34.586392,-58.424304,Palermo,Comuna 14,SIN_VERIFICAR,,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,293.789
POLO-R01,Palermo,HITO-H160,Don Julio,Latin America’s 50 Best,The World's 50 Best Restaurants 2025,Guatemala 4699,-34.586392,-58.424304,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,The World's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,293.789
POLO-R01,Palermo,HITO-MIC-023,Don Julio,MICHELIN,Una Estrella,Guatemala 4699,-34.586392,-58.424304,Palermo,Comuna 14,SIN_VERIFICAR,,Una Estrella,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/don-julio,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,293.789
POLO-R01,Palermo,HITO-H151,El Preferido de Palermo,Latin America’s 50 Best,Latin America's 50 Best Restaurants 2025,Jorge Luis Borges 2108,-34.585456,-58.4253,Palermo,Comuna 14,SIN_VERIFICAR,2026-08-08,Latin America's 50 Best Restaurants 2025,The World's 50 Best (sitio oficial),alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,315.006
POLO-R01,Palermo,HITO-MIC-038,El Preferido de Palermo,MICHELIN,Recomendado/seleccionado,Jorge Luis Borges 2108,-34.585456,-58.4253,Palermo,Comuna 14,SIN_VERIFICAR,,Recomendado/seleccionado,https://guide.michelin.com/ar/es/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurante/el-preferido-de-palermo,alta,referente documentado; asignación geometria+documento,NO,SI,,GEOMETRIA+DOCUMENTO,NO,NO,315.006
