polo,establecimiento,direccion,tipo,reconocimiento,dentro_del_borde,distancia_m,sostiene_condicion_historia,zona_id,origen_del_dato,ubicacion_metodo,estado_vigencia,borde_tentativo,borde_es_propio
R01 · Palermo,Cafe Cortazar,Jose Antonio Cabrera 3797,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,639.6,no,R01,la página,punto de la capa de reconocimiento,ABIERTO,no,si
R01 · Palermo,Varela Varelita,Av. Scalabrini Ortiz 2102,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,82.4,no,R01,la página,punto de la capa de reconocimiento,ABIERTO,no,si
R01 · Palermo,A Fuego Fuerte,Bonpland 1670,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Angelin,Av. Cordoba 5270,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,CoChinChina,Armenia 1540,Ranking internacional,The World's 50 Best Bars 2025,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Crizia,Fitz Roy 1819,MICHELIN,Una Estrella,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Don Julio,Guatemala 4699,MICHELIN,Una Estrella,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,El Preferido de Palermo,Jorge Luis Borges 2108,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Fogón Asado,Uriarte 1423,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Gran Dabbang,Av. Raul Scalabrini Ortiz 1543,Ranking internacional,Latin America's 50 Best 2025 (51-100),si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Mengano,José Antonio Cabrera 5172,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la página y la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Mercado Bonpland,Bonpland 1660,Mercado/patio,Mercado o patio documentado,si,0.0,no,R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Mercado de Liniers,Gorriti 6012,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Niño Gordo,Thames 1810,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Raggio Osteria,Gurruchaga 2121,MICHELIN,Recomendado/seleccionado,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Reliquia,Ángel Justiniano Carranza 1601,MICHELIN,Bib Gourmand,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Tres Monos,Guatemala 4899,Ranking internacional,The World's 50 Best Bars 2025,si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R01 · Palermo,Victor Audio Bar,Soler 5130,Ranking internacional,The World's 50 Best Bars 2025 (51-100),si,0.0,"si (distinción contemporánea, no trayectoria)",R01,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R02 · Avenida Corrientes,Bar Lavalle,Lavalle 1693,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R02,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R02 · Avenida Corrientes,Celta Bar,Sarmiento 1702,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R02,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R02 · Avenida Corrientes,El Gato Negro,Av. Corrientes 1669,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R02,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R02 · Avenida Corrientes,Guerrin,Av. Corrientes 1368,Pizzería emblemática,APYCE + GCBA (2025),si,0.0,si,R02,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R02 · Avenida Corrientes,LA GIRALDA,Av. Corrientes 1453,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R02,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R02 · Avenida Corrientes,LOS GALGOS,Av. Callao 501,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R02,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R02 · Avenida Corrientes,La Academia,Montevideo 341,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R02,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R02 · Avenida Corrientes,La Opera,Av. Corrientes 1799,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R02,la página y la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R02 · Avenida Corrientes,Petit Colón,Libertad 505,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),si,0.0,si,R02,la capa de reconocimiento,punto de la capa de reconocimiento,ABIERTO,no,si
R02 · Avenida Corrientes,Zum Edelweiss,LIBERTAD 431,Restaurante Icónico,Restaurante Icónico,si,0.0,si,R02,la capa de reconocimiento,punto de la capa de reconocimiento,sin_verificar,no,si
R03 · San Telmo,HIPOPOTAMO,Brasil 401,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,212.7,no,R03,la página,punto de la capa de reconocimiento,ABIERTO,no,si
R03 · San Telmo,Cafe Rivas,Estados Unidos 302,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,208.2,no,R03,la página,punto de la capa de reconocimiento,ABIERTO,no,si
R03 · San Telmo,Mercado de San Telmo,Defensa 961,Mercado/patio,Mercado o patio documentado,no,64.2,no,R03,la página,punto de la capa de reconocimiento,sin_verificar,no,si
R03 · San Telmo,BAR PLAZA DORREGO,Defensa 1098,Bar Notable,Bar Notable (Boletín Oficial · declaratoria),no,27.2,no,R03,la página,punto de la capa de reconocimiento,ABIERTO,no,si
