tema,archivo,existe,ruta
criterio de las dos familias de vías,CRITERIO_ESCALA_DE_LAS_VIAS.md,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\CRITERIO_ESCALA_DE_LAS_VIAS.md
criterio de escala de la vía E,CRITERIO_ESCALA_DE_LA_VIA_E.md,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\CRITERIO_ESCALA_DE_LA_VIA_E.md
"vía E, las 94 filas asignadas",via_E_94_filas.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\via_E_94_filas.csv
"vía E, las 22 referencias publicadas",via_E_22_referencias.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\via_E_22_referencias.csv
decisión trayectoria versus actividad,DECISION_TRAYECTORIA_VS_ACTIVIDAD.md,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\DECISION_TRAYECTORIA_VS_ACTIVIDAD.md
las 20 decisiones con su consecuencia operativa,DECISIONES_TOMADAS_2026-08-07.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\DECISIONES_TOMADAS_2026-08-07.csv
escala de vigencia y primeros patrones de falla,ESCALA_DE_VIGENCIA_Y_PATRONES_DE_FALLA.md,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\ESCALA_DE_VIGENCIA_Y_PATRONES_DE_FALLA.md
vigencia · rondas y tandas,vigencia_verificada_ronda_1.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\vigencia_verificada_ronda_1.csv
vigencia · rondas y tandas,_ronda_2.csv,no,
vigencia · rondas y tandas,vigencia_ronda_2_cerrada.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\vigencia_ronda_2_cerrada.csv
vigencia · rondas y tandas,vigencia_tanda_A_centro.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\vigencia_tanda_A_centro.csv
vigencia · rondas y tandas,vigencia_tanda_B_almagro_norte.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\vigencia_tanda_B_almagro_norte.csv
vigencia · rondas y tandas,vigencia_cierre_del_dia.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\vigencia_cierre_del_dia.csv
auditoría del catálogo oficial · los tres cerrados,catalogo_notables_auditoria_cierres.csv,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\catalogo_notables_auditoria_cierres.csv
auditoría del catálogo oficial · los tres cerrados,AUDITORIA_DEL_CATALOGO_OFICIAL.md,si,outputs\BARRIDO_CIUDAD_2026-08\desde_cowork\evidencia_2026\AUDITORIA_DEL_CATALOGO_OFICIAL.md
