metrica,valor,detalle
total_candidatos_revisados,26,acumulado (incluye equivalencias CAM y alias M1)
mercados_en_alcance_total,16,padron candidato V2
mercados_gastronomicos_activos_confirmados,13,activos de sede fija
mercados_itinerantes_activos,2,Buenos Aires Market + Sabe la Tierra
mercados_activos_para_conteo_total,15,SIN CAMBIOS respecto de V1.2
mercados_cerrados_documentados,1,Mercado de los Carruajes
mercados_pendientes,0,cierre V1.2 mantenido
distritos_gastronomicos_no_mercado,2,Barrio Chino + Los Arcos del Rosedal
abasto_barrial_no_gastronomico,3,Mercado Pompeya + Villa Pueyrredon + Primera Junta
fuera_de_alcance,2,Mercado de las Pulgas (= M1) + Distrito Arcos
publicos,3,sobre los 16 en alcance
privados,7,sobre los 16 en alcance
mixtos,6,sobre los 16 en alcance
fuentes_internas_archivos,119,carpeta fuentes_internas_mercados_caba (gitignored)
fuentes_internas_mercados_gastronomicos,40,archivos clasificados como mercados_gastronomicos
fuentes_internas_sensible_no_usar,1,archivo marcado sensible_no_usar (no se exporta su contenido)
activos_corroborados_por_internas,4,Belgrano Bonpland San Nicolas Progreso
google_modo,run,ejecutado con key (GOOGLE_MAPS_API_KEY)
google_queries_ejecutadas,25,corrida limitada (15 validacion + 10 descubrimiento); previa prueba de 5
google_errores_api,0,sin errores en la corrida limitada
google_resultados_obtenidos,98,lugares devueltos
google_costo_estimado_usd,0.80,orden de magnitud ~0.032/req; CONFIRMAR pricing (prueba previa ~0.16)
google_matches_con_15_activos,15,los 15 activos aparecen en Google
google_discrepancias_cierre,2,Mercado Soho y Mercat Caballito marcados CLOSED_PERMANENTLY por Google (a validar)
google_match_dudoso,1,El Galpon devolvio teatro/event_venue homonimo (a verificar)
posibles_omitidos_pendiente_revision,7,detectados por Google; NO se suman al conteo
posibles_omitidos_ya_en_relevamiento,2,Mercado Primera Junta (abasto) y Patio Parque Patricios (= MG-0010)
conteo_principal_cambia,no,se mantienen 15 activos; discrepancias quedan para validacion territorial
fecha_corte,2026-06-24,enriquecimiento V2 (Google run + internas + documental)
