enclave_id,colectividad,barrios,comuna,delimitacion_textual,nivel_precision,desde,designacion_oficial,es_normativa,n_grupos_fuentes,establecimientos_con_direccion,estado_via_D,eventos_o_ferias,advertencia,puerta_cerrada,fecha_relevamiento
E01,peruana,"Balvanera (sector Abasto), derrame sobre borde de Almagro",3,"Eje primario: Aguero entre Av. Corrientes y Valentin Gomez, altura 400-450. Eje secundario: Jean Jaures al 600 y Pasaje Zelaya. Extension oriental hasta Humahuaca sostenida solo por la fuente de 2025. Anexos por establecimiento: Guardia Vieja 3372 y Av. Corrientes 3564.",alta sobre Aguero (calle + altura + cabeceras); media sobre Jean Jaures y Zelaya (calle sin cabecera),Dos capas: presencia estudiantil minoritaria hacia mediados de los anos 50 (Barriada); instalacion masiva en los anos 90 (DAIA 2013),Acto de instalacion del 02/06/2012 con placa conmemorativa. Impulsores: Santiago Vargas (Prensa 10) y el Consulado del Peru. En 2016 la Junta Comunal 3 coorganizo la feria.,"NO. Es una placa vecinal-consular, no un instrumento normativo. Registrarla como norma seria el error mas facil de cometer con este material.",3,"Maximo Comida Peruana (Aguero 404) | Mamani (Aguero 450 o 707, EN CONFLICTO) | Grau Cebicheria (Guardia Vieja 3372, verificado abierto 06/2025) | Los Trujillanitos (Av. Corrientes 3564, verificado abierto) | Asu Helados (Jean Jaures 611) | Mochica y Cholo con Che (frente al ex Mercado, sin altura)",abierta,"Ollas y Sabores del Peru, 03/12/2016, Aguero entre Zelaya y Valentin Gomez. Se anuncio como primera de un programa; NO se encontro edicion posterior. No afirmar que es periodica.","La cuadra 400 de Aguero esta en RECAMBIO ASIATICO: Jua Jua Ramen (Aguero 436, 2024), OI Argentina (Aguero 449, 2024), Bu Fu Shi Guang (Anchorena 628, 2019). La nota de 2025 se titula 'Peru y Asia unidos por la calle Aguero'. La delimitacion de 2012 y la de 2025 describen realidades distintas.","Habilitaciones AGC; actas de la Junta Comunal 3; articulo de Cuberos (AIBR 2019) tras membresia; BA Colectividades del GCBA devuelve error de sitio (fuente publica caida, no registro interno)",2026-08-07
E02,china (con presencia taiwanesa fundacional),Belgrano,13,Eje principal: Arribenos entre Juramento y Olazabal (dos cuadras peatonalizadas desde 2015). Area de influencia declarada: radio de cuatro manzanas. Extension Via Viva (2023) entre Juramento y Sucre. Arco de acceso en Arribenos y Juramento (2009). Templo Chong Kuan sobre Montaneses (1988).,alta,oleada inmigratoria de la decada de 1980,"ninguna norma localizada. La peatonalizacion de 2015 y el arco de 2009 presumiblemente tienen acto administrativo detras, sin numero localizado.",no,2,NINGUNO. Ni el GCBA ni Deep Buenos Aires nombran un solo restaurante: ambos dicen genericamente 'numerosos restaurantes de cocina asiatica'. Unico inmueble nombrado: Templo Chong Kuan.,abierta,"Ano Nuevo Chino, con sede en el propio barrio","El poligono real de consumo son DOS CUADRAS, no el barrio. Un poligono de cuatro manzanas sobredimensiona la via D. Vacio llamativo de establecimientos: recomienda una segunda pasada especifica.",ninguna en sentido estricto,2026-08-07
E03,coreana,Bajo Flores (Flores),7,"Av. Carabobo entre Av. Castanares y Av. Eva Peron, siete cuadras. Al sur de Flores, en el limite con Parque Chacabuco.","media-alta (eje, cabeceras y cantidad de cuadras; sin alturas)","Dos relojes: llegada de los primeros migrantes de posguerra a finales de los anos 50 (Museo Barrio de Flores) y consolidacion del barrio en la decada de 1970 (Instituto Coreano Argentino, 1976)","ninguna norma. El GCBA lo reconoce como producto turistico (Barrio Coreano, Circuito 2): reconocimiento administrativo blando, no designacion territorial.",no,3,"Solo 'Una Cancion Coreana', sin direccion. Deficit serio de la ficha.",abierta,no relevados,"DOS CORRECCIONES. Primera: la adjudicacion a Parque Chacabuco es erronea pero tiene raiz real, porque Av. Carabobo ES el limite entre Flores y Parque Chacabuco y la vereda impar puede caer del otro lado. Territorialmente el enclave es Bajo Flores, Comuna 7. Segunda: 'Baek-ku' (blanco-nueve) NO es un nombre de barrio, significa literalmente 'ciento nueve', por la linea de colectivo 109. Cargarlo como toponimo coreano seria un error de traduccion.","el circuito oficial del GCBA publica los locales solo dentro de un mapa embebido de Google Maps, no en texto: inaccesible por fetch, requiere navegador",2026-08-07
E04,"coreana (extension comercial, no nucleo residencial)",Floresta / Flores — en disputa,7,"Pasaje Ruperto Godoy, calle peatonal de 100 metros, a dos cuadras de Avellaneda y Nazca. Alturas documentadas: Ruperto Godoy 712-770, Felipe Vallese 3123-3135, Paez 3063-3154.",alta — el enclave mejor documentado por altura de puerta de todo el relevamiento,"posterior al nucleo del Bajo Flores. DAIA (2013) registra el movimiento desde el Once. El pasaje funciono primero a puertas cerradas, solo para la comunidad.","ninguna. Circula la etiqueta periodistica 'Corea Soho' (La Nacion 2020), sin respaldo normativo.",no,4,"Barthale (Ruperto Godoy 712) | Bulmat (731) | Karaoke W (761) | Pan Moa (763) | Dashimaki (770) | Maum (Felipe Vallese 3135) | Makarios (3130) | Pulperia Norte (3123) | Yugane (Paez 3063) | Shabu Shabu 153 (Paez 3154) | Ichiban (esquina Felipe Vallese y Ruperto Godoy, sin altura)",abierta,ninguno con sede fija localizado,"CONTRADICCION DE BARRIO SIN RESOLVER: La Nacion y Nueva Ciudad lo ubican en Floresta; Diario de Flores y el GCBA en Flores. Las alturas caen sobre la franja limitrofe, ninguna fuente es obviamente falsa. PARA POLIGONIZAR: usar las alturas, no el nombre del barrio. Segunda advertencia: el iman primario de Av. Avellaneda es la ropa, no la comida.",ninguna,2026-08-07
E05,"judia (askenazi historica, hoy con fuerte componente sefardi y ortodoxo)",Balvanera (Once),3,"Poligono declarado por DAIA: Corrientes, Pueyrredon, Rivadavia y Pasteur — la propia fuente advierte que estos limites son objeto de discusion. Delimitacion empirica por puertas habilitadas (GCBA 2015), mucho mas apretada: Tucuman 2379-2802, Paso 706-757, Ecuador 594-742, San Luis 2427-2742, Av. Pueyrredon 336-880.",alta — unico enclave con altura de puerta de fuente oficial,siglo XIX en adelante; DAIA cita llegadas de 1907 y 1912 y ~303.000 ingresos hasta 1959,ninguna localizada,no,3,"17 gastronomicos y 9 de abastecimiento del padron oficial. Destacados: Lalo Helueni (Tucuman 2755, VERIFICADO ABIERTO por La Nacion 23/09/2022) | Al Galope (Tucuman 2633) | El Jaial (Tucuman 2620) | Sucat David (Tucuman 2379) | Yaffo Kosher (Paso 747) | McDonald's Kosher (Av. Corrientes 3247) | El Pasaje (Pasaje El Lazo 3141)",abierta,no relevados,"El poligono de DAIA es NOTABLEMENTE mas grande que la nube real de puertas, que se concentra en Tucuman 2300-2800 y Paso 700. Si se poligoniza el declarado, se diluye la densidad. Segunda: el mismo texto de DAIA se titula 'Once, de enclave judio a espacio multicultural': la fuente que aporta el poligono avisa que el enclave esta en retirada.",actualizacion del padron kosher posterior a 2015; el publicado tiene once anos,2026-08-07
E06,judia sefardi y ortodoxa,Flores,7,"SIN delimitacion textual narrada por ninguna fuente. Reconstruida por altura de puerta: Av. Avellaneda 2395-2701, Dr. Juan F. Aranguren 2941-3192, Argerich 809-843, Campana 349, Cuenca 180-515, Helguera 465, Bolivia 449.","alta en puntos, NULA en bordes — el caso inverso al Barrio Chino",NO DOCUMENTADO. Es la laguna mas grande de la ficha.,ninguna localizada,no,1,Hamra (Aranguren 3192) | Nacca (Argerich 843) | Soultani (Cuenca 515) | Productos Cohen (Cuenca 180) | American Kosher (Av. Avellaneda 2701) | Kosher City (Av. Avellaneda 2395) | Matok (Av. Avellaneda 2433) | Azulay (Aranguren 2941) | Behar (Campana 349) | Amlti Kosher (Bolivia 449). Todos del padron 2015: DUDOSOS EN BLOQUE.,abierta,ninguno localizado,"n_grupos = 1. Con una sola fuente, y de 2015, este enclave NO deberia computar como 'delimitado' al mismo nivel que los demas, aunque tenga la lista de direcciones mas larga despues del Once. Y el Pasaje Valle, que yo habia nombrado, NO aparece en ninguna fuente legible: no debe cargarse.","padron kosher vigente; registros de las kehilot sefardies, no publicos",2026-08-07
E07,boliviana,Liniers,9,"SIN delimitacion textual confirmada en esta pasada. El cuadrante Jose Leon Suarez / Montiel / Ramon Falcon / Ibarrola vino en la consigna, NO en una fuente. IMPORTANTE: el IDECBA corrobora el eje por otra via — el eje comercial oficial de Liniers es Ramon Falcon 6801-7299, una de esas cuatro calles.","baja (a nivel de mercado identificado, no de poligono)",no documentado en esta pasada,ninguna localizada,no,0 verificados (5 candidatos identificados y no extraidos),"ninguno con nombre y altura verificados en esta pasada. De la ronda anterior: El Conejo (Jose Leon Suarez 216), Miriam (Ibarrola 7184), Pollo Copacabana (Ibarrola 7276 y 7291), Rico Pollo (Ibarrola 7193), todos de 2016.",abierta,el propio Mercado Andino funciona como feria; dias y horarios no verificados en esta pasada,"NO CARGAR el cuadrante de la consigna como si estuviera verificado. Es un enclave real y bien cubierto por prensa, simplemente no se termino. RECUPERABLE EN UNA PASADA CORTA.","ninguna institucional: el bloqueo fue tecnico (robots.txt de UNTREF AbRiGo), no de acceso",2026-08-07
E08,boliviana (quechua altiplanica),Nueva Pompeya (enclavado; discusion de borde con Villa Soldati),4,"Delimitado por Av. Bonorino, Av. Fernandez de la Cruz y las vias del ferrocarril Belgrano Sur. Nombre oficial: Barrio General San Martin, conocido como Charrua por su avenida principal.","media — tres bordes reales, dos avenidas y una traza ferroviaria (limite fisico duro y poligonizable), sin alturas y sin cuarto borde explicito","1957 (NO los anos sesenta), con poblacion inicial MIXTA: bolivianos, chilenos y migrantes del interior","ninguna norma. Tiene nombre oficial propio (Barrio General San Martin), dato administrativo aprovechable.",no,3,"NINGUNO. Tres fuentes independientes, incluida una nota extensa de prensa boliviana dedicada integramente al barrio, y ninguna nombra un solo restaurante, puesto o local de comida.",medida_sin_enclave,"Fiesta de la Virgen de Copacabana, anual, sede fija en el barrio, desde 1972. Vigente: hay rol de ingreso publicado para 2025.","RESULTADO NEGATIVO MEDIDO, no laguna. Hay enclave, hay evento gastronomico anual, NO hay oferta comercial estable. De haber locales, Charrua seria el enclave boliviano de mayor profundidad historica de la Ciudad (1957, quince anos antes que su propia fiesta, treinta antes que el Barrio Chino) y con el mejor perimetro fisico del Atlas.","BA Colectividades del GCBA (ficha caida, error de sitio); documento del GCBA solo via espejo en mantenimiento; habilitaciones AGC",2026-08-07
E09,coreana (desplazamiento a Retiro y Microcentro norte),Retiro / San Nicolas,1,"El relevamiento de enclaves NO localizo delimitacion. PERO el relevamiento del norte SI: Centro Cultural Coreano (Maipu 972, ex Palacio Bencich), Mr. HO (Paraguay 884), Kimchi Garden (San Martin 687), Fa Song Song (Esmeralda y M.T. de Alvear). Eje Maipu / Esmeralda / Paraguay / M.T. de Alvear, alturas 800-990, entre Plaza San Martin y Av. Cordoba.",media (dos fuentes separadas por siete anos trazan la misma linea),el desplazamiento desde el Bajo Flores esta documentado en 2019 y ratificado en 2026,ninguna. Existe la Asociacion Hansang de Gastronomicos Coreanos (entidad gremial).,no,2,"Centro Cultural Coreano (Maipu 972) | Mr. HO (Paraguay 884) | Kimchi Garden (San Martin 687) | Fa Song Song (Esmeralda y M.T. de Alvear) | Kuro Neko (Paraguay 831) | Saigon Noodle Bar (M.T. de Alvear 818, vietnamita)",abierta,ninguno,CONTRADICCION ENTRE MIS DOS FRENTES: el relevamiento de enclaves concluyo que NO hay enclave coreano en Retiro y recomendo no crear la fila; el relevamiento del norte encontro Info Gastronomica 2019 mas La Nacion 10/05/2026 con direccionario de 25 restaurantes y entidad gremial. GANA EL SEGUNDO: tiene fuente de prensa nacional de hace tres meses. El primero no llego a esa nota.,ninguna,2026-08-07
E10,paraguaya,dispersa en CABA,,ninguna. Sin concentracion territorial documentada.,baja,,ninguna,no,0 con delimitacion,"existen y son identificables (La Paraguaya, Cabure, los relevados por Vinomanos y C5N) pero DISPERSOS. Una nota ubica un bar paraguayo 'en el corazon chuchi porteno': zona premium, lo contrario de un enclave migrante.",medida_sin_enclave,,"Es una de las colectividades mas numerosas del AMBA y aun asi NO produce enclave gastronomico delimitable en CABA. Hipotesis a no cargar como dato: su asentamiento es fuertemente suburbano, fuera de la unidad de analisis.","Federacion de Entidades Paraguayas, no consultada",2026-08-07
