referencia_id,pagina_mapa,linea,texto_publicado,campos_de_origen,tipo
R01,8,Qué muestra este mapa,"Área aproximada del polo de Palermo, con sus tres subzonas de identidad propia: Palermo Soho, Palermo Hollywood y Las Cañitas.",caracterizacion[0]; cifra; denominador_metodo; limitaciones_especificas[0],principal
R01,8,Qué mide la cifra,"Referencia caracterizada; sin conteo comparable entre métodos. Las subzonas se leen juntas, pero no existe un universo único cerrado para el polo completo.",caracterizacion[0]; cifra; denominador_metodo; limitaciones_especificas[0],principal
R01,8,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Las discontinuidades entre subzonas son parte de la lectura y no se cierran en un polígono único.",caracterizacion[0]; cifra; denominador_metodo; limitaciones_especificas[0],principal
R02,11,Qué muestra este mapa,"Corredor aproximado sobre la avenida Corrientes, en su tramo cultural y gastronómico entre 9 de Julio y Callao.",caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R02,11,Qué mide la cifra,Referencia caracterizada; sin conteo comparable entre métodos.,caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R02,11,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. El vínculo con Abasto es contextual: no son la misma referencia ni se fusionan.",caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R03,12,Qué muestra este mapa,"Área aproximada del polo de San Telmo, sobre el casco histórico, con el Mercado de San Telmo como hito y el eje Defensa como organizador.",caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R03,12,Qué mide la cifra,Referencia caracterizada; sin conteo comparable entre métodos.,caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R03,12,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. La asociación con Boulevard Caseros no implica que sean una sola referencia.",caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R04,15,Qué muestra este mapa,"Área aproximada del polo de Puerto Madero, sobre la banda de docks y el frente costero.",caracterizacion[0]; cifra; denominador_metodo; DECISIONES_AUTONOMAS_V2 D-A-10,principal
R04,15,Qué mide la cifra,Referencia caracterizada; sin conteo comparable entre métodos.,caracterizacion[0]; cifra; denominador_metodo; DECISIONES_AUTONOMAS_V2 D-A-10,principal
R04,15,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. El área excluye el espejo de agua de los cuatro diques, descontado con cartografía pública de acceso abierto validada contra la capa oficial de cuerpos de agua de la Ciudad.",caracterizacion[0]; cifra; denominador_metodo; DECISIONES_AUTONOMAS_V2 D-A-10,principal
R05,18,Qué muestra este mapa,"Área aproximada del polo de Belgrano, con sus tres centralidades: Barrio Chino–Belgrano C, Cabildo–Juramento y Belgrano R.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R05,18,Qué mide la cifra,"697 registros de un relevamiento cartográfico previo. Es un antecedente histórico y metodológico, no la cifra vigente del polo.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R05,18,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. El antecedente de 697 no equivale a locales en actividad hoy ni se compara con las cifras de otras referencias.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R06,16,Qué muestra este mapa,"Área aproximada del polo de Recoleta, presentada como una unidad territorial continua.",caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R06,16,Qué mide la cifra,Referencia caracterizada; sin conteo comparable entre métodos.,caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R06,16,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. La diversidad interna del polo no se publica como una lista de núcleos.",caracterizacion[0]; cifra; limitaciones_especificas[0],principal
R07,20,Qué muestra este mapa,"Área aproximada del polo multiparte de Costanera Norte, formado por cuatro componentes separados a lo largo del frente costero.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R07,20,Qué mide la cifra,72 registros de un relevamiento cartográfico previo conciliado. Es un antecedente histórico y metodológico.,caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R07,20,Qué no es,"El área es una aproximación de lectura territorial, no un límite oficial. Los vacíos entre componentes son reales: no se unen artificialmente.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
R08,22,Qué muestra este mapa,"Área aproximada de concentración gastronómica en Villa Crespo, sobre los ejes Thames y Gurruchaga.",caracterizacion[0]; cifra; detalle_cuantitativo[0]; limitaciones_especificas[0],principal
