establecimiento,direccion,barrio,tipo_de_hito,vigencia_verificada,vigencia_fecha,vigencia_fuente,accion_para_el_repo
Los Laureles,Av. Iriarte 2290,Barracas,Bar Notable,cerrado_en_disputa,2026-08-05,La Nacion 05/08/2026 'El ultimo adios de Los Laureles' vs. Canal 26 05/08/2026 'Los Laureles no cierra... ya anuncio nueva milonga'. El sitio de turismo del GCBA lo sigue listando sin nota.,NO publicar como abierto ni como cerrado sin verificacion directa. Dos medios nacionales dicen lo contrario el mismo dia.
The New Brighton,Sarmiento 645,San Nicolas,restaurante historico (mas de un siglo),cerrado,2026-03-18,Declarado en quiebra por la Justicia el 18/03/2026. No sobrevivio a la caida del consumo ni al deterioro de la actividad en la zona.,Dar de baja si esta cargado. Toca R12 Centro/Microcentro.
La Blanqueada (ex Cairo),Av. Saenz y Francisco Rabanal,Nueva Pompeya,almacen de ramos generales y pulperia desde 1802,cerrado,2017,TestimoniosBA 04/03/2025 'El bar notable que no fue'. Nunca llego a ser declarado Bar Notable.,No citar. Explica por que Av. Saenz hoy no sostiene sola una via B.
Confiteria del Molino,Av. Rivadavia y Av. Callao,Balvanera / Monserrat,Monumento Historico Nacional (1997),cerrado_como_confiteria,2026-07,"Canal 26 12/07/2026 y Pagina/12. A 2026 funciona solo como 'Experiencia Molino': visita guiada gratuita con inscripcion previa, restauracion en curso.",NO cargar como oferta gastronomica. Circula en material de difusion como si lo fuera.
El Tokio,Av. Alvarez Jonte 3550 esq. Pasaje Tokio,Villa Santa Rita,Bar Notable + Sitio de Interes Cultural (2009),verificado_abierto,2026-08-05,"Canal 26 05/08/2026. Abierto el 23/04/1930. CERRO EN 2023 Y REABRIO EN 2025 (Infobae 06/04/2025, C5N).","PRECEDENTE INVERSO A LOS LAURELES: el listado de Notables no acredita apertura NI cierre. Cargar vigencia_verificada como campo obligatorio, no deducible del catalogo."
Bar Oviedo,Av. Lisandro de la Torre 2407,Mataderos,Bar Notable + catalogado CPPHC,dudoso,2021-03,"Resena sustantiva mas reciente fechable: marzo de 2021 (Antigourmet). Diario CEMBA publico el 17/04/2026 'El emblema de Mataderos recupera su espacio frente al Bar Oviedo', pero el sitio bloquea acceso automatizado: LECTURA FALLIDA, no confirmacion.",MAXIMA PRIORIDAD DE VERIFICACION MANUAL. URL: cemba.com.ar/2026/04/17/el-emblema-de-mataderos-recupera-su-espacio-frente-al-bar-oviedo/
El Buzon,Esquiu 1393 esq. Tabare,Nueva Pompeya,"Bar Notable, abierto en 1930",verificado_abierto_en_retraccion,2025-08-10,"Infobae 10/08/2025. Atiende solo lunes a viernes de 7 a 16: reduccion significativa respecto de sus horarios extendidos anteriores, que incluian programacion nocturna y de fin de semana.",Cargar como abierto CON nota de retraccion. Es el estadio previo al patron Los Laureles / Bar Oviedo.
El Faro,Av. de los Constituyentes 4099 esq. La Pampa,Parque Chas,"Bar Notable, fundado hacia 1931",dudoso,2011-05,La unica fuente que lo describe en operacion es de mayo de 2011: quince anos. Figura en el catalogo vigente.,Verificar antes de cualquier uso. Perfil identico a Los Laureles y Bar Oviedo.
El Cedron,Av. Juan B. Alberdi 6101 esq. Murguiondo,Mataderos,"pizzeria de 1935, Interes Cultural (Legislatura, 2013)",verificado_abierto,2025-12-05,Canal 26 05/12/2025. Celebre por la pizza de verdura con salsa blanca.,Alta nueva a la capa de hitos: pizzeria emblematica con norma.
Feria de Mataderos,Av. Lisandro de la Torre y Av. de los Corrales,Mataderos,"feria con sede fija, 500 puestos",verificado_abierto,2026-06-12,La Nacion 12/06/2026 'Mataderos festeja los 40 anos de su tradicional feria'.,Es la verificacion de actividad mas reciente de todo el barrido. Domingos y feriados patrios de 11 a 18.
Mercado de Pompeya,Av. Saenz y Perito Moreno,Nueva Pompeya,mercado municipal en actividad,verificado_abierto,2026,"Lunes a sabados 8 a 19, domingos 8 a 12. Remodelado y formalizado entre 2015 y 2019.",Alta a la capa de mercados. Falta el padron de puestos (cuantos son gastronomicos de consumo en el lugar).
Mercado Andino / Feria Boliviana de Liniers,Jose Leon Suarez al 100 y Montiel,Liniers,mercado de calle en actividad diaria,verificado_abierto,2024-06-19,"Buenos Aires Connect act. 19/06/2024 y buenosaires123. Todos los dias, aprox. 9 a 19.",Alta a la capa de mercados. OJO: buena parte de la oferta es informal o de puesto y no la captura ningun padron.
El Greco,Av. Rivadavia 5353,Caballito,Bar Notable (incorporado el 03/08/2026),alta_reciente,2026-08-03,Canal 26 03/08/2026: Buenos Aires suma 12 nuevos Bares Notables.,ALTA NUEVA A LA CAPA. Toca R10 Caballito. Hay 12 incorporaciones del 03/08/2026 sin cargar.
Plaza Cafe,Av. Rivadavia 4732,Caballito,Bar Notable (incorporado el 03/08/2026),alta_reciente,2026-08-03,Canal 26 03/08/2026.,ALTA NUEVA A LA CAPA. Toca R10 Caballito.
Casa Bogota,Bogota 3900 esq. Chivilcoy,Floresta,"casona de 1914 (Jose J. Barboni), patrimonio historico",verificado_abierto,2026-08,"Sitio propio con horarios publicados: miercoles a domingo. Cobertura La Nacion 04/12/2025, iProfesional, Cuisine & Vins, Revista Gente 08/03/2026.","La trayectoria es del EDIFICIO: el restaurante abrio en 2025. Cargar como patrimonio del inmueble, no como continuidad gastronomica."
Casa Madrilia,Av. Alvarez Jonte 4702,Monte Castro,cocina espanola y portena,verificado_abierto,2026,Ficha con horarios vigentes e Instagram activo. Antiguedad NO documentada.,Cargar sin atributo de trayectoria: no hay fuente que documente su antiguedad.
