id_candidato_v1_2,nombre,barrio_o_zona,estado_google,tipos_google_resumidos,tiene_web,tiene_horarios_google,match_con_v1_2,nivel_confianza_google,accion_recomendada,observacion
MG-0001,Mercado de San Telmo,San Telmo,OPERATIONAL,market,si,si,si,alto,confirmar_ficha,validado por Google
MG-0002,Mercado de Belgrano,Belgrano,OPERATIONAL,brewpub|pizza_restaurant|butcher_shop|pastry_shop,si,si,si,alto,confirmar_ficha,validado por Google
MG-0003,Mercado del Progreso,Caballito,OPERATIONAL,market|general_store|food_store|store,si,si,si,alto,confirmar_ficha,validado por Google
MG-0004,Mercat Villa Crespo,Villa Crespo,OPERATIONAL,market,si,si,si,alto,confirmar_ficha,validado por Google
MG-0005,Mercado Soho,Palermo,CLOSED_PERMANENTLY,market|food_court|food,no,no,si,medio,confirmar_ficha,validado por Google
MG-0006,Patio de los Lecheros,Caballito,OPERATIONAL,food_court|family_restaurant|grocery_store|market,si,si,si,alto,confirmar_ficha,validado por Google
MG-0008,Mercado Bonpland,Palermo,OPERATIONAL,market,si,si,si,alto,confirmar_ficha,validado por Google
MG-0009,El Galpon Chacarita,Chacarita,OPERATIONAL,performing_arts_theater|event_venue,si,si,si,alto,confirmar_ficha,validado por Google
MG-0010,Smart Plaza Parque Patricios,Parque Patricios,OPERATIONAL,restaurant|food,si,no,si,alto,confirmar_ficha,validado por Google
MG-0011,Patio Costanera Norte,Costanera Norte,OPERATIONAL,market,no,no,si,alto,confirmar_ficha,validado por Google
MG-0012,Patio Rodrigo Bueno,Puerto Madero,OPERATIONAL,food_court|food,no,si,si,alto,confirmar_ficha,validado por Google
MG-0013,Mercado San Nicolas,San Nicolas,OPERATIONAL,market|convenience_store|food_store|store,no,si,si,alto,confirmar_ficha,validado por Google
MG-0014,Mercat Caballito,Caballito,CLOSED_PERMANENTLY,food_court|food,no,no,si,medio,confirmar_ficha,validado por Google
MG-0015,Buenos Aires Market,itinerante,OPERATIONAL,market,no,si,si,alto,confirmar_ficha,validado por Google
MG-0016,Sabe la Tierra,itinerante,OPERATIONAL,grocery_store|market|food_store|store,si,si,si,alto,confirmar_ficha,validado por Google
