referencia_id,nombre,bloque_conduccion,texto_v21,texto_conduccion,cifras_v21,cifras_conduccion,cifras_trasladadas_a_edicion_tecnica,cifras_movidas_desde_otro_bloque,cifras_sin_respaldo_en_la_v21
R01,Palermo,Cuánta oferta hay,Sin cifra comparable | Sin cifra canónica comparable | Lectura cerrada de oficina; sin universo único cerrado en corpus institucional cerrado,"Zona caracterizada, sin conteo propio | El Atlas describe y ubica Palermo, pero no publica un número de locales para el conjunto.",,,,,
R01,Palermo,Qué es esta zona,"Polo gastronómico de Palermo (con subzonas) | Estructura multiparte: la referencia reúne subzonas con identidad propia dentro de una lectura común de Palermo. | Palermo Soho, Palermo Hollywood y Las Cañitas organizan la lectura interna; el recorte cartográfico disponible de Las Cañitas no representa por sí solo el conjunto. | La concentración gastronómica es amplia y heterogénea; las discontinuidades entre subzonas deben permanecer visibles y no convertirse en un polígono normativo único.","Palermo concentra oferta gastronómica de manera amplia y variada, distribuida en tres áreas con personalidad propia: Palermo Soho, Palermo Hollywood y Las Cañitas. Entre una y otra hay tramos sin oferta, y esos espacios forman parte de cómo funciona la zona.",,,,,
R01,Palermo,De qué se compone,"Palermo Soho ; subzona ; aporta a la lectura, sin universo canónico separado ; no comparable ; sin adopción | Palermo Hollywood ; subzona ; idem ; no comparable ; sin adopción | Las Cañitas ; subzona y recorte cartográfico disponible ; aporta a la lectura ; no representa el total ; sin adopción | Identidad propia; no absorber R08 ni R09. | Subzonas internas, no referencias nuevas. | No polígono oficial único. | Sin indicador construido con sumas de microzonas.","Palermo Soho, Palermo Hollywood y Las Cañitas. | Son partes del barrio de Palermo: nombres de uso corriente, sin límite administrativo propio. No son zonas nuevas ni polos separados. | Cada una tiene su mapa ampliado; ninguna de las tres representa por sí sola a todo Palermo.","08, 09",,"08, 09",,
R01,Palermo,Qué hay que tener en cuenta,No inventar indicador; microzonas experimentales no son universo del polo completo | Sin cifra canónica comparable disponible. | Antecedentes experimentales de microzonas quedan solo en trazabilidad técnica y no forman un universo del polo completo.,"No hay un contorno oficial de Palermo: el área dibujada es una lectura, no un límite. | Los espacios sin oferta entre las tres partes se muestran a propósito y no se rellenan. | Villa Crespo y Chacarita son zonas aparte y no quedan incluidas en Palermo.",,,,,
R02,Avenida Corrientes,Cuánta oferta hay,Sin cifra comparable | Sin cifra canónica comparable | Lectura cerrada; sin universo único cerrado en corpus institucional cerrado,"Zona caracterizada, sin conteo propio | No se hizo un conteo propio de esta zona.",,,,,
R02,Avenida Corrientes,Qué es esta zona,"Corredor gastronómico-cultural de Av. Corrientes | Estructura lineal cultural y gastronómica sobre avenida Corrientes, con lectura de corredor y centralidad teatral. | El tramo editorial histórico se concentra aproximadamente entre 9 de Julio y Callao; esa referencia descriptiva no constituye una delimitación oficial. | Abasto mantiene una relación contextual con Corrientes, pero es una referencia independiente: la asociación no implica equivalencia, continuidad ni fusión.","La avenida Corrientes es una calle de teatros, librerías y pizzerías donde la gastronomía se ordena a lo largo de la avenida y no alrededor de un centro. El tramo más reconocible va, aproximadamente, entre 9 de Julio y Callao.",9,9,,,
R02,Avenida Corrientes,De qué se compone,"R02 ≠ R13. | Corrientes–Abasto: vínculo / asociación, no equivalencia ni fusión. | No fusión Corrientes–Abasto. | No mapa combinado como representación individual.","Se lee como un corredor a lo largo de la avenida, sin partes internas propias. | El tramo de referencia va aproximadamente entre 9 de Julio y Callao.","02, 13",9,"02, 13",9,
R02,Avenida Corrientes,Qué hay que tener en cuenta,No fusionar pizza centro con Abasto; no usar microzonas experimentales como indicador canónico | Sin cifra canónica comparable disponible. | La cobertura histórica y la microzona experimental no son indicadores canónicos ni equivalen a R13.,"Ese tramo es una referencia descriptiva, no una delimitación oficial. | Abasto se relaciona con Corrientes, pero es una zona distinta: no se cuentan ni se dibujan como una sola.",13,,13,,
R03,San Telmo,Cuánta oferta hay,Sin cifra comparable | Sin cifra canónica comparable | Lectura cerrada de oficina,"Zona caracterizada, sin conteo propio | No se hizo un conteo propio de esta zona.",,,,,
R03,San Telmo,Qué es esta zona,"Polo de San Telmo | Polo asociado al casco histórico de San Telmo, con el Mercado de San Telmo como hito colectivo y el eje Defensa como organizador contextual. | La lectura combina núcleo, tejido histórico y eje de conexión; no requiere extenderse a toda el área sur. | Boulevard Caseros y el entorno Lezama se registran como asociación territorial sin fusión con R03.",San Telmo es un polo gastronómico apoyado en el casco histórico. El Mercado de San Telmo funciona como punto de encuentro y la calle Defensa ordena el recorrido.,03,,03,,
R03,San Telmo,De qué se compone,Asociación Lezama–R11 sin fusión. | No extender automáticamente a Barracas o Parque Patricios. | No fusión con Caseros.,"El núcleo del casco histórico, el tejido de calles antiguas y el eje de la calle Defensa. | El Mercado de San Telmo es el hito de referencia de la zona.",11,,11,,
R03,San Telmo,Qué hay que tener en cuenta,Asociación con Caseros sin fusión | Sin cifra canónica comparable disponible.,"La lectura no se extiende a todo el sur de la Ciudad. | Boulevard Caseros y el entorno de Parque Lezama están asociados a San Telmo, pero son zonas distintas.",,,,,
R04,Puerto Madero,Cuánta oferta hay,Sin cifra comparable | Sin cifra canónica comparable | Lectura cerrada de oficina,"Zona caracterizada, sin conteo propio | No se hizo un conteo propio de esta zona.",,,,,
