hito_id,nombre,tipo,direccion,barrio,polo_mas_cercano_id,polo_mas_cercano,distancia_m,a_250_m_o_menos,calle_de_la_puerta,la_nombra_el_perimetro_escrito,la_calle_toca_el_borde,que_haria_falta,ha_del_borde_ahora,locales_del_borde_ahora,ha_si_se_extiende,locales_si_se_extiende,tramo_a_agregar_m,piezas_si_se_extiende,categoria_del_perimetro
H051,HIPOPOTAMO,Bar Notable,Brasil 401,San Telmo,R11,Boulevard Caseros,7.2,si,BRASIL,no,si,haría falta una calle que el perímetro escrito no nombra,50.03,60,59.54,86,267,2,da calles sin alturas
MIC-036,José El Carnicero,MICHELIN,Thames 2316,Palermo,R01,Palermo,7.2,si,THAMES,no,si,haría falta una calle que el perímetro escrito no nombra,385.51,1916,388.22,1924,143,2,da un barrio o una referencia sin calles
H079,8 ESQUINAS,Bar Notable,Av. Forest 1186,Chacarita,Z44,Villa Ortuzar,8.4,si,FOREST AV.,no,si,haría falta una calle que el perímetro escrito no nombra,34.39,69,35.75,77,202,1,da calles y alturas
ICO-010,"La Estancia, Asador Criollo",Restaurante Icónico,LAVALLE 941,San Nicolas,R02,Avenida Corrientes,9.3,si,LAVALLE,no,si,haría falta una calle que el perímetro escrito no nombra,49.67,354,51.62,370,138,1,da calles sin alturas
MIC-027,Restó SCA,MICHELIN,Montevideo 938,Recoleta,R06,Recoleta,9.8,si,MONTEVIDEO,no,si,haría falta una calle que el perímetro escrito no nombra,140.52,714,142.42,720,708,1,no escribe perímetro
DIR-007,Casa Burgio,Pizzería emblemática,Av. Cabildo 2477,Belgrano,R05,Belgrano,12.9,si,CABILDO AV.,no,si,haría falta una calle que el perímetro escrito no nombra,39.65,343,44.31,359,325,6,da un barrio o una referencia sin calles
H013,BAR PLAZA DORREGO,Bar Notable,Defensa 1098,San Telmo,R03,San Telmo,27.2,si,DEFENSA,si,si,extender sobre una calle que el perímetro escrito ya nombra,25.37,71,29.4,90,174,1,da calles sin alturas
ICO-005,El Tropezón,Restaurante Icónico,CALLAO AV. 248,Balvanera,R02,Avenida Corrientes,36.4,si,CALLAO AV.,si,si,extender sobre una calle que el perímetro escrito ya nombra,49.67,354,52.32,369,404,1,da calles sin alturas
H027,Café Montecarlo,Bar Notable,Paraguay 5491,Palermo,R01,Palermo,41.6,si,PARAGUAY,no,si,haría falta una calle que el perímetro escrito no nombra,385.51,1916,392.23,1927,388,2,da un barrio o una referencia sin calles
ICO-003,El Mirasol de Boedo,Restaurante Icónico,BOEDO 136,Almagro,Z37,Almagro,48.7,si,BOEDO,no,si,haría falta una calle que el perímetro escrito no nombra,60.9,207,64.68,216,336,2,da calles y alturas
MIC-025,Caseros,MICHELIN,Avenida Caseros 486,Barracas,R11,Boulevard Caseros,54.1,si,CASEROS AV.,si,si,extender sobre una calle que el perímetro escrito ya nombra,50.03,60,53.7,82,292,2,da calles sin alturas
H037,CASA WATSON,Bar Notable,Vuelta de Obligado 2072,Belgrano,R05,Belgrano,58.6,si,VUELTA DE OBLIGADO,no,si,haría falta una calle que el perímetro escrito no nombra,39.65,343,43.42,349,259,6,da un barrio o una referencia sin calles
H045,12 de octubre,Bar Notable,Bulnes 331,Almagro,R13,Abasto,58.6,si,BULNES,no,si,haría falta una calle que el perímetro escrito no nombra,109.0,373,112.91,387,707,1,da un barrio o una referencia sin calles
MIC-046,Duhau Restaurante & Vinoteca,MICHELIN,Avenida Alvear 1661,Recoleta,Z46,Retiro,61.8,si,ALVEAR,no,si,haría falta una calle que el perímetro escrito no nombra,467.14,715,470.67,723,248,1,da calles y alturas
H077,Mar Azul,Bar Notable,Tucuman 1700,San Nicolas,R02,Avenida Corrientes,62.0,si,TUCUMAN,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",49.67,354,51.24,366,37,1,da calles sin alturas
H064,La Esquina de Anibal Troilo,Bar Notable,Paraguay 1500,Recoleta,R06,Recoleta,62.8,si,PARAGUAY,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",140.52,714,145.13,739,254,1,no escribe perímetro
MG-0001,Mercado de San Telmo,Mercado/patio,Defensa 961,San Telmo,R03,San Telmo,64.2,si,DEFENSA,si,si,extender sobre una calle que el perímetro escrito ya nombra,25.37,71,32.81,140,373,1,da calles sin alturas
MIC-047,Gioia Cocina Botánica,MICHELIN,Posadas 1350,Recoleta,Z46,Retiro,66.2,si,POSADAS,no,si,haría falta una calle que el perímetro escrito no nombra,467.14,715,470.96,723,286,1,da calles y alturas
H008,EL COLONIAL,Bar Notable,Av. Belgrano 599,Monserrat,R12,Centro y Microcentro,71.3,si,BELGRANO,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",184.12,1084,186.73,1096,129,5,da un barrio o una referencia sin calles
MIC-055,Sottovoce,MICHELIN,Avenida del Libertador 1098,Recoleta,R06,Recoleta,71.8,si,DEL LIBERTADOR AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",140.52,714,142.18,724,165,1,no escribe perímetro
H085,Varela Varelita,Bar Notable,Av. Scalabrini Ortiz 2102,Palermo,R01,Palermo,82.4,si,"SCALABRINI ORTIZ, RAUL",no,si,haría falta una calle que el perímetro escrito no nombra,385.51,1916,390.09,1940,232,2,da un barrio o una referencia sin calles
MIC-031,República del Fuego,MICHELIN,Juncal 2682,Recoleta,R06,Recoleta,85.1,si,JUNCAL,no,si,haría falta una calle que el perímetro escrito no nombra,140.52,714,146.01,738,234,1,no escribe perímetro
MIC-008,Chuí,MICHELIN,Loyola 1250,Villa Crespo,R08,Villa Crespo,92.4,si,LOYOLA,si,si,extender sobre una calle que el perímetro escrito ya nombra,335.46,823,344.07,837,418,3,da calles sin alturas
H018,BOSTON CITY,Bar Notable,Florida 165 local 3,San Nicolas,R12,Centro y Microcentro,94.9,si,FLORIDA,no,si,haría falta una calle que el perímetro escrito no nombra,184.12,1084,191.06,1122,1257,4,da un barrio o una referencia sin calles
H088,El Portuario,Bar Notable,Pinzon 102,Boca,Z52,La Boca · Almirante Brown y Necochea,95.5,si,PINZON,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",16.17,21,18.55,23,116,2,da calles sin alturas
MIC-001,4ta Pared,MICHELIN,Habana 3499,Villa Devoto,R15,Devoto,97.7,si,HABANA,no,si,haría falta una calle que el perímetro escrito no nombra,478.74,422,483.27,426,289,1,da un barrio o una referencia sin calles
ICO-009,La Brigada,Restaurante Icónico,ESTADOS UNIDOS 465,San Telmo,R03,San Telmo,99.8,si,ESTADOS UNIDOS,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",25.37,71,31.51,128,253,2,da calles sin alturas
H014,BAR QUINTINO,Bar Notable,Carlos Calvo 4002,Boedo,R14,Avenida Boedo,110.0,si,"CALVO, CARLOS",no,si,haría falta una calle que el perímetro escrito no nombra,179.46,245,186.58,253,830,1,da calles sin alturas
H087,Cafe Rivas,Bar Notable,Estados Unidos 302,San Telmo,R04,Puerto Madero,122.4,si,ESTADOS UNIDOS,no,si,haría falta una calle que el perímetro escrito no nombra,314.54,354,319.52,387,469,3,da un barrio o una referencia sin calles
H059,Bar Imperio,Bar Notable,Av. Callao 181,San Nicolas,R02,Avenida Corrientes,124.8,si,CALLAO AV.,si,si,extender sobre una calle que el perímetro escrito ya nombra,49.67,354,55.72,389,537,1,da calles sin alturas
DIR-023,El Ciervo,Heladería histórica,Carhue 124,Liniers,Z32,Liniers · Mercado Andino,128.9,si,CARHUE,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",7.0,63,8.07,70,47,2,da calles sin alturas
H016,BAR SUR,Bar Notable,Estados Unidos 299,San Telmo,R04,Puerto Madero,129.2,si,ESTADOS UNIDOS,no,si,haría falta una calle que el perímetro escrito no nombra,314.54,354,317.14,361,337,3,da un barrio o una referencia sin calles
H034,CAFE THIBON,Bar Notable,Montevideo 723,San Nicolas,R12,Centro y Microcentro,136.5,si,MONTEVIDEO,no,si,haría falta una calle que el perímetro escrito no nombra,184.12,1084,206.8,1241,1070,4,da un barrio o una referencia sin calles
DIR-029,Casal de Catalunya,Casa regional con comedor,Chacabuco 863,San Telmo,R03,San Telmo,140.1,si,CHACABUCO,no,si,haría falta una calle que el perímetro escrito no nombra,25.37,71,31.73,108,260,2,da calles sin alturas
DIR-019,El Trebol 1969,Pizzería emblemática,Av. Angel Gallardo 3,Almagro,R08,Villa Crespo,175.2,si,"GALLARDO, ANGEL AV.",no,si,haría falta una calle que el perímetro escrito no nombra,335.46,823,341.68,852,319,4,da calles sin alturas
H032,Roma del Abasto,Bar Notable,Anchorena 806,Balvanera,R13,Abasto,184.5,si,"ANCHORENA, TOMAS MANUEL DE, DR.",no,si,haría falta una calle que el perímetro escrito no nombra,109.0,373,119.4,397,419,1,da un barrio o una referencia sin calles
DIR-001,La Americana,Pizzería emblemática,Av. Callao 83,San Nicolas,R12,Centro y Microcentro,186.6,si,CALLAO AV.,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",184.12,1084,187.69,1103,139,6,da un barrio o una referencia sin calles
H047,EL COLECCIONISTA,Bar Notable,Av. Rivadavia 4929,Caballito,R10,Caballito,192.4,si,RIVADAVIA,no,si,haría falta una calle que el perímetro escrito no nombra,225.36,508,243.83,537,509,2,da calles sin alturas
H040,Clásica y moderna,Bar Notable,Av. Callao 892,Recoleta,R06,Recoleta,193.4,si,CALLAO AV.,no,si,haría falta una calle que el perímetro escrito no nombra,140.52,714,151.26,745,648,1,no escribe perímetro
H017,Bar Via 71,Bar Notable,Viamonte 1771,San Nicolas,R02,Avenida Corrientes,204.7,si,VIAMONTE,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",49.67,354,60.91,426,429,2,da calles sin alturas
DIR-013,Pirilo,Pizzería emblemática,Defensa 821,San Telmo,R03,San Telmo,223.4,si,DEFENSA,si,si,extender sobre una calle que el perímetro escrito ya nombra,25.37,71,36.89,171,515,1,da calles sin alturas
MIC-043,Corte Comedor,MICHELIN,Avenida Olazábal 1391,Belgrano,R05,Belgrano,233.8,si,OLAZABAL,no,si,haría falta una calle que el perímetro escrito no nombra,39.65,343,48.72,369,381,6,da un barrio o una referencia sin calles
H015,BAR SEDDON,Bar Notable,Defensa 695,Monserrat,R04,Puerto Madero,238.0,si,DEFENSA,no,no,"haría falta una calle que el perímetro escrito no nombra, y que además no toca el borde",314.54,354,340.04,546,1047,2,da un barrio o una referencia sin calles
H046,El Buzón,Bar Notable,Esquiu 1393,Nueva Pompeya,Z40,Nueva Pompeya y Parque Patricios,255.7,no,ESQUIU,no,si,haría falta una calle que el perímetro escrito no nombra,69.06,112,,,,,da calles sin alturas
MIC-014,La Alacena Trattoria,MICHELIN,Gascón 1401,Palermo,R01,Palermo,272.9,no,GASCON,no,si,haría falta una calle que el perímetro escrito no nombra,385.51,1916,,,,,da un barrio o una referencia sin calles
MG-0006,Patio de los Lecheros,Mercado/patio,Av. Tte. Gral. Donato Alvarez 175,Caballito,R10,Caballito,278.6,no,"ALVAREZ, DONATO, TTE. GRAL.",no,si,haría falta una calle que el perímetro escrito no nombra,225.36,508,,,,,da calles sin alturas
