polo,evidencia_id,fuente_id,afirmacion,componente_o_subzona,titulo,organismo_o_medio,fecha,url,estado_url,cita_breve,tipo_fuente,fortaleza,clasificacion,uso_permitido,contradicciones,observaciones
Belgrano,BEL-E01,F-TB-POLOS,CABA define corredores y zonas gastronomicas destacadas; Belgrano no figura en el listado,Marco ciudad / Belgrano general,Polos gastronomicos,Turismo BA (GCBA),s/d estable desde al menos 2014,https://turismo.buenosaires.gob.ar/es/article/polos-gastron%C3%B3micos,ACTIVA,Te presentamos los corredores y zonas gastronomicas mas destacadas de la ciudad.,institucional_publico,ALTA_marco_BAJA_Belgrano,EVIDENCIA,metodologia,No menciona Belgrano,Lista Palermo Las Canitas Puerto Madero Recoleta San Telmo. Archivo Wayback 2014 disponible (ver bibliografia)
Belgrano,BEL-E02,F-TB-GASTRO,Logica de polos multiples y concentrados en la ciudad,Belgrano general,Gastronomia en Buenos Aires,Turismo BA,s/d,https://turismo.buenosaires.gob.ar/es/article/gastronom%C3%ADa-en-buenos-aires,ACTIVA_PARCIAL,Palermo Puerto Madero Las Canitas Recoleta y San Telmo son algunos de los polos,institucional_publico,MEDIA,EVIDENCIA,metodologia,Belgrano no nombrado,Fetch HTTP intermitente; uso solo como marco
Belgrano,BEL-E03,F-LN-BEL-DISENO,Belgrano descrito como barrio con gastronomia y diseno en crecimiento,Belgrano general,Belgrano: gastronomia y tiendas de diseno en un barrio que no para de crecer,La Nacion,2019-07-12,https://www.lanacion.com.ar/otros/belgrano-gastronomia-y-tiendas-de-diseno-en-un-barrio-que-no-para-de-crecer-nid12072019/,ACTIVA,Belgrano esta en continuo movimiento y es de esos barrios que vale la pena visitar a toda hora.,periodistico,MEDIA,EVIDENCIA,caracterizacion; texto_publico,No delimita subzonas formales,Autora Gisela Carpineta; menciona Barrio Chino y Juramento
Belgrano,BEL-E04,F-LN-BC-40,Barrio Chino como nuevo polo gastronomico con densidad compacta y expansion Via Viva,Barrio Chino / Belgrano C,Mas de 40 locales en 4 cuadras. Como es el nuevo polo gastronomico del Barrio Chino,La Nacion,2023-05-01,https://www.lanacion.com.ar/sabado/mas-de-40-locales-en-4-cuadras-como-es-el-nuevo-polo-gastronomico-del-barrio-chino-nid01052023/,ACTIVA,Convertir al Barrio Chino en un nuevo polo gastronomico porteno.,periodistico,ALTA,EVIDENCIA,nombre; delimitacion_orientativa; texto_publico,Riesgo de leer 4 cuadras como poligono cerrado,Autor Sebastian A. Rios; conecta Pasaje Echeverria y Belgrano C
Belgrano,BEL-E05,F-BAC-FOODIE,Circuito foodie desde Barrio Chino hasta Pasaje Echeverria,Barrio Chino / Pasaje Echeverria,El circuito foodie de Belgrano,Buenos Aires Connect,2022-06-01,https://buenosairesconnect.com/donde-comer-belgrano-restaurantes-barrio-chino-pasaje-echeverria/,ACTIVA_PARCIAL,Descubri el circuito foodie de Belgrano: desde el Barrio Chino hasta el Pasaje Echeverria,divulgacion_gastronomica,MEDIA,EVIDENCIA,relacion_territorial; caracterizacion,Puede mezclar turismo y gastronomia,Autora Fiamma Zampino; menciona Belgrano R C Bajo; sitio JS-heavy
Belgrano,BEL-E06,F-IPRO-9,Pasaje Echeverria nace como calle peatonal paralela a vias tras remodelacion Belgrano C,Pasaje Echeverria / Barrancas / Belgrano C,Los 9 mejores lugares para ir a comer en el Barrio Chino,iProfesional,2023-02-17,https://www.iprofesional.com/turismo/377641-los-9-mejores-lugares-para-ir-a-comer-en-el-barrio-chino,ACTIVA,quedo una calle peatonal paralela a las vias que fue bautizada como Pasaje Echeverria,periodistico,ALTA,EVIDENCIA,relacion_territorial; texto_publico,Ranking de locales no es evidencia territorial principal,Fecha corregida (original 16 incorrecta); autora Silvina Reusmann
Belgrano,BEL-E07,F-CL-BC-NUEVO,Nuevo Barrio Chino como gran polo de Belgrano; tramo Juramento a Mendoza,Barrio Chino / corredor bajo vias,Nuevo Barrio Chino: que comer y por cuanto en los flamantes locales del gran polo gastronomico de Belgrano,Clarin Gourmet,2023-05-14,https://www.clarin.com/gourmet/nuevo-barrio-chino-comer-flamantes-locales-gran-polo-gastronomico-belgrano_0_K19moUbDp1.html,PAYWALL_PARCIAL,Solo de Juramento a Mendoza en las ultimas semanas hubo 14 aperturas,periodistico,ALTA,EVIDENCIA,delimitacion_orientativa; texto_publico,Riesgo de fijar tramo comercial como unidad cerrada,Autora Maria Florencia Perez; fecha corregida (original 2023-07-31 incorrecta)
Belgrano,BEL-E08,F-OHLALA-BC,Barrio Chino se transformo en polo comercial y gastronomico,Barrio Chino / Belgrano C,Barrio Chino de Buenos Aires: donde queda y los mejores lugares para comer rico,Ohlala,2024-06-26,https://www.somosohlala.com/lifestyle/gastronomia/barrio-chino-reloaded-cuales-son-los-nuevos-spots-bajo-las-vias-para-comer-rico-y-pasear-nid29072023,ACTIVA,se transformo en el nuevo polo comercial y gastronomico,divulgacion_lifestyle,MEDIA,EVIDENCIA,caracterizacion,Menor rigor institucional,Autora Maria Paula Bandera; frente a estacion Belgrano C
Belgrano,BEL-E09,F-MALEVA-BC,Nueva escena del China town belgranense,Barrio Chino,Reporte MALEVA: seis platos de la nueva escena del Barrio Chino de Belgrano,MALEVA,2021-08-17,https://malevamag.com/2021/08/17/reporte-maleva-cuales-son-los-seis-platos-que-tenes-que-comer-si-o-si-en-el-barrio-chino-de-belgrano/,ACTIVA,Salimos a degustar los sabores de la nueva escena del China town belgranense,gastronomico_especializado,MEDIA,EVIDENCIA,caracterizacion,Sesgo foodie,Autora Camila Barreiro; fecha corregida (original 18 incorrecta)
Belgrano,BEL-E10,F-BAC-BEL,Belgrano como barrio de multiples recorridos; Cabildo-Juramento no fijado como subpolo,Cabildo-Juramento / barrio,Belgrano: todo lo que tenes que saber sobre este barrio sensacional,Buenos Aires Connect,2025-04-09,https://buenosairesconnect.com/belgrano-cuatro-recorridos-cuatro-aspectos-un-solo-barrio/,ACTIVA_PARCIAL,Titulo y seccion de cafes bares; no fija nombre Cabildo-Juramento como subpolo,divulgacion_urbana,BAJA_MEDIA,EVIDENCIA,metodologia,No consolida corredor como subpolo,Evidencia debil para Cabildo-Juramento; el eje se sostiene como decision de trabajo
Belgrano,BEL-E11,F-LN-BAJO,Bajo Belgrano apuesta a bares restaurantes y vida nocturna; calle Sucre,Bajo Belgrano / Sucre,El Bajo Belgrano apuesta a grandes bares restaurantes y vida nocturna,La Nacion,circa 2013,https://www.lanacion.com.ar/lifestyle/el-bajo-belgrano-apuesta-a-grandes-bares-restaurantes-y-vida-nocturna-nid1578738/,PAYWALL,En la calle Sucre Dandy y una discoteca se suman en la manzana,periodistico,MEDIA,EVIDENCIA,nombre; caracterizacion,Delimitacion imprecisa; paywall,Replica no oficial en blog carlosfelice.com.ar 2013/06 (ver bibliografia)
Belgrano,BEL-E12,F-SPG-BR,Belgrano R con oferta gastronomica en recorrido de locales,Belgrano R,Una vuelta por Belgrano R,Solo por Gusto,2022-10-19,https://soloporgusto.com/una-vuelta-por-belgrano-r/,BLOQUEADA_403,No solo de sus manchones verdes vive este barrio; tambien su propuesta gastronomica,gastronomico_especializado,MEDIA,EVIDENCIA,caracterizacion,HTTP 403 al abrir cuerpo completo,No evidencia subpolo formal compacto; solo metadatos y crawl parcial
