id_candidato,nombre,tipo_mercado_gastronomico,gestion_publica_privada_mixta,barrio,comuna,direccion_o_zona,dias_de_apertura,horarios,oferta_gastronomica,oferta_alimentaria,oferta_no_gastronomica_secundaria,cantidad_de_puestos_si_existe,tipo_de_puestos,publico_objetivo,perfil_turistico,perfil_barrial,presencia_de_productores,presencia_de_locales_gastronomicos,eventos_o_activaciones,relacion_con_politicas_publicas,estado_aparente,fuente_principal,fuentes_secundarias,urls_fuente,nivel_confianza,estado_revision,observaciones,fecha_consulta
MG-0001,Mercado de San Telmo,mercado_con_identidad_historica_gastronomica,mixta,San Telmo,1,Defensa 961/963,Lunes a Domingo,pendiente_fuentes_difieren,"puestos de comida y propuestas gourmet variadas (local, vietnamita, cafe)",frutas verduras carnes y productos frescos,antiguedades,pendiente,mixtos_gastronomicos_y_alimentarios,mixto,alto,alto,pendiente,si,pendiente,patrimonio historico GCBA; circuito turistico,activo,TURISMO_BA,SITIO_OFICIAL_MERCADO|GCBA,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/san-telmo-market|https://mercadosantelmo.com.ar/,C1_oficial,confirmado,mercado de 1897 monumento historico; gastronomia eje central con anticuarios secundarios,2026-06-23
MG-0002,Mercado de Belgrano,mercado_con_identidad_historica_gastronomica,mixta,Belgrano,13,Av. Juramento y Ciudad de la Paz,pendiente,pendiente,"patio gastronomico exterior; cocinas judia vietnamita arabe italiana japonesa",frutas verduras carnes pescados fiambres quesos pastas frescas,pendiente,pendiente,mixtos_gastronomicos_y_alimentarios,barrial_turistico,medio,alto,pendiente,si,pendiente,mercado municipal historico renovado 2017-2019,activo,GCBA,TURISMO_BA,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-belgrano|https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-belgrano,C1_oficial,confirmado,mercado de 1891; renovado con food court y terraza,2026-06-23
MG-0003,Mercado del Progreso,mercado_barrial_alimentario,privada,Caballito,6,Av. Rivadavia y Del Barco Centenera,pendiente,pendiente,"bares pizzerias y vinerias dentro del mercado",frutas verduras carnes pescados frutos de mar fiambres,pendiente,191_puestos_segun_fuente,mixtos_alimentarios_y_gastronomicos,barrial,medio,alto,pendiente,si,pendiente,sitio de interes cultural GCBA 2001,activo,TURISMO_BA,GCBA|prensa,https://turismo.buenosaires.gob.ar/en/otros-establecimientos/mercado-del-progreso|https://es.wikipedia.org/wiki/Mercado_del_Progreso,C1_oficial,confirmado,mercado de 1889; eje abasto alimentario con gastronomia; gestion privada a confirmar,2026-06-23
MG-0004,Mercat Villa Crespo,food_hall,privada,Villa Crespo,15,Thames 747,Martes a Domingo,Mar-Jue y Dom 12-23; Vie-Sab 12-01,"puestos de comida de autor panaderia cafeteria seleccion de vinos y cervezas",alimentos naturales y productos de productores,actividad artistica y cultural,pendiente,gastronomicos_y_alimentarios,mixto,medio,medio,si,si,actividad artistica y cultural,pendiente,activo,TURISMO_BA,prensa,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercat-villa-crespo,C1_oficial,confirmado,edificio de 2700 m2 tres plantas; comercio directo productor-consumidor,2026-06-23
MG-0005,Mercado Soho,food_hall,privada,Palermo,14,Armenia 1744,Martes a Domingo y feriados,desde 12:30,"9 locales gastronomicos cocina internacional y dos barras",pendiente,pendiente,9_locales,gastronomicos,turistico_mixto,alto,medio,no,si,pendiente,pendiente,activo,TURISMO_BA,SITIO_OFICIAL_MERCADO|prensa,https://turismo.buenosaires.gob.ar/es/otros-establecimientos/mercado-soho|https://www.mercadosoho.com.ar/,C1_oficial,confirmado,inaugurado nov 2020; 700 m2 dos pisos street food y gourmet,2026-06-23
MG-0006,Patio de los Lecheros,espacio_tipo_mercado_gastronomico,publica,Caballito,6,Av. Tte. Gral. Donato Alvarez 175,Todos los dias,Dom-Mie 9-24; Jue 9-2; Vie-Sab 9-3 (gastronomia desde 13),"foodtrucks y puestos fijos: parrilla mariscos mexicana japonesa pizza cerveza artesanal",pendiente,libreria talleres juegos shows musicales,pendiente,gastronomicos,barrial_turistico,medio,alto,no,si,shows en vivo y actividades culturales,propuesta gratuita organizada por GCBA,activo,GCBA,prensa,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/patio-de-los-lecheros,C1_oficial,confirmado,antiguo anden ferroviario reconvertido; polo gastronomico y cultural,2026-06-23
MG-0007,Mercado de los Carruajes,food_hall,mixta,Retiro,1,Av. del Libertador (zona Retiro),cerrado,cerrado,"rotiseria cerveceria artesanal vinoteca y restaurantes (cuando operaba)",mermeladas pastas sin gluten tes vinos de marca propia,espacio para eventos,43_puestos,gastronomicos_y_gourmet,turistico,medio,bajo,pendiente,si,terraza para eventos,inmueble patrimonial GCBA; concesion,cerrado,GCBA,prensa,https://buenosaires.gob.ar/Descubrir%20BA/mercado-de-los-carruajes|https://www.lanacion.com.ar/economia/cerro-el-mercado-de-los-carruajes-y-volvera-a-reconvertirse-en-un-espacio-para-eventos-nid07052025/,C1_oficial,confirmado,ex cochera presidencial; cerro definitivamente en abril 2025; se reconvierte a eventos,2026-06-23
MG-0008,Mercado Bonpland,mercado_de_productores,mixta,Palermo,14,Bonpland 1660 (zona),pendiente,pendiente,"propuestas de cooperativas y economia social",productos de la economia social y consumo responsable,pendiente,pendiente,alimentarios_y_productores,barrial,bajo,medio,si,pendiente,actividades de consumo responsable,espacio de economia social vinculado a GCBA,activo,GCBA,TURISMO_BA,https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,C1_oficial,confirmado,mercado que fomenta consumo responsable y economia social; verificar dias,2026-06-23
MG-0009,El Galpon,mercado_de_productores,privada,Chacarita,15,Federico Lacroze 4171 (zona),pendiente,pendiente,"productos organicos y agroecologicos; oferta de comida sana",productos organicos de productores,pendiente,pendiente,productores,barrial,bajo,medio,si,pendiente,actividades de agroecologia,red de productores organicos,activo,GCBA,TURISMO_BA,https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,C1_oficial,confirmado,mercado de organizaciones de productores organicos; verificar dias y direccion,2026-06-23
MG-0010,Smart Plaza Patio Parque Patricios,espacio_tipo_mercado_gastronomico,publica,Parque Patricios,4,Parque Patricios,pendiente,pendiente,"patio gastronomico al aire libre con variada oferta",pendiente,pendiente,pendiente,gastronomicos,barrial,bajo,alto,no,si,pendiente,patio gastronomico impulsado por GCBA,activo,GCBA,TURISMO_BA,https://turismo.buenosaires.gob.ar/es/recorrido/mercados-y-patios-gastronomicos,C1_oficial,confirmado,patio gastronomico al aire libre; verificar direccion exacta dias y horarios,2026-06-23
