defecto_id,fuente,regla_de_deteccion,clase,que_prohibe,que_sigue_valiendo,severidad,evidencia,detectado,detectado_por
FD-01,cronista.com,dominio = cronista.com Y fecha_actualizacion = 2025-09-24,re-sellado masivo de archivo,leer la fecha de actualización como fecha de verificación del dato,"el contenido, con la añada de su fecha de ORIGEN","descarte de la fecha, no de la nota","tres notas de años de origen distintos con la misma fecha de actualización: Mercado de los Carruajes (recomienda dos restaurantes en una sede cerrada cinco meses antes), «5 lugares para comer bien y barato en el barrio chino» (original 08/2021) y Ultramarinos (original 09/2024)",2026-08-07,cowork · ronda 4
FD-02,catálogo consolidado de Bares Notables (Res. MCGC 3758/24),"campo barrio o comuna del catálogo, para cualquier entrada",atribución territorial errónea,usar el barrio/comuna del catálogo como dato territorial sin cotejar USIG,"la declaratoria, el nombre y la dirección postal",descarte del campo territorial,"La Academia figura en Comuna 5 y USIG la ubica en Balvanera, Comuna 3. El control de bordes de la ronda 3 lo verificó",2026-08-07,repositorio · ronda 3 (control de bordes USIG)
FD-03,PDF del catálogo servido bajo la URL de la Res. MCGC 3758/24,cita del catálogo sin SHA-256 ni fecha de descarga,contenido mutable bajo cita estable,citar «el catálogo» sin decir cuál de los contenidos,"cada contenido, citado por su hash y su identificador interno",obliga a citar por hash,"circulan tres contenidos: 90 entradas (en disco desde el 03/08/2026, hoja de firmas del 26/02/2026, GEDO IF-2026-10314379-GCABA-DGPMYCH), 88 entradas (la URL hoy) y las listas independientes de 84 (GCBA) y 95 (Wikidata)",2026-08-07,repositorio · ronda 3 (PROCEDENCIA_CATALOGOS.csv)
FD-04,Time Out Buenos Aires,campo barrio de una nota de Time Out,atribución territorial errónea,usar el barrio que declara Time Out como dato territorial,la distinción editorial y la dirección de puerta,descarte del campo territorial,"tres direcciones mal asignadas verificadas contra USIG en la ronda 3: Corte Comedor (Time Out dice Núñez, USIG dice Belgrano), Vereda Adentro y el tercer caso del control de bordes",2026-08-07,repositorio · ronda 3 (control de bordes USIG)
FD-05,buenosaires123.com.ar — grilla de evento fabricada sobre padron caduco,"Se contrasto con el anuncio oficial del GCBA: las sedes reales son otras diez (El Viejo Buzon, La Puerto Rico, Saint Moritz, La Ideal, La Poesia, Brighton, Las Violetas, Esquina Homero Manzi, Claridge's y el Cabildo). La Nacion del 03/08/2026 tampoco nombra a los nuestros. Y SE DELATA SOLO: dice '35 sedes' y enumera 39, duplica locales bajo dos nombres (Cafe Margot / Bar Margot en Boedo 857; Bar Montecarlo / Cafe Montecarlo), e INCLUYE 'La Perla - Av. Rivadavia 2800' y 'La Perla de Once - Av. Jujuy y Rivadavia' COMO SI FUERAN DOS LOCALES DISTINTOS, cuando son la misma esquina y cerro hace nueve anos.",carga diferida · ronda 9,"REGLA NUEVA: una sede solo cuenta como v5 SI LA NOMBRA EL ORGANIZADOR. Nunca una guia turistica intermediaria. Es la trampa mas peligrosa hallada hasta ahora: no es re-sellado ni refrito, y como el evento SI existe y las fechas SI son correctas, el conjunto pasa el olfato.",El anuncio oficial del GCBA sobre el Festival y Mundial de Tango sigue siendo fuente valida de sedes.,,"Publica un listado de sedes 'Bares Notables' del Festival y Mundial de Tango 2026 con fechas correctas (19/08 al 01/09/2026). Seria un v5 perfecto: evento concreto, fechas concretas, CINCO establecimientos de una sola tanda. ES FALSO: pego un listado generico y viejo de Bares Notables y lo presento como grilla del festival.",2026-08-07,fase documental · fuentes_con_defecto_FD05_FD07.csv
FD-06,c5n.com — fecha del dia renderizada en el encabezado,"La fecha real solo aparece en el bloque de autoria, mas abajo. Caso detectado: la nota sobre El Globo, publicada el 11/06/2025.",carga diferida · ronda 9,No tomar la fecha del encabezado de c5n.com. Buscar siempre el bloque de autoria.,El contenido de C5N sigue siendo utilizable con su fecha real.,,"El encabezado de la pagina renderiza la FECHA DE HOY, de modo que una nota de junio de 2025 se lee como de esta semana.",2026-08-07,fase documental · fuentes_con_defecto_FD05_FD07.csv
FD-07,turismo.buenosaires.gob.ar — el mismo dominio produce dos objetos distintos,"MIRAR LA FECHA DE MODIFICACION UNA POR UNA. De cuatro fichas abiertas en esta tanda, tres son inertes (El Federal modificada en 2018, La Perla en 2024) y solo una muestra edicion reciente (Tancat, 11/03/2026, con horarios propios).",carga diferida · ronda 9,No usar una ficha del GCBA como evidencia de vigencia sin mirar su fecha de modificacion.,Una ficha con edicion reciente y horarios especificos SI es evidencia: asi se resolvio Los Laureles. Y todas sirven como dato factual de direccion y telefono.,,"Convive el LISTADO INERTE, que arrastra fichas viejas sin tocar, con la FICHA EDITADA ACTIVAMENTE, que describe un cambio con horarios nuevos y especificos.",2026-08-07,fase documental · fuentes_con_defecto_FD05_FD07.csv
FD-08,tripadvisor.com vs tripadvisor.com.ar — POZO DE RESENAS PARTIDO POR IDIOMA,Se detecta comparando las dos fichas del mismo id. Corolario: el orden de listado NO es estrictamente cronologico.,carga diferida · ronda 9,"LEER SIEMPRE LAS DOS FICHAS y leer las fechas una por una, sin fiarse de la posicion. Se pierden semanas de recencia justo donde mas importan.",,,"Los dos dominios devuelven una 'mas reciente' DISTINTA. En Las Violetas la del 07/07/2026 solo aparece en .com; en .com.ar la primera es del 27/06. En Varela Varelita: 25/06 en .com, 02/06 en .com.ar.",2026-08-07,fase documental · fuentes_con_defecto_FD08_FD12.csv
FD-09,El ano en el titulo no es una fecha,Ir a los metadatos. Es primo del lavado de recencia pero mas barato de detectar.,carga diferida · ronda 9,El ano del titulo nunca acredita. Solo la fecha de publicacion o de metadatos.,,,urubus.com.uy titula 'Mejores pizzerias de Buenos Aires: Top 10 (2026)' una nota publicada el 01/10/2025 y actualizada el 27/12/2025. 223 dias.,2026-08-07,fase documental · fuentes_con_defecto_FD08_FD12.csv
FD-10,Los padrones de premios se re-datan solos al sumar cohortes,Comparar la fecha de modificacion del padron con la fecha de la cohorte del establecimiento.,carga diferida · ronda 9,"NINGUN PADRON ACREDITA VIGENCIA, ni siquiera uno con fecha fresca de modificacion. Es la regla del catalogo de Notables extendida a los demas registros oficiales.",,,"apyce.org/pizzerias-emblematicas marca modified_time 2026-06-09, pero eso corresponde al alta de los diez nuevos de 2026 y NO dice nada de Casa Burgio, distinguida en 2025.",2026-08-07,fase documental · fuentes_con_defecto_FD08_FD12.csv
