prioridad,establecimiento,direccion,barrio,registro,zona_que_lo_reclama,dentro_de_envolvente_de_las_22,vigencia_actual,nivel,fecha_verificacion,por_que_consultarlo
1,Cafe de la U,(direccion a confirmar),Villa Urquiza,Bar Notable,R17 Villa Urquiza,SI,sin verificar,,,"ES EL UNICO HITO DE R17, y R17 es ademas el caso mas fragil de via E de las 22: si se exigiera que su evidencia recaiga sobre Triunvirato-Monroe, la via tampoco abriria. Sin este hito la fila se queda sin nada."
1,MN Santa Ines,(direccion a confirmar),La Paternal,recomendado Michelin,R21 La Paternal,SI,sin verificar,,,"UNICO HITO DE R21, y la zona se amplia por decision 8. Si cae, la fila queda sin via B justo cuando se le cambia el poligono."
1,Britanico,(direccion a confirmar),Barracas / San Telmo,Bar Notable,R11 Bulevar Caseros,SI,sin verificar,,,"UNICO HITO DE R11, cuya via A ademas NO abre (60 locales en 50 ha) y cuya via E abre debil por antiguedad, sin nada posterior a 2021. Es la fila que menos margen tiene."
1,San Bernardo,(direccion a confirmar),Villa Crespo,Bar Notable,R08 Villa Crespo,SI,sin verificar,,,"UNICO BAR NOTABLE de R08. Los otros cinco hitos de la zona son Michelin y 50 Best, que son distincion de restaurante y rotan mucho mas rapido."
1,Esquina Homero Manzi,Av. San Juan 3601,Boedo,Bar Notable,R14 Av. Boedo,SI,EN RIESGO,,2026-05-07,"CONDENA LABORAL DE $220 MILLONES. El administrador: 'es impagable hoy en dia'. Cubierto por Infobae, Pagina/12, La Nacion y Canal 26. Es el hito mas visible de R14, cuya via E no abre. REVISAR A 90 DIAS."
1,Cafe de Garcia,Av. Beiro (altura a confirmar),Villa Devoto,Bar Notable,R15 Devoto,SI,sin verificar,,,"Uno de los dos hitos de R15, que es la zona con la cobertura externa mas fresca de las 22. Contraste incomodo: mucha prensa, cero verificacion."
2,Casa Watson,Vuelta de Obligado 2072,Belgrano,Bar Notable,R05 Belgrano,NO,verificado_abierto,v3,2026-07-05,R05 tiene CERO bar_notable en su envolvente y Casa Watson esta en Belgrano. Es el caso de escala en estado puro.
2,Varela Varelita,Av. Scalabrini Ortiz 2102,Palermo,Bar Notable,R01 Palermo,NO,verificado_abierto,v3,2026-06-25,R01 PALERMO TIENE CERO BARES NOTABLES EN SU ENVOLVENTE: sus 20 hitos son todos Michelin y 50 Best. Varela Varelita esta en Palermo y queda afuera. Confirmar coordenadas.
2,Cafe Olimpo,Irigoyen 1491 esq. Arregui,MONTE CASTRO (no Villa Luro),Bar Notable,Z28 Monte Castro,NO,verificado_abierto,v2,2026-08-07,CAMBIO DE BARRIO CONFIRMADO POR CALLEJERO: Villa Luro termina en Irigoyen 1299. Queda a 1.532 m del poligono PGR_P020. Confirmar la direccion formateada.
2,El Tokio,Av. Alvarez Jonte 3550,Villa Santa Rita,Bar Notable + Sitio de Interes Cultural,Z27 Villa Santa Rita,NO,verificado_abierto,v2,2026-08-05,CERRO EN 2023 Y REABRIO EN 2025. Confirmar que Places no arrastre el cierre viejo: es el mejor test de si Places detecta reaperturas.
2,Los Laureles,Av. Iriarte 2290,Barracas,Bar Notable,P008 Barracas,NO,verificado_abierto,v2,2026-08-07,"CERRO EN JULIO DE 2026 Y REABRIO CON NUEVOS DUENOS. Test inverso del anterior: si Places lo da cerrado, se confirma que es lento con los cambios recientes."
