control,resultado,detalle
"estilos_de_titulo_aplicados","PASS","9 Título 1, 39 Título 2, 35 Título 3, 1 Título"
"31_mapas_de_zona_mas_el_general","PASS","32 imágenes"
"tabla_real_de_word","PASS","1 tabla(s), 22 filas de datos"
"22_fichas_presentes","PASS","22/22"
"cuatro_bloques_por_ficha","PASS","apariciones: [22, 23, 22, 22]"
"pie_de_tres_lineas_en_los_31_mapas","PASS","apariciones: [31, 31, 31]"
"vocabulario_conduccion","PASS","sin hallazgos sobre 29 términos vigilados"
"sin_terminos_institucionales_vedados","PASS","ninguno"
"marca_DGDGAS","PASS","denominación oficial correcta"
"ninguna_pagina_desborda","PASS","máximo 24.96 cm de 25.7"
"holgura_minima_por_pagina","PASS","0.74 cm en la página más llena"
"ninguna_imagen_partida_ni_recortada","PASS","32/32"
"resolucion_minima_200dpi","PASS","dpi: [200]"
"xml_en_secuencia_ooxml","PASS","tblPr y tblBorders en orden"
"esquema_xsd_ooxml","PASS","16 partes válidas, 209 elementos distintos cubiertos; fuera del alcance, idénticas a la plantilla: word/theme/theme1.xml (tema DrawingML de la plantilla), customXml/item1.xml (XML propio, sin esquema declarado)"
"indice_con_folios_reales","PASS","30 entradas, todas en la página que anuncian"
"folio_al_pie_menos_en_la_portada","PASS","pies: ['default', 'first']; campo PAGE en el pie corriente: True; portada sin folio: True"
"reescrituras_aplicadas","PASS","47 reescrituras, 68 aplicaciones"
"diff_de_cifras_contra_conduccion","PASS","0 diferencias sin declarar sobre 47 frases reescritas. Declarada: 6: «el mapa de la página 6» pasó a «el mapa general, unas páginas más adelante»: el índice nuevo da la página exacta y no se desfasa cuando Jefatura edite el archivo."
"cifra_de_cada_zona_en_ficha_y_tabla","PASS","22/22"
"pdf_de_prueba_coincide_en_paginas","PASS","63 páginas"
"tamano_del_docx","PASS","10.45 MB"
