polo,nombre,direccion,existe,estado,fuente,fecha,nivel_de_verificacion,observaciones
Flores · Avellaneda y Pasaje Ruperto Godoy,Barthalé,Ruperto Godoy 712,sí,probablemente_abierto,https://es.restaurantguru.com/Barthale-Deli-and-Lounge-Buenos-Aires,2026-07 (reseña de servicio),v2,La reseña fechada acredita servicio; no se usó el rótulo abierto del agregador.
Flores · Avellaneda y Pasaje Ruperto Godoy,Bulmat,Ruperto Godoy 731,sí,vigencia_no_verificada,https://www.lanacion.com.ar/sabado/pasaje-ruperto-godoy-el-patio-de-comidas-coreano-del-shopping-a-cielo-abierto-que-se-creo-alrededor-nid15062023/,2023-06-19,v2,Existencia y atención acreditadas sólo a la fecha de la nota.
Flores · Avellaneda y Pasaje Ruperto Godoy,Karaoke W,Ruperto Godoy 761,sí,abierto_a_fecha_fuente,https://buenosairesherald.com/what-to-do-in-argentina/what-to-do-in-buenos-aires/koreatown-buenos-aires-little-known-hotspot-for-spicy-food-and-karaoke,2025 (día no recuperado),v2,La nota individualiza el local y su servicio; no prueba atención al corte.
Flores · Avellaneda y Pasaje Ruperto Godoy,Pan Moa,Ruperto Godoy 763,sí,abierto_a_fecha_fuente,https://buenosairesherald.com/what-to-do-in-argentina/what-to-do-in-buenos-aires/koreatown-buenos-aires-little-known-hotspot-for-spicy-food-and-karaoke,2025 (día no recuperado),v2,La nota individualiza el local y su servicio; no prueba atención al corte.
Flores · Avellaneda y Pasaje Ruperto Godoy,Dashimaki,Ruperto Godoy 770,sí,abierto_a_fecha_fuente,https://buenosairesherald.com/what-to-do-in-argentina/what-to-do-in-buenos-aires/koreatown-buenos-aires-little-known-hotspot-for-spicy-food-and-karaoke,2025 (día no recuperado),v2,La nota individualiza el local y su servicio; no prueba atención al corte.
Flores · Avellaneda y Pasaje Ruperto Godoy,Maum,Felipe Vallese 3135,sí,abierto_a_fecha_fuente,https://buenosairesherald.com/what-to-do-in-argentina/what-to-do-in-buenos-aires/koreatown-buenos-aires-little-known-hotspot-for-spicy-food-and-karaoke,2025 (día no recuperado),v2,No confundir con el antecedente de Ruperto Godoy 733.
Flores · Avellaneda y Pasaje Ruperto Godoy,Makarios,Felipe Vallese 3130,sí,vigencia_no_verificada,https://www.lanacion.com.ar/sabado/pasaje-ruperto-godoy-el-patio-de-comidas-coreano-del-shopping-a-cielo-abierto-que-se-creo-alrededor-nid15062023/,2023-06-19,v2,Sin pieza pública posterior localizada.
Flores · Avellaneda y Pasaje Ruperto Godoy,Pulpería Norte,Felipe Vallese 3123,sí,vigencia_no_verificada,https://www.lanacion.com.ar/sabado/pasaje-ruperto-godoy-el-patio-de-comidas-coreano-del-shopping-a-cielo-abierto-que-se-creo-alrededor-nid15062023/,2023-06-19,v2,Sin pieza pública posterior localizada.
Flores · Avellaneda y Pasaje Ruperto Godoy,Yugane,Páez 3063,sí,probablemente_abierto,https://assets.mobile.playdigital.com.ar/promotions_dynamics/8bed371a-2d8f-4bb4-a793-7eb4d7081ac7/Comercios%20adheridos.pdf,2026-06,v3,Participación operativa fechada en una promoción; no se usó un estado de agregador.
Flores · Avellaneda y Pasaje Ruperto Godoy,Shabu Shabu 153,Páez 3154,sí,conflicto_de_vigencia,https://es.restaurantguru.com/Shabu-Shabu-153-Buenos-Aires | https://carta.menu/restaurants/buenos-aires/shabu-shabu-153,2025-07-02 / 2026-04-12,v2,Dos fuentes públicas secundarias discrepan; no se declara ni abierto ni cerrado.
Flores · Avellaneda y Pasaje Ruperto Godoy,Ichiban,Felipe Vallese y Ruperto Godoy,sí,vigencia_no_verificada,https://www.lanacion.com.ar/sabado/pasaje-ruperto-godoy-el-patio-de-comidas-coreano-del-shopping-a-cielo-abierto-que-se-creo-alrededor-nid15062023/,2023-06-19,v2,La nota no publica número de puerta y no se localizó una pieza posterior.
Flores · Avellaneda y Pasaje Ruperto Godoy,American Kosher,Av. Avellaneda 2701,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Amltí Kosher,Bolivia 449,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Azulay,Dr. Juan F. Aranguren 2941,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Behar Almacén,Campana 349,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Hamra,Dr. Juan F. Aranguren 3192,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
Flores · Avellaneda y Pasaje Ruperto Godoy,Kosher City,Av. Avellaneda 2395,sí_a_fecha_fuente,vigencia_no_verificada,https://turismo.buenosaires.gob.ar/sites/turismo/files/establecimientos_KOSHER_2015_0.pdf,2015,v2,"El padrón oficial acredita existencia histórica, no atención al corte."
