referencia_id,campo,valor_v1,valor_v2,cifras_v1,cifras_v2,resultado
R01,cifra,SIN_CIFRA_CANONICA_COMPARABLE,SIN_CIFRA_CANONICA_COMPARABLE,,,PASS
R01,naturaleza,no_localizada,no_localizada,,,PASS
R01,denominador_metodo,Lectura cerrada de oficina; sin universo único cerrado en corpus institucional cerrado,Lectura cerrada de oficina; sin universo único cerrado en corpus institucional cerrado,,,PASS
R01,detalle_cuantitativo,Sin cifra canónica comparable disponible. | Antecedentes experimentales de microzonas quedan solo en trazabilidad técnica y no forman un universo del polo completo.,Sin cifra canónica comparable disponible. | Antecedentes experimentales de microzonas quedan solo en trazabilidad técnica y no forman un universo del polo completo.,,,PASS
R02,cifra,SIN_CIFRA_CANONICA_COMPARABLE,SIN_CIFRA_CANONICA_COMPARABLE,,,PASS
R02,naturaleza,no_localizada,no_localizada,,,PASS
R02,denominador_metodo,Lectura cerrada; sin universo único cerrado en corpus institucional cerrado,Lectura cerrada; sin universo único cerrado en corpus institucional cerrado,,,PASS
R02,detalle_cuantitativo,Sin cifra canónica comparable disponible. | La cobertura histórica y la microzona experimental no son indicadores canónicos ni equivalen a R13.,Sin cifra canónica comparable disponible. | La cobertura histórica y la microzona experimental no son indicadores canónicos ni equivalen a R13.,,,PASS
R03,cifra,SIN_CIFRA_CANONICA_COMPARABLE,SIN_CIFRA_CANONICA_COMPARABLE,,,PASS
R03,naturaleza,no_localizada,no_localizada,,,PASS
R03,denominador_metodo,Lectura cerrada de oficina,Lectura cerrada de oficina,,,PASS
R03,detalle_cuantitativo,Sin cifra canónica comparable disponible.,Sin cifra canónica comparable disponible.,,,PASS
R04,cifra,SIN_CIFRA_CANONICA_COMPARABLE,SIN_CIFRA_CANONICA_COMPARABLE,,,PASS
R04,naturaleza,no_localizada,no_localizada,,,PASS
R04,denominador_metodo,Lectura cerrada de oficina,Lectura cerrada de oficina,,,PASS
R04,detalle_cuantitativo,Sin cifra canónica comparable disponible.,Sin cifra canónica comparable disponible.,,,PASS
R05,cifra,697 (universo del relevamiento cartográfico previo; histórico metodológico) | 3 centralidades (descriptiva pública),697 (universo del relevamiento cartográfico previo; histórico metodológico) | 3 centralidades (descriptiva pública),,,PASS
R05,naturaleza,historica_metodologica,historica_metodologica,,,PASS
R05,denominador_metodo,KPI_LOCK cartográfico relevamiento previo / editorial V2; no reabrir relevamiento previo sin pedido,KPI_LOCK cartográfico relevamiento previo / editorial V2; no reabrir relevamiento previo sin pedido,,,PASS
R05,detalle_cuantitativo,"Relevamiento cartográfico previo: universo histórico metodológico 697; 248 puntos incluidos; cobertura 35,58 %; 3 componentes; 7 piezas topológicas; superficie 0,3975 km²; densidad descriptiva 623,9 puntos/km²; estabilidad 0,765; dependencia externa 53,23 %; 449 puntos sin asignar. | La cifra pública descriptiva autorizada es 3 centralidades. Cobertura, estabilidad y universo histórico no son indicador principal ni equivalen a locales activos.","Relevamiento cartográfico previo: universo histórico metodológico 697; 248 puntos incluidos; cobertura 35,58 %; 3 componentes; 7 piezas topológicas; superficie 0,3975 km²; densidad descriptiva 623,9 puntos/km²; estabilidad 0,765; dependencia externa 53,23 %; 449 puntos sin asignar. | La cifra pública descriptiva autorizada es 3 centralidades. Cobertura, estabilidad y universo histórico no son indicador principal ni equivalen a locales activos.",,,PASS
R06,cifra,SIN_CIFRA_CANONICA_COMPARABLE,SIN_CIFRA_CANONICA_COMPARABLE,,,PASS
R06,naturaleza,historica_metodologica,historica_metodologica,,,PASS
R06,denominador_metodo,KPI_LOCK relevamiento previo; decisión editorial REC-R02 sin cifra de oferta,KPI_LOCK relevamiento previo; decisión editorial REC-R02 sin cifra de oferta,,,PASS
