pagina,render,metodo_inspeccion,hallazgo,estado
1,render_conduccion/pagina_01.png,"render 150 dpi, página por página",Portada limpia; marca DGDGAS y titulo institucional. Los dos rotulos que estaban en versalitas -la caja de lectura y el descargo del pie- pasaron a capitalizacion normal (M-04).,OK
2,render_conduccion/pagina_02.png,"render 150 dpi, página por página","Resumen ejecutivo: 22 zonas, 11 comunas, cinco familias y los cuatro modos de conteo separados por linea fina. La caja de cierre sigue al ultimo grupo en vez de estar clavada al pie: desaparecio el hueco de 166 pt del medio. El titulo ya no se monta sobre la caja azul (M-02). La fuente y la fecha, una sola vez.",OK
3,render_conduccion/pagina_03.png,"render 150 dpi, página por página","Indice a dos columnas parejas. La entrada 'Zonas R01-R22 (continua)' lleva a la pagina donde la seccion continua, no al inicio de la seccion (M-08). Los 44 destinos resuelven.",OK
4,render_conduccion/pagina_04.png,"render 150 dpi, página por página",Tres ideas en tres cajas mas el cierre. Cada caja se ajusta a su texto: se fueron los ~2 cm vacios que tenia cada una debajo (M-05). El sobrante queda al pie de la pagina.,OK
5,render_conduccion/pagina_05.png,"render 150 dpi, página por página",Cinco familias con muestra de color y definicion; cada zona con su nombre. Separacion de un bloque entre paneles.,OK
6,render_conduccion/pagina_06.png,"render 150 dpi, página por página","Mapa general con anclas geograficas y tabla de 22 en dos columnas. La nota del pie ahora se ajusta al ancho de la columna: antes media 514,1 pt en una columna de 510,2 y salia de la caja. Los numeros de comuna 1 y 11 se rozan sobre el gris: viene de la cartografia de la V2.1.",OBSERVACION
7,render_conduccion/pagina_07.png,"render 150 dpi, página por página","Ficha doble R01/R02. Los cuatro bloques del lector; la frase de cifra sin etiqueta ni simbolo; una sola advertencia al pie. Los enlaces 'Ir al mapa' llevan a las paginas 8 y 12, las de esta edicion.",OK
8,render_conduccion/pagina_08.png,"render 150 dpi, página por página","R01: las tres partes -Palermo Soho, Palermo Hollywood y Las Canitas- separadas y ROTULADAS. Hasta esta corrida el mapa rotulaba 'Palermo' una sola vez y ninguna de las tres partes que la ficha anuncia (S-01).",OK
9,render_conduccion/pagina_09.png,"render 150 dpi, página por página","Pagina nueva (S-03). Palermo Soho ampliado a 250 m, con Palermo Hollywood en gris al costado y cuatro avenidas del entorno rotuladas.",OK
10,render_conduccion/pagina_10.png,"render 150 dpi, página por página","Pagina nueva (S-03). Palermo Hollywood ampliado a 250 m, con Palermo Soho en gris y las avenidas del entorno.",OK
