archivo,tipo,kb,filas,columnas,titulo_o_columnas,modificado,bajo_git
ATLAS_V3_SECCIONES_II_V_VI_IX.md,md,30.9,,,Atlas de Referencias Gastronómicas de la Ciudad de Buenos Aires · V3,2026-08-08 13:09,rastreado
AUDITORIA_DE_DUPLICADOS.md,md,6.9,,,"Auditoría de duplicados · 29 riesgos, tres de ellos altos",2026-08-08 11:47,rastreado
AUDITORIA_DE_ESTADO_2026-08-09.md,md,20.5,,,Auditoría de estado · Atlas V3,2026-08-09 03:29,rastreado
AUDITORIA_DEL_CATALOGO_OFICIAL.md,md,9.8,,,El catálogo que estamos usando no es el vigente — y el vigente tiene tres fichas muertas,2026-08-07 17:07,rastreado
auditoria_duplicados.csv,csv,9.7,29,6,id; tipo_de_riesgo; objeto; donde_aparece_repetido; estado; que_hacer,2026-08-08 11:47,rastreado
bares_notables_altas_2026-08-03.csv,csv,1.5,12,8,orden; establecimiento; direccion; barrio; comuna; referencia_o_zona_que_toca,2026-08-07 12:56,rastreado
barracas_resuelto.csv,csv,4.3,3,12,objeto; tipo; direccion_o_tramo; barrio; veredicto; nivel,2026-08-08 12:33,rastreado
barrio_chino_conteos_de_fuente.csv,csv,1.3,5,6,conteo; valor; fecha; fuente; alcance_declarado; se_puede_usar_como,2026-08-07 16:11,rastreado
caminatas_de_verificacion.csv,csv,2.2,3,6,prioridad; corredor; tramo; por_que_importa; que_anotar; cuanto,2026-08-08 21:46,rastreado
canitas_censo_2026.csv,csv,2.4,12,4,campo; valor; fuente; uso,2026-08-08 18:41,rastreado
capa_de_memoria.csv,csv,10.5,31,15,id; establecimiento; direccion; barrio; zona_del_atlas; estado,2026-08-08 12:13,rastreado
catalogo_1225_26_diff.csv,csv,3.3,14,6,tipo_de_cambio; establecimiento; direccion; orden_1225_26; contra_lo_cargado; nota,2026-08-07 17:37,rastreado
catalogo_90_estado_final.csv,csv,11.9,90,7,orden; establecimiento; direccion; barrio; estado; verificado_por,2026-08-08 21:22,rastreado
catalogo_90_notables_cruzado.csv,csv,11.2,90,10,orden; establecimiento; direccion; barrio_catalogo; comuna_catalogo; comuna_correcta_del_barrio,2026-08-08 11:58,rastreado
catalogo_notables_auditoria_cierres.csv,csv,5.9,11,11,establecimiento; direccion; barrio; estado; fecha_del_cierre; sigue_en_el_catalogo,2026-08-07 17:07,rastreado
catalogo_pendientes_para_diego.csv,csv,18.9,52,11,prioridad; orden; establecimiento; direccion; barrio; eje_idecba,2026-08-08 21:22,rastreado
colegiales_delimitacion_propuesta.csv,csv,3.3,3,9,id; nombre; papel_propuesto; ejes; borde_documentado; hitos,2026-08-08 18:40,rastreado
COLEGIALES_NO_ES_UNA_COSA.md,md,7.3,,,"Colegiales no es una cosa, y por eso no puede entrar entero a Chacagiales",2026-08-08 18:40,rastreado
CORRECCIONES_MIAS_2026-08.md,md,3.8,,,Correcciones a material que ya cargué,2026-08-07 12:33,rastreado
correspondencia_fase_documental.csv,csv,3.3,13,8,bloque; titulo; archivo; numero_viejo; numero_nuevo; proyecto,2026-08-09 10:51,rastreado
CRITERIO_ESCALA_DE_LA_VIA_E.md,md,9.5,,,La vía E no se mide por fila,2026-08-07 15:38,rastreado
