prioridad,orden,establecimiento,direccion,barrio,eje_idecba,var_ocupacion_pp,que_chequear,veredicto,fecha_evidencia,nota
1 - EJE EN CAIDA FUERTE,1,ALMACEN Y BAR LAVALLE,Lavalle 1693,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,3,BAR BIDOU,Av. Roque Saenz Pena 858,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,19,BAR VIA 71,Viamonte 1771,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,21,BOSTON CITY,Florida 165 local 3,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,34,CELTA BAR,Sarmiento 1702,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,35,CLARIDGE'S BAR,Tucuman 535,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,37,CONFITERIA LA IDEAL,Suipacha 384,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,48,EL GATO NEGRO,Av. Corrientes 1669,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,57,HOTEL SAVOY / BAR IMPERIO,Callao 181,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,65,LA GIRALDA,Av. Corrientes 1453,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
1 - EJE EN CAIDA FUERTE,66,LA OPERA,Av. Corrientes 1799,San Nicolas,Microcentro / Florida,-7.2,"1) Instagram del local: hay posteo FECHADO en los ultimos 60 dias? -> verificado_abierto v2. 2) Si no hay Instagram o esta mudo: Google Maps, dice 'Cerrado permanentemente'? 3) Si segui sin poder decidir: foto de la persiana o llamada. ANOTAR SIEMPRE LA FECHA DE LA EVIDENCIA.",,,
