polo,texto_del_perimetro,calles_nombradas,tiene_alturas,categoria,reconstruible_desde_el_texto,polo_id,n_calles_nombradas,calles_que_tocan_el_borde,alturas_que_escribe,por_que,referencias_que_no_son_calles,ha_del_borde,locales_del_borde,calles_en_el_callejero
R01 · Palermo,"**Dónde está.** Es el caso que obligó a decidir cómo se publica un sistema. **Palermo se publica como un polo con subzonas**, no como varios polos separados ni como una sola mancha. El sistema mide **385,51 hectáreas y 1.916 locales**. Adentro: - **el perímetro publicado de Palermo** — 271,29 ha · 1.358 locales - **Soho** — 92,36 ha · 772 locales - **Hollywood** — 102,61 ha · 595 locales - **Las Cañitas** — 82,04 ha · 361 locales - **un paño sin subzona identificada** — 40,17 ha · 134 locales > **Estas cifras no se suman.** Las subzonas y el perímetro publicado se pisan entre sí: 210 de los > 361 locales de Las Cañitas están adentro del perímetro publicado, y 960 de sus 1.358 están > adentro de Soho o de Hollywood. El único total válido es el del sistema: 1.916 locales en > 385,51 hectáreas. Sumar las cuatro primeras filas da 3.086 y cuenta 1.170 locales de más. > > Y los conteos de las subzonas son los de sus **contornos publicados**, no los de las fuentes que > los detectaron. Para Soho las dos cifras difieren —772 el contorno, 728 la concentración— porque la > el trazado del contorno lo suavizó: se tragó 52 locales que no eran de la concentración y dejó 8 afuera. > Lo que este atlas dibuja es el contorno, así que el número que va en la página es el del > contorno. La contención se verificó midiendo superficie perdida, no con un predicado: el perímetro publicado y las tres subzonas medidas pierden 0,0 m² dentro del sistema. El predicado geométrico devuelve «no contiene», y por eso no se usa.",,no,da un barrio o una referencia sin calles,no,R01,0,0,,el bloque no describe un perímetro: explica cómo se publica un sistema de subzonas y da las cifras de cada una. Ninguna calle,Soho; Hollywood; Las Cañitas; «el perímetro publicado de Palermo»,385.51,1916,
R02 · Avenida Corrientes,"**Dónde está.** El eje de Av. Corrientes, entre el Obelisco y el entorno de Callao/Pueyrredón. **El tramo exacto está por precisar**, y se declara acá y no al pie.",Av. Corrientes; Callao; Pueyrredón,no,da calles sin alturas,no,R02,3,2,,"da el eje y los dos extremos, pero la página declara que «el tramo exacto está por precisar» y el extremo norte es «el entorno de Callao/Pueyrredón»",el Obelisco,49.67,354,CORRIENTES AV.; CALLAO AV.; PUEYRREDON AV.
R03 · San Telmo,"**Dónde está.** Perímetro vigente, con el núcleo en el entorno de Plaza Dorrego y Defensa.",Defensa,no,da calles sin alturas,no,R03,1,1,,"la delimitación es «perímetro vigente»: la calle y la plaza describen el núcleo, no el borde",Plaza Dorrego,25.37,71,DEFENSA
R04 · Puerto Madero,"**Dónde está.** Perímetro vigente, organizado sobre los diques.",,no,da un barrio o una referencia sin calles,no,R04,0,0,,"«perímetro vigente, organizado sobre los diques». Ninguna calle, ninguna extensión",los diques,314.54,354,
R05 · Belgrano,**Dónde está.** Perímetro vigente. Contiene el enclave del **Barrio Chino**.,,no,da un barrio o una referencia sin calles,no,R05,0,0,,«perímetro vigente» más el enclave que contiene. Ninguna calle,el enclave del Barrio Chino,39.65,343,
R06 · Recoleta,**Dónde está.** Perímetro vigente.,,no,no escribe perímetro,no,R06,0,0,,el bloque entero dice «Perímetro vigente.»,,140.52,714,
R07 · Costanera Norte,**Dónde está.** Perímetro vigente.,,no,no escribe perímetro,no,R07,0,0,,el bloque entero dice «Perímetro vigente.»,,38.5,67,
R08 · Villa Crespo,"**Dónde está.** Perímetro vigente, sobre los ejes de **Loyola, Thames y Aguirre**.",Loyola; Thames; Aguirre,no,da calles sin alturas,no,R08,3,3,,"tres ejes sin extensión, sobre un «perímetro vigente» de 335 ha: los ejes no la producen",,335.46,823,LOYOLA; THAMES; AGUIRRE
R09 · Chacarita,"**Dónde está.** Perímetro vigente. **Se pisa con Colegiales** a través del corredor de Elcano, Álvarez Thomas, Forest y Jorge Newbery, y el trazado conjunto está en revisión.",Elcano; Álvarez Thomas; Forest; Jorge Newbery,no,da calles sin alturas,no,R09,4,3,,"las cuatro calles describen el corredor que comparte con Colegiales, no el borde propio, y la página dice que «el trazado conjunto está en revisión»",,94.81,202,"ELCANO AV.; ALVAREZ THOMAS AV.; FOREST AV.; NEWBERY, JORGE AV."
R10 · Caballito,"**Dónde está.** Perímetro vigente, con una subzona de oferta premium sobre **Av. Pedro Goyena**.",Av. Pedro Goyena,no,da calles sin alturas,no,R10,1,1,,"«perímetro vigente» más una subzona sobre una avenida, sin extensión",,225.36,508,"GOYENA, PEDRO AV."
