id,pagina,establecimiento,direccion,estado_inicial,consulta_exacta,evidencia_publicable,fecha_fuente,nivel,resultado_publicable,consulta_senal_no_publicable,senal_no_publicable,fecha_senal,resultado_final_r21,observaciones
"A01","Retiro","Bárbaro","Tres Sargentos 415","probablemente abierto","\"Bárbaro\" \"Tres Sargentos 415\" 2026","https://www.diariodecultura.com.ar/turismo-cultural/del-bollini-al-tres-sargentos-los-pasajes-mas-lindos-de-buenos-aires/","2026-05-25","v2","Actividad acreditada a la fecha de la fuente; no al corte.","","","","v2 — actividad al 2026-05-25","La nota usa el nombre actual y el número de calle."
"A02","Donado–Holmberg","El Bohemio","Donado 1802","probablemente abierto","\"El Bohemio\" \"Donado 1802\" 2026","https://tn.com.ar/cocina/gastronomia/2024/12/10/el-restaurante-que-lleva-10-anos-en-una-antigua-casona-de-villa-urquiza-y-conserva-su-alma-bohemia/","2024-12-10","v2 histórico","Actividad acreditada sólo al 2024-12-10; insuficiente para vigencia 2026.","\"El Bohemio\" \"Donado 1802\" 2026","https://restaurantguru.com/El-Bohemio-Buenos-Aires","2026-03-10","EN DUDA","La señal de plataforma no se publica a nivel establecimiento."
"A03","Donado–Holmberg","Cigaló","Holmberg 2004","probablemente abierto","\"Cigaló Specialty Coffee\" \"Holmberg 2004\" 2026","https://assets.mobile.playdigital.com.ar/promotions_dynamics/4444699a-c5bb-452d-b9c7-d4fcb730cb5a/Comercios%20adheridos..pdf","sin fecha editorial verificable","v1/v4","La lista comercial individualiza nombre y altura, pero no fecha la actividad.","\"Cigaló\" \"Holmberg 2004\" 2026","https://www.tripadvisor.com.ar/Restaurant_Review-g312741-d13620296-Reviews-Cigalo-Buenos_Aires_Capital_Federal_District.html","consulta 2026-08-10","EN DUDA","La ficha de plataforma queda separada."
"A04","Flores · Avellaneda","Barthalé","Ruperto Godoy 712","probablemente abierto","\"Barthalé\" \"Ruperto Godoy 712\" 2026","","","sin pieza v2","No se localizó pieza pública fechada fuera de plataformas.","\"Barthalé\" \"Ruperto Godoy 712\" 2026","https://es.restaurantguru.com/Barthale-Deli-and-Lounge-Buenos-Aires","2026-05-17","EN DUDA","Sin señal de cierre publicable; verificación pendiente."
"A05","Flores · Avellaneda","Yugane","Páez 3063","probablemente abierto","\"Yugane\" \"Páez 3063\" 2026","","","sin pieza v2","No se localizó pieza pública fechada independiente.","\"Yugane\" \"Páez 3063\" 2026","https://www.restaurants10.com/AR/Buenos-Aires/1425151147739121/Restaurante-Yugane-%EC%9C%A0%EA%B0%80%EB%84%A4","2026-06-26","EN DUDA","Espejo de publicaciones sociales: sólo prioriza una visita."
"A06","Mataderos","Bar Oviedo","Av. Lisandro de la Torre 2407","probablemente abierto","\"Bar Oviedo\" \"Lisandro de la Torre 2407\" 2026","https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-SSGCULT-75-26-ANX.pdf","2026-05-05","v1","El catálogo confirma identidad y domicilio; no acredita actividad.","\"Bar Oviedo\" \"Lisandro de la Torre 2407\" 2026","https://ar.trabajo.org/oferta-3379-27994c6c421c60baac2b7dc6c948e3b1","2026-04-05","EN DUDA","La oferta agregada no se publica como evidencia de vigencia."
"A07","Mataderos","Bar del Glorias","Andalgalá 1982","probablemente abierto","\"Bar del Glorias\" \"Andalgalá 1982\" 2026","https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-SSGCULT-75-26-ANX.pdf","2026-05-05","v1","El catálogo confirma identidad y domicilio; no acredita actividad.","\"Bar del Glorias\" \"Andalgalá 1982\" 2026","https://es.restaurantguru.com/Bar-del-Glorias-Buenos-Aires","2026-03-30","EN DUDA","Sin señal de cierre publicable; verificación pendiente."
"A08","Villa Luro","Alma y Fuego","Av. Rivadavia 10399","probablemente abierto","\"Alma y Fuego\" \"Rivadavia 10399\" 2026","","","sin pieza v2","No se localizó pieza pública fechada fuera de plataformas.","\"Alma y Fuego\" \"Rivadavia 10399\" 2026","https://es.restaurantguru.com/Alma-y-Fuego-Buenos-Aires","2026-07-23","EN DUDA","Sin señal de cierre publicable; verificación pendiente."
"A09","Villa Luro","Casa Tónica","Av. Rivadavia 10101","probablemente abierto","\"Casa Tónica\" \"Rivadavia 10101\" 2026","","","sin pieza v2","No se localizó pieza pública fechada fuera de plataformas.","\"Casa Tónica\" \"Rivadavia 10101\" 2026","https://www.restaurants10.com/AR/Buenos-Aires/109823178650922/Casa-T%C3%B3nica-Gintoner%C3%ADa","2026-06-08","EN DUDA","Espejo de publicaciones sociales: sólo prioriza una visita."
"A10","Avenida Boedo","San Antonio","Av. Juan de Garay 3602","sin verificación individual","\"San Antonio\" \"Juan de Garay 3602\" 2026 pizzería","https://www.eltrecetv.com.ar/cucinare/2026/05/27/nuevas-pizzerias-emblematicas-de-buenos-aires-las-10-elegidas-por-los-empresarios-del-rubro/","2026-05-27","v2","Actividad acreditada a la fecha de la fuente; no al corte.","","","","v2 — actividad al 2026-05-27","La nota individualiza la pizzería y la altura."
"A11","Villa Crespo","Alcanfor","Aguirre 949","sin verificación individual","\"Alcanfor\" \"Aguirre 949\" 2026","https://www.eltrecetv.com.ar/cucinare/2026/07/16/una-mesa-para-la-amistad-16-propuestas-para-celebrar-el-20-de-julio/","2026-07-16","v2","Actividad programada para el 2026-07-20, acreditada por pieza del 2026-07-16.","","","","v2 — actividad al 2026-07-20","No equivale a abierto al corte."
"A12","Villa Crespo","Horta","Aguirre 1080","sin verificación individual","\"Horta\" \"Aguirre 1080\" 2026","https://www.fondodeolla.com/nota/20486-la-soberania-de-la-buena-cosecha/","2026-06-12","v2","Actividad acreditada a la fecha de la fuente; no al corte.","","","","v2 — actividad al 2026-06-12","La reseña informa nombre, altura y horarios."
"A13","Villa Crespo","Julia","Loyola 807","sin verificación individual","\"Julia\" \"Loyola 807\" 2026","https://linda.buenosaires.gob.ar/eventos/calesita-2026","2026-06-18","v2","Actividad acreditada por evento oficial fechado; no al corte.","","","","v2 — actividad al 2026-06-18","Fuente oficial GCBA."
"A14","Villa Crespo","Trescha","Murillo 725","sin verificación individual","\"Trescha\" \"Murillo 725\" 2026","https://elplanetaurbano.com/2026/03/trescha-festeja-su-tercer-aniversario-con-un-encuentro-gastronomico-abierto/","2026-03-05","v2","Actividad programada para el 2026-03-22, acreditada por pieza fechada.","","","","v2 — actividad al 2026-03-22","No equivale a abierto al corte."
"A15","Villa Crespo","Fico","Muñecas 775","sin verificación individual","\"Fico\" \"Muñecas 775\" restaurante 2026","https://www.eltrecetv.com.ar/cucinare/2026/03/17/fico-el-restaurante-que-convirtio-a-la-torta-vasca-en-mucho-mas-que-un-postre/","2026-03-17","v2","Actividad acreditada a la fecha de la fuente; no al corte.","","","","v2 — actividad al 2026-03-17","La pieza informa nombre y altura exacta."
"A16","Villa Crespo","Han","Vera 966","sin verificación individual","\"Han Restaurante\" \"Vera 966\" \"2026\"","https://www.eltrecetv.com.ar/cucinare/2026/01/02/guia-de-aperturas-2025-62-proyectos-que-se-pusieron-en-marcha-y-vale-la-pena-probar/","2026-01-02","v2","Actividad acreditada a la fecha de la fuente; no al corte.","","","","v2 — actividad al 2026-01-02","La pieza individualiza nombre y altura."
"A17","Donado–Holmberg","Chicama","Donado 1995","en conflicto entre dos fuentes","\"Chicama\" \"Donado 1995\" restaurante","https://buenosaires.gob.ar/sites/default/files/media/document/2021/01/19/736aa1356bc70ca256e18687a7ed27e38bad7008.pdf","2020-11-20","v1/v2 histórico","El acto prueba habilitación histórica en Donado 1995, no continuidad.","\"Chicama\" \"Donado 1995\" restaurante","https://www.happycow.net/reviews/chicama-buenos-aires-315812","2024-09-21","EN DUDA","La plataforma afirma traslado a Echeverría 4322; el conflicto no se resuelve publicablemente."
"A18","Flores · Avellaneda","Shabu Shabu 153","Páez 3154","en conflicto entre dos fuentes","\"Shabu Shabu\" \"Páez 3154\"","","","sin pieza v2","No se localizó fuente pública fechada de actividad o cierre.","\"Shabu Shabu\" \"Páez 3154\"","https://es.restaurantguru.com/Shabu-Shabu-153-Buenos-Aires","2025-07-02","EN DUDA","La marca de cierre de la plataforma no se publica como cierre."
"A19","Parque Avellaneda","La Barra del Parque","Lacarra 836","en conflicto entre dos fuentes","\"La Barra del Parque\" \"Lacarra 836\" 2026","","","sin pieza v2","No se localizó fuente pública fechada de actividad o cierre.","\"La Barra del Parque\" \"Lacarra 836\" 2026","https://restaurantguru.com/La-Barra-Del-Parque-Buenos-Aires","2026-01-25","EN DUDA","La plataforma dice 'may be permanently closed'; no se convierte en cierre."
"A20","Retiro","Confitería Saint Moritz","Esmeralda 894","dudoso","\"Saint Moritz\" \"Esmeralda 894\" bar 2026","https://www.buenosaireslocaltours.com/buenos-aires-city-guide/notable-bars/saint-moritz/","sin fecha editorial verificable","v4","La ficha describe el lugar en presente pero carece de fecha; no alcanza v2.","","","","EN DUDA","El catálogo oficial 2026 sólo prueba pertenencia patrimonial."
"A21","Mataderos","9 de Julio","Larrazábal 1276","dudoso","\"Bar 9 de Julio\" \"Larrazábal 1276\" 2026","https://documentosboletinoficial.buenosaires.gob.ar/publico/PE-RES-MCGC-MCGC-1225-26-ANX.pdf","2026-02-26","v1","El catálogo confirma identidad y domicilio; no acredita actividad.","\"Bar 9 de Julio\" \"Larrazábal 1276\" 2026","https://es.restaurantguru.com/BAR-9-DE-JULIO-Buenos-Aires","consulta 2026-08-10","EN DUDA","La ficha actual de plataforma no reemplaza prueba fechada."
"A22","Mataderos","El Cedrón","Av. Juan B. Alberdi 6101","dudoso","\"El Cedrón\" \"Alberdi 6101\" 2026","https://buenosairesenvivo.com/2026/05/27/diez-nuevas-pizzerias-que-hacen-historia-en-los-barrios-portenos/","2026-05-27","v2","Actividad programada para el 2026-05-28 en el local; no al corte.","","","","v2 — actividad al 2026-05-28","La pieza individualiza nombre y altura."
