id_candidato,nombre,tipo_mercado_gastronomico,gestion_publica_privada_mixta,barrio,comuna,estado_operativo,activo_para_conteo,categoria_v2_2,web_oficial,horarios_confirmados,respaldo_documental,en_fuentes_internas,en_google_places,nivel_confianza,observacion
MG-0001,Mercado de San Telmo,mercado_con_identidad_historica_gastronomica,mixta,San Telmo,1,activo,si,activo_confirmado,sitio_propio,pendiente,si,no_directo,OPERATIONAL,C1_oficial,horarios divergentes entre sitio propio y Turismo BA
MG-0002,Mercado de Belgrano,mercado_con_identidad_historica_gastronomica,mixta,Belgrano,13,activo,si,activo_confirmado,institucional_gcba,si,si,si,OPERATIONAL,C1_oficial,documental: ~37 locales; corroborado internas y Google
MG-0003,Mercado del Progreso,mercado_barrial_alimentario,privada,Caballito,6,activo,si,activo_confirmado,sitio_propio,si,si,si,OPERATIONAL,C1_oficial,documental: 17 a la calle + 174 puestos interiores
MG-0004,Mercat Villa Crespo,food_hall,privada,Villa Crespo,15,activo,si,activo_confirmado,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,Google OPERATIONAL
MG-0005,Mercado Soho,food_hall,privada,Palermo,14,en_revision,no,en_revision_no_contabilizado_por_prudencia,sitio_propio,si,si,no_directo,CLOSED_PERMANENTLY,C1_oficial,retirado del conteo por prudencia: Google CLOSED + sin evidencia reciente suficiente
MG-0006,Patio de los Lecheros,espacio_tipo_mercado_gastronomico,publica,Caballito,6,activo,si,activo_confirmado,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,Google OPERATIONAL
MG-0007,Mercado de los Carruajes,food_hall,mixta,Retiro,1,cerrado,no,cerrado_documentado,institucional_gcba,no,si,no_directo,no_consultado,C1_oficial,cierre abril 2025; antecedente
MG-0008,Mercado Bonpland,mercado_de_productores,mixta,Palermo,14,activo,si,activo_confirmado,institucional_gcba,si,si,si,OPERATIONAL,C1_oficial,corroborado internas DGDGAS (7) y Google
MG-0009,El Galpon,mercado_de_productores,privada,Chacarita,15,en_revision,no,en_revision_no_contabilizado_por_prudencia,sitio_propio,si,si,no_directo,OPERATIONAL_match_dudoso,C1_oficial,retirado del conteo: match Google con teatro homonimo + situacion no clara
MG-0010,Smart Plaza Patio Parque Patricios,espacio_tipo_mercado_gastronomico,publica,Parque Patricios,4,activo,si,activo_confirmado,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,Google OPERATIONAL
MG-0011,Patio Costanera Norte,espacio_tipo_mercado_gastronomico,mixta,Costanera Norte,13,activo,si,activo_confirmado,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,Google OPERATIONAL
MG-0012,Patio Gastronomico Rodrigo Bueno,espacio_tipo_mercado_gastronomico,publica,Puerto Madero,1,activo,si,activo_confirmado,institucional_gcba,si,si,no_directo,OPERATIONAL,C1_oficial,Google OPERATIONAL
MG-0013,Mercado San Nicolas,mercado_con_identidad_historica_gastronomica,mixta,San Nicolas,1,activo,si,activo_confirmado,institucional_gcba,si,si,si,OPERATIONAL,C1_oficial,documental: 18 puestos/locales; corroborado internas y Google
MG-0014,Mercat Caballito,food_hall,privada,Caballito,6,en_revision,no,en_revision_no_contabilizado_por_prudencia,sin_web_oficial,si,si,no_directo,CLOSED_PERMANENTLY,C3_multifuente_confiable,retirado del conteo: Google CLOSED + solo mencion de evento en fuente oficial
MG-0015,Buenos Aires Market,feria_gastronomica,privada,itinerante,0,itinerante,si,activo_confirmado,sitio_propio,pendiente,si,no_directo,OPERATIONAL,C2_sitio_oficial_del_mercado,itinerante; horarios por sede
MG-0016,Sabe la Tierra,mercado_de_productores,privada,itinerante,0,itinerante,si,activo_confirmado,sitio_propio,pendiente,si,no_directo,OPERATIONAL,C2_sitio_oficial_del_mercado,itinerante; horarios por sede
