zona,establecimiento,direccion,prioridad,veredicto,nivel,fecha_dato,dias_al_09_08_2026,evidencia_que_cierra,citable_en_documento,que_falta
R08 Villa Crespo,Cafe San Bernardo,Av. Corrientes 5436,"1 - UNICO NOTABLE DE LA ZONA",verificado_abierto,v1,2026-06-08,62,"La Nacion 08/06/2026, 'El recreo de los grandes: por que las salidas ahora vuelven a girar alrededor del juego'. Reporteo A NIVEL ESTABLECIMIENTO: lo ubica en Av. Corrientes 5436, lo describe operando con billar y ping pong y CITA A SU DUENA, Laura Avila. Cumple la decision 2.",True,"NADA. La ficha de R08 se destraba: su unico Notable esta verificado con fecha propia y a 62 dias. Respaldo adicional: Infobae 13/07/2025 y La Nacion 17/03/2025, los dos tambien a nivel establecimiento."
R11 Boulevard Caseros,Bar Britanico,Brasil 399 esq. Defensa (Defensa 1499/1501),"1 - UNICO HITO DE LA ZONA",verificado_abierto,v1,2026-04-18,113,"Canal 26 18/04/2026, 'La esquina centenaria de San Telmo que inspiro a escritores'. A nivel establecimiento: lo da operando, con mesas de marmol y servicio tradicional, y registra su condicion de Cafe Notable.",True,"CONVIENE UN SEGUNDO RESPALDO. Canal 26 ya fue desplazado como fuente en la ronda 10 -la tanda A del centro le antepuso una nota mas nueva- y ademas el Britanico tiene historial de cierre y reapertura, que es justo el patron que obliga a fecha reciente. Con 113 dias la fila cierra pero no con holgura. ERR-12: la direccion decia 'Defensa 695 esq. Brasil 399'. Defensa 695 es la esquina de Chile, en Monserrat, y es de BAR SEDDON; Brasil cruza Defensa en el 1499/1501. Corregida el 09/08/2026 sin tocar el veredicto: el punto del Britanico cae dentro de R11."
R07 Costanera Norte,Patio Costanera Norte,Av. Costanera Rafael Obligado 7010,"1 - UNO DE LOS DOS HITOS DE LA ZONA",verificado_abierto,v2/v3 sin fecha individual,,,"Pagina oficial del GCBA (Desarrollo Economico / Gastronomia) que lo publica con horarios vigentes -miercoles de 12 a 19, jueves a sabado de 12 a 0, domingo de 12 a 21- y direccion. Es fuente oficial y es documentacion, no scraping.",False,"LA FECHA. La pagina no trae fecha de publicacion ni de actualizacion, asi que cae en el nivel 'v2/v3 sin fecha individual' de la ronda 12: RESUELVE LA FILA PERO NO SE CITA. Nota aparte: la pagina oficial dice capacidad 240 y otras fuentes dicen 546 m2, 150 personas y cinco puestos. No se reconcilia aca."
R07 Costanera Norte,Happening Costanera,Av. Rafael Obligado 7030,"1 - UNO DE LOS DOS HITOS DE LA ZONA",probablemente_abierto,v4,,,"Sitio propio happening.com.ar: lista la sucursal Costanera Norte con su direccion y lleva copyright 2026. Sin fecha de contenido, sin horarios, sin nada fechable. Prensa secundaria menciona un 60 aniversario reciente, sin fecha verificable.",False,"ES LA FILA MAS DEBIL DE LAS CUATRO PRIORITARIAS Y LA UNICA QUE NO CIERRA. Un copyright 2026 no es evidencia de actividad: se actualiza solo. Hace falta una nota fechada, un posteo fechado del canal propio o una llamada. R07 queda con un hito resuelto sin cita y otro sin resolver."
R06 Recoleta,La Biela,Av. Quintana 596 esq. Junin,2,verificado_abierto,v1,2025-10-15,298,"La Nacion 15/10/2025, 'La Biela: personajes ilustres, un gran incendio y los mozos de siempre'. Reporteo a nivel establecimiento.",True,"NADA PARA LA FILA, PERO 298 DIAS ES MUCHO. Sirve para destrabar la ficha; conviene refrescarlo antes de publicar. Ademas La Biela es el ancla de la cuadra de la capa de memoria de R06: ver capa_de_memoria_R06_recoleta.csv."
R06 Recoleta,Bar del Alvear,Av. Alvear 1891,2,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R06 Recoleta,Aramburu,Pasaje del Correo / Vicente Lopez 1661,2,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R06 Recoleta,Fervor,Posadas 1519,2,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R06 Recoleta,Casa Veltri,a confirmar,2,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R06 Recoleta,Presencia,a confirmar,2,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R04 Puerto Madero,Cabana Las Lilas,Alicia Moreau de Justo 516,3,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R04 Puerto Madero,La Cabana,Alicia Moreau de Justo 380,3,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R04 Puerto Madero,Estilo Campo,Alicia Moreau de Justo 1840,3,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R04 Puerto Madero,El Mercado (Faena),Martha Salotti 445,3,sin verificar,,,,,False,"NO SE INTENTO EN ESTA RONDA. Ya esta en la capa como H152, tipo 'Ranking internacional'."
R02 Avenida Corrientes,La Giralda,Av. Corrientes 1453,3,sin verificar,,,,,False,"INTENTADA Y NO CERRO. Solo aparece en listados de eventos de 2026 -Noche de las Librerias, Noche de los Bares Notables- que la nombran pero no son reporteo a nivel establecimiento: por la decision 2 eso es v4, no v1."
R02 Avenida Corrientes,El Gato Negro,Av. Corrientes 1669,3,sin verificar,,,,,False,"INTENTADA Y NO CERRO. Idem La Giralda: mencion en programacion de eventos, no reporteo propio."
R02 Avenida Corrientes,Celta Bar,Sarmiento 1701 esq. Rodriguez Pena,3,sin verificar,,,,,False,NO SE INTENTO EN ESTA RONDA.
R02 Avenida Corrientes,Bar Lavalle,Lavalle 1693,3,sin verificar,,,,,False,"NO SE INTENTO EN ESTA RONDA. Es el orden 1 de catalogo_pendientes_para_diego.csv, en el eje que la v2 daba en caida fuerte."
