hito_id,nombre,campo,valor_antes,valor_despues,motivo,tarea,fecha
H009,Bar El Federal,vigencia_verificada,sin_verificar,si,"Veredicto de `vigencia_tanda_A_centro.csv`, confirmado por Diego en la ronda 8.",TAREA_2,2026-08-08
H009,Bar El Federal,vigencia_nivel,,v3,,TAREA_2,2026-08-08
H009,Bar El Federal,vigencia_fuente,,"Tripadvisor, reseña del 21/07/2026: «Very historic. We expected it to be very touristic but we were pleasantly surprised for the bar to be quiet and civilised.» Segunda reseña de julio de 2026 de otro usuario. Ficha activa, horario 8 a 2 todos los días.",,TAREA_2,2026-08-08
H009,Bar El Federal,vigencia_fecha,,2026-07-21,,TAREA_2,2026-08-08
H009,Bar El Federal,nota_ronda_8,,R03 San Telmo. Es la fila más expuesta de las 22: su vía E quedó en dos grupos por FD-01.,,TAREA_2,2026-08-08
H074,36 BILLARES,vigencia_verificada,sin_verificar,si,"Veredicto de `vigencia_tanda_A_centro.csv`, confirmado por Diego en la ronda 8.",TAREA_2,2026-08-08
H074,36 BILLARES,vigencia_nivel,,v3,,TAREA_2,2026-08-08
H074,36 BILLARES,vigencia_fuente,,"Tripadvisor, reseña del 04/07/2026, y SEGUNDA reseña independiente del 28/06/2026 que describe arañas originales y mesas de pool en uso. Dos reseñas con día visible en la misma ventana.",,TAREA_2,2026-08-08
H074,36 BILLARES,vigencia_fecha,,2026-07-04,,TAREA_2,2026-08-08
H074,36 BILLARES,nota_ronda_8,,"Z47 Monserrat. Con este y Café Tortoni, Monserrat pasa a tener tres verificados.",,TAREA_2,2026-08-08
H035,Café Tortoni,vigencia_verificada,sin_verificar,si,"Veredicto de `vigencia_tanda_A_centro.csv`, confirmado por Diego en la ronda 8.",TAREA_2,2026-08-08
H035,Café Tortoni,vigencia_nivel,,v3,,TAREA_2,2026-08-08
H035,Café Tortoni,vigencia_fuente,,"Tripadvisor, reseña del 26/05/2026 (Thayane B., 3/5): «Only valid for the tourist experience», con churros y chocolate mediocres. Crítica pero inequívocamente presencial y fechada. Segunda del 29/04/2026, tercera del 20/04/2026.",,TAREA_2,2026-08-08
H035,Café Tortoni,vigencia_fecha,,2026-05-26,,TAREA_2,2026-08-08
H035,Café Tortoni,nota_ronda_8,,Z47 Monserrat. DESPLAZA la nota de Canal 26 del 17/07/2026 que lo daba operativo citando Wikipedia al pie: ya no hace falta apoyarse en ella.,,TAREA_2,2026-08-08
H024,CAFE DE LOS ANGELITOS,vigencia_verificada,sin_verificar,si,"Veredicto de `vigencia_tanda_A_centro.csv`, confirmado por Diego en la ronda 8.",TAREA_2,2026-08-08
H024,CAFE DE LOS ANGELITOS,vigencia_nivel,,v3,,TAREA_2,2026-08-08
