polo_id,nombre_polo,soporte_clase,n_locales,zona_via_E,modo,via_E_abierta,via_E_nivel_max,via_E_n_grupos,via_E_reconocimiento,nota_de_asignacion
PG001A_PALERMO_SOHO,Palermo Soho,polo del borrador,772.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,
PG001B_PALERMO_HOLLYWOOD,Palermo Hollywood,polo del borrador,595.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,
PG001C_LAS_CANITAS,Las Canitas,polo del borrador,361.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,La evidencia de food tours de la via E de R01 recae especificamente sobre Las Canitas.
PG002_VILLA_CRESPO,Villa Crespo,envolvente publicada,823.0,R08,propia,si,e2,2,"La Nacion (2025) y El Cronista (2025) tratan a Villa Crespo como polo gastronomico consolidado sobre Loyola, Thames y Aguirre.",
PG003_PUERTO_MADERO,Puerto Madero,envolvente publicada,354.0,R04,propia,si,e2,2,Clarin Gourmet (2023) y El Cronista (2021) tratan a Puerto Madero como polo gastronomico. Toda la evidencia de nivel zona es anterior a 2024.,
PG004_SAN_TELMO,San Telmo,envolvente publicada,71.0,R03,propia,si,e2,2,"RECONTADO (ronda 5, FD-01): La Nacion (2026) y Time Out (2025); El Cronista (2021, act. 2025) excluido del conteo por FD-01, food tours (e5) no suman grupo aparte. Abierta por el minimo.",
PG005_CHACARITA,Chacarita,envolvente publicada,202.0,R09,propia,si,e2,3,The New York Times (2024) dedica una nota al barrio como destino; La Nacion (2024) publica reporteo propio y el ranking de Time Out (2026) nombra el eje Chacarita-Colegiales.,
PG006A_BARRIO_CHINO,Barrio Chino,enclave comunitario,185.0,R05,heredada,si,e2,3,La Nacion (2023) y Perfil (2026) tratan al Barrio Chino de Arribenos como polo gastronomico consolidado; Ambito (2025) cubre Belgrano como zona para comer.,"La via E de R05 se apoya principalmente en el Barrio Chino: para esta fila la evidencia es propia, no prestada."
PG006B_BAJO_BELGRANO,Bajo Belgrano,sin soporte,,R05,heredada,si,e2,3,La Nacion (2023) y Perfil (2026) tratan al Barrio Chino de Arribenos como polo gastronomico consolidado; Ambito (2025) cubre Belgrano como zona para comer.,"El Pasaje Echeverria (10 locales, ene-2022) es la evidencia mas cercana; no fue medida como zona propia."
PG006C_BELGRANO_R,Belgrano R,sin soporte,,Z45,propia,no,ninguno,0,Ninguna fuente trata a Belgrano R ni a Barrancas como zona distinguible. Toda la evidencia esta capturada por R05 y por R16.,
PG007_RECOLETA,Recoleta,envolvente publicada,714.0,R06,propia,si,e2,2,La Nacion (2026) trata a Recoleta entre los barrios con mas movimiento gastronomico y El Cronista lo ubica entre los polos de la Ciudad; se suman food tours comerciales.,
PG008_CABALLITO,Caballito,envolvente publicada,508.0,R10,propia,si,e2,2,El Cronista (2021) describe el polo premium de Av. Pedro Goyena y La Nacion publico un recorrido por esa avenida. Sin cobertura nacional de la zona posterior a 2023.,
PG009_COSTANERA_NORTE,Costanera Norte,envolvente publicada,67.0,R07,propia,no,e2,1,"Solo La Nacion cubre Costanera Norte como polo en renacimiento, con dos notas del mismo medio en 2025: un grupo. Queda a un grupo del umbral.",
PG010_AVENIDA_CASEROS_BARRACAS,Avenida Caseros / Barracas,envolvente publicada,60.0,R11,propia,si,e2,2,La Nacion (2017) y El Cronista (2021) describen la cuadra de Av. Caseros entre Defensa y Bolivar como polo gastronomico. Apertura debil por antiguedad.,
PG011_MICROCENTRO_CENTRO_RENOVADO,Microcentro y Centro,envolvente publicada,1084.0,R12,propia,no,e4,1,"Un solo grupo admisible, de nivel e4. La cobertura 2025-2026 del Centro es de vacancia, quiebras y reconversion, no de destino.",
PG012_AVENIDA_CORRIENTES,Avenida Corrientes,envolvente publicada,354.0,R02,propia,si,e2,3,La Nacion (ago-2026) trata el eje Corrientes como circuito de comida ligado al teatro; El Cronista y Perfil publican rutas de las pizzerias clasicas de la avenida.,
PG013_ABASTO,Abasto,envolvente publicada,373.0,R13,propia,no,ninguno,0,Buscado por seis rutas: no hay prensa ni guia que trate al Abasto como zona gastronomica. Lo hallado son locales sueltos y comunicacion oficial del GCBA.,
PG014_AVENIDA_BOEDO,Avenida Boedo,envolvente publicada,245.0,R14,propia,no,ninguno,0,"Buscado por cinco rutas: la cobertura de Boedo es tanguera y patrimonial, no gastronomica de zona.",
PG015_DEVOTO,Devoto,envolvente publicada,422.0,R15,propia,si,e2,3,"La Nacion (2025), Time Out (2025) y El Cronista tratan a Villa Devoto y Plaza Arenales como polo gastronomico y distrito del vino.",
PG016_CORREDOR_DOHO_DONADO_HOLMBERG,DoHo / Donado-Holmberg,envolvente publicada,121.0,R16,propia,si,e2,4,"Cuatro grupos independientes tratan al corredor Donado-Holmberg como polo gastronomico: La Nacion, Infobae, El Cronista y Time Out.",
PG017_VILLA_URQUIZA,Villa Urquiza,envolvente publicada,528.0,R17,propia,si,e2,2,"La Nacion (2025) trata a Villa Urquiza como barrio foodie. FRAGIL: dos de los tres grupos describen en realidad el corredor DoHo, que es R16.","CASO FRAGIL: si se exige que la evidencia recaiga sobre Triunvirato-Monroe y no sobre DoHo, queda un solo grupo y la via NO abre."
PG018_NUEVO_BAJO_EN_RETIRO_ESMERALDA_Y_PARAGUAY,Nuevo Bajo en Retiro / Esmeralda y Paraguay,envolvente publicada,318.0,R18,REVISAR,REVISAR,e2,0,La via E no abre con el recorte actual (esquina Esmeralda y Paraguay). PERO Z46 Retiro abre con 4 grupos y su cluster coreano cubre este punto: R18 puede ser el borde sur de un polo de Retiro.,"Z46 Retiro abre con 4 grupos y su cluster coreano-asiatico (Maipu/Esmeralda/Paraguay/M.T. de Alvear, alturas 800-990) cubre este punto. Decidir si R18 se absorbe en Z46."
PG019_AVENIDA_FEDERICO_LACROZE_DESDE_LIBERTADOR_,Federico Lacroze / Libertador a Cabildo,envolvente publicada,185.0,R19,propia,si,e2,5,"The New York Times (2024) y Time Out (2026) tratan la franja Chacarita-Colegiales como distrito gastronomico. El reconocimiento recae sobre Fraga y Dorrego, NO sobre Av. Federico Lacroze.",
PG020_PARQUE_SAAVEDRA_AVENIDA_GARCIA_DEL_RIO,Parque Saavedra / Garcia del Rio,envolvente publicada,61.0,R20,propia,si,e2,2,"La Nacion (2021, 2025 y 2026) e Infobae (2023) tratan al boulevard de Av. Garcia del Rio, entre Cabildo y Balbin, como polo gastronomico de Saavedra.",
PG021_CIRCUITO_GASTRONOMICO_DE_PATERNAL,Paternal,envolvente publicada,208.0,R21,propia,si,e2,2,"La Nacion (2024) describe el circuito gastronomico de Paternal en expansion y Time Out (2026) lo nombra. DESAJUSTE: la prensa situa el circuito sobre Belaustegui y Rojas, no sobre San Martin y Warnes.",
PG022_VILLA_PUEYRREDON_AVENIDA_SAN_MARTIN,Villa Pueyrredon / Av. San Martin,envolvente publicada,198.0,R22,propia,no,ninguno,0,"Buscado por cinco rutas, cero resultados admisibles: solo un medio sectorial y el portal de la propia comuna, que la via E excluye por no ser externo.",
PGF2_COLEGIALES,Colegiales,barrio administrativo,441.0,Z43,propia,si,e2,4,"Colegiales aparece en prensa nacional como corredor gastronomico desde 2023 (Polo Concepcion) y en 2026 Canal 26 lo integra a 'Chacagiales', el corredor Elcano-Jorge Newbery con Chacarita.",
PGF2_MONTSERRAT,Monserrat,barrio administrativo,913.0,Z47,propia,no,e4,1,"Monserrat concentra locales distinguidos (Tortoni, 36 Billares, El Imparcial, El Globo, La Puerto Rico) pero cada aparicion es por un local, nunca por el barrio. Frommer's, Fodor's y Lonely Planet no tienen seccion Monserrat.",
PGF2_RETIRO,Retiro,barrio administrativo,598.0,Z46,propia,si,e2,4,Time Out sostiene que Retiro construyo en una decada reputacion como polo gastronomico de la Ciudad; El Cronista lo describe como circuito etnico y La Nacion releva alli 14 cafes y restaurantes de cocinas del mundo.,
PGF2_FLORES,Flores,barrio administrativo,773.0,MULTIPLE,requiere_cruce,requiere_cruce,,,,"Flores tiene TRES zonas con resultados distintos: Z23 casco historico (no abre), Z24 Avellaneda-Ruperto Godoy (abre, 6 grupos) y Z39 Bajo Flores/Baek-ku (abre, 2). La fila de barrio no puede heredar una sola."
PGF2_FLORESTA,Floresta,barrio administrativo,282.0,Z25,propia,si,e2,2,La recuperacion de una casona de 1914 como restaurante (Casa Bogota) puso a Floresta en la prensa gastronomica nacional entre dic-2025 y mar-2026. Abre por el pelo: cuatro notas de apertura con el mismo angulo son un grupo.,
PGF2_PARQUE_PATRICIOS,Parque Patricios,barrio administrativo,278.0,Z40,propia,si,e2,2,"Perfil describe a Parque Patricios como polo gastronomico del sur porteno, con oferta crecida al calor del Distrito Tecnologico sobre el eje Av. Caseros.",
PGR_P021,P021 · Liniers,polo del borrador,262.0,Z32,heredada,si,e4,2,Prensa gastronomica en ingles trata al Mercado Andino como destino para cualquier cocinero o amante de las especias en Buenos Aires. Recogido tambien por guias de viaje anglofonas.,
PGR_P073,P073 · Palermo,polo del borrador,207.0,R01,heredada,si,e2,4,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,
PGR_P048,P048 · Colegiales,polo del borrador,172.0,Z43,heredada,si,e2,4,"Colegiales aparece en prensa nacional como corredor gastronomico desde 2023 (Polo Concepcion) y en 2026 Canal 26 lo integra a 'Chacagiales', el corredor Elcano-Jorge Newbery con Chacarita.",
PGR_P076,P076 · Recoleta,polo del borrador,154.0,R06,heredada,si,e2,2,La Nacion (2026) trata a Recoleta entre los barrios con mas movimiento gastronomico y El Cronista lo ubica entre los polos de la Ciudad; se suman food tours comerciales.,
PGR_P037,P037 · Villa Del Parque,polo del borrador,135.0,Z29,heredada,no,ninguno,0,Toda la cobertura de Yapa se concentra entre sep-2022 y may-2023 y no hay mencion posterior. Un patio bajo techo no acredita zona.,
PGR_P004,P004 · Villa Lugano,polo del borrador,132.0,S_LUGANO,heredada,no,ninguno,0,"Buscado por cinco rutas distintas en la ronda del sur, todas cero. El investigador advirtio no volver a buscarlo por web.",
PGR_P101+P099,P101+P099 · Balvanera,polo del borrador,175.0,Z36,heredada,si,e2,2,El eje civico Av. de Mayo-Callao concentra bares notables y una identidad espanola reconocida por prensa nacional; La Nacion incluye a El Tropezon (Callao 248) entre los 16 restaurantes iconicos de la Ciudad (jul-2026).,"Advertencia de Z36: el centro de gravedad del polo esta en Monserrat, Comuna 1, no en Balvanera."
