prioridad,documento,ubicacion,dice_hoy,debe_decir,por_que,efecto
1 — ANTES DE LA PRESENTACION,LAMINAS_PLAN_2026_POLOS_Y_CLUSTERS.md,Lamina 10,"'3 bares notables del catalogo oficial estan cerrados y siguen figurando en el padron vigente'. Lista Plaza Bar, La Buena Medida y The New Brighton.","SON DOS: Plaza Bar (Florida 1005, cerrado desde abril de 2017, nueve anos) y La Buena Medida (Suarez 101, cerrada desde octubre de 2025). QUITAR The New Brighton.",The New Brighton esta en quiebra decretada y SIGUE ATENDIENDO. Resena de mayo de 2026 posterior a la quiebra que describe servicio real con piano en vivo; ficha sin marca de cierre; Places OPERATIONAL. Ninguna de las siete coberturas afirma que dejo de atender.,"La lamina MEJORA: nueve anos en un catalogo firmado el 03/08/2026 ya es el hallazgo, y ahora resiste que alguien en la sala diga 'pero comi ahi'."
2,EDICION_TECNICA_FASE_DOCUMENTAL.md,Seccion 40 · tabla de los tres cerrados,"Tres cerrados en el padron vigente, con The New Brighton en marzo de 2026 (quiebra).","Dos cerrados. The New Brighton pasa a en_riesgo, la misma categoria que la Esquina Homero Manzi: opera con contingencia judicial declarada (Juzgado Nac. 1a Inst. Comercial N 3, 18/03/2026).",Ver FD-20. El cierre fue una inferencia mia sobre un titular.,Se suma FD-20 al catalogo de fuentes con defecto.
3,EDICION_TECNICA_FASE_DOCUMENTAL.md,Seccion 41 · Places,La seccion describe los tres tests de calibracion como pendientes de correr.,Reescribir con resultado: de dos cierres reales Places detecta uno; piso de deteccion entre 280 y 3285 dias; los dos tests de reapertura pasan; v2b acredita cierre cuando Places lo afirma y NO acredita nada cuando calla; los 70 OPERATIONAL confirman cero.,"La corrida entro completa, 71 de 71, y produjo la medicion que se compro.",Se suma FD-21. Y queda la hipotesis pre-registrada lugar-vs-negocio con su escalera de cuatro casos.
4,EDICION_TECNICA_FASE_DOCUMENTAL.md · y ATLAS_V3 seccion V,Seccion 33 · Flores · y Atlas V3 'lo que se perdio','La Farmacia cae ocho cuadras fuera del poligono'.,405 metros fuera del perimetro corregido de Z23.,"El repositorio construyo el perimetro corregido (1.270 m de eje, 45,2 ha, 154 locales) y midio la distancia. 'Ocho cuadras' era una estimacion mia sobre el perimetro anterior, que media cero.",El veredicto de Z23 no cambia: sigue en PENDIENTE.
5 — CAMBIA UNA CONCLUSION,EDICION_TECNICA_FASE_DOCUMENTAL.md · y ATLAS_V3 seccion II,Seccion 51 · cola de R20 · y 'Una regla de continuidad que este atlas se impuso',"'un residuo honesto que se conserva: 24,7 ha que la evidencia documental no cubre'. Enmarcado como cuestion de prolijidad.","24,8 ha, que son EL 41 % DE LA SUPERFICIE Y EL 53 % DE LOS LOCALES de R20. Mas de la mitad de los establecimientos de la referencia estan en la parte que la evidencia documental no cubre.","El repositorio lo midio. Mi palabra 'residuo' es falsa: no es una cola, es la mayoria del contenido.","LA RECOMENDACION NO CAMBIA —se conserva, porque las 22 solo se amplian— PERO LA FICHA NO PUEDE LLAMARLO RESIDUO. Tiene que decir que el eje documentado cubre el 59 % de la superficie y el 47 % de los locales de lo publicado. Y conviene salir a buscarle evidencia a ese tramo: necesito de que calles se trata."
6,EDICION_TECNICA_FASE_DOCUMENTAL.md,Seccion 31 · tabla de la via B,via B por zona: abre 33 de 94.,"abre 39 de 94, despues de aplicar los cinco veredictos de la tanda A.",Ronda 8.,"Hay que re-reportar la fila entera (abre / pendiente / no abre), no solo el 33. Y sigue abierto el pendiente de la seccion 31: el reparto daba 27 + 23 = 50 sobre 51 filas."
7,EDICION_TECNICA_FASE_DOCUMENTAL.md,Seccion 51 · Chacagiales,Presentado como decision pendiente con tres salidas.,"RESUELTO: fusionado en sistema de subpolos, 495,8 ha, 891 locales, 0,0 m2 perdidos de los dos publicados, el solape de 60,4 ha desaparece. CON LA SALVEDAD de que 158,1 ha y 310 locales entraron a escala de barrio porque Z43 no tiene perimetro.",Ronda 8.,"Ver COLEGIALES_NO_ES_UNA_COSA.md. Y R08 n R21 = 49,7 ha queda como el mayor solape abierto."
8,EDICION_TECNICA_FASE_DOCUMENTAL.md,Seccion 42 · catalogo FD,"'Quince defectos documentados, FD-01 a FD-15'.","PENDIENTE DE RECONCILIAR. El repositorio informa que la capa cargada paso de 5 a 9 al sumar FD-16 a FD-19. Si estaban los quince, deberia haber pasado de 15 a 19.",Discrepancia entre lo que documente y lo que esta cargado: faltarian seis.,Es R9 aplicado a mi propio catalogo. Pedir el listado de ids cargados y cruzarlo.
9,diccionario_nombres_uso_corriente.csv,alta,—,"Plaza Flores = PLAZA PUEYRREDON en la capa oficial. El repositorio la verifico por posicion (21 m del eje de Z23), no por nombre.",Es la trampa del nombre aplicada a un espacio publico y no a un local. Misma familia que 'Bar Bar O'.,Va al diccionario para que la proxima busqueda por nombre no falle en silencio.
10 — PREGUNTA ABIERTA,matriz de 94,PGR_P004 · Villa Lugano,Abria via C por Yiyo el Zeneize tipado como mercado.,"Pierde la via C con el retipado a bodegon con registro_oficial = ley_especifica (Ley CABA 6.533, que declara patrimonio su carta gastronomica).","Ronda 8, correccion aplicada.","HAY QUE VERIFICAR SI LA FILA SIGUE ABRIENDO POR OTRA VIA. Si la via C era la unica, Villa Lugano se cae del conjunto y eso es una baja que hay que argumentar, no dejar pasar en silencio."
