id,nombre,categoria,tipo_referencia,gestion,barrio,comuna,motivo,nivel_respaldo_documental,observacion_ejecutiva
MG-0005,Mercado Soho,relevante_no_contabilizado,food_hall,privada,Palermo,14,senal de cierre en Google y falta de actividad reciente verificable,a_validar,Espacio gastronomico relevante; vuelve al conteo si se valida actividad
MG-0014,Mercat Caballito,relevante_no_contabilizado,food_hall,privada,Caballito,6,senal de cierre en Google; en fuente oficial solo figura como mencion de evento,a_validar,Espacio gastronomico relevante; requiere validacion
MG-0009,El Galpon,relevante_no_contabilizado,mercado_de_productores,privada,Chacarita,15,match de Google inconsistente y situacion no clara,a_validar,Mercado de productores relevante; requiere validacion
NC-0001,Mercado de los Carruajes,cerrado_documentado,food_hall,mixta,Retiro,1,cerro definitivamente en abril 2025; se reconvierte a eventos,alto_documental,Antecedente relevante (ex food hall gourmet)
NC-0002,Barrio Chino,distrito_gastronomico,distrito,mixta,Belgrano,13,distrito comercial con oferta gastronomica; no es un mercado unico,medio_documental,Zona gastronomica relevante; no es un mercado
NC-0003,Los Arcos del Rosedal,distrito_gastronomico,polo,mixta,Palermo,14,polo de restaurantes independientes; no es un mercado unico,medio_documental,Polo gastronomico; no es un mercado
NC-0004,CAM 27 Mercado Pompeya,abasto_no_gastronomico,mercado_barrial_alimentario,publica,Nueva Pompeya,4,mercado municipal de abasto sin polo gastronomico central,alto_documental,Abasto barrial; fuera del conteo gastronomico
NC-0005,CAM 116 Villa Pueyrredon,abasto_no_gastronomico,mercado_barrial_alimentario,publica,Villa Pueyrredon,12,mercado municipal de abasto con rubros no alimentarios,alto_documental,Abasto barrial; fuera del conteo gastronomico
NC-0006,Mercado Comunitario Primera Junta,abasto_no_gastronomico,mercado_barrial_alimentario,publica,Caballito,6,centro de abastecimiento municipal sin polo gastronomico,alto_documental,Abasto barrial; distinto del Mercado del Progreso
NC-0007,Mercado de las Pulgas,fuera_de_alcance,mercado_de_antiguedades,publica,Chacarita,15,eje antiguedades y usados; no gastronomico,alto_documental,Incluye el predio Mercado M1; fuera de alcance
NC-0008,Distrito Arcos,fuera_de_alcance,centro_comercial_outlet,privada,Palermo,14,premium outlet; gastronomia accesoria,medio_documental,Outlet; fuera de alcance
