establecimiento,direccion,barrio,estado,fecha_del_cierre,sigue_en_el_catalogo,orden_en_1225_26,alojado_dentro_de,evidencia,gravedad,que_hacer
Plaza Bar,Florida 1005,Retiro,cerrado,2017-04-29,SI,84,Hotel (ex Plaza / ex Marriott Plaza),"El hotel cerro el 29/04/2017; en 2021 se remato el contenido; en 2022 se demolio la ampliacion de 1948. Clarin/Viva 15/02/2025: el bar 'espera ansioso su reapertura, programada para principios de 2028'. Tango y Milonga 02/01/2025: se excavan cinco subsuelos, se rescataran el grill y el bar. Ausencia significativa: el recorrido Calle Florida del 04/02/2026 recorre la cuadra entera y no lo incluye.",MAXIMA — NUEVE ANOS,Etiquetar cerrado_con_reapertura_anunciada (2028). El bar historico se conserva y se reinstalara: no es cerrado definitivo.
La Buena Medida,Suarez 101 esq. Caboto,La Boca,cerrado,2025-10 (difundido 02-03/12/2025),SI,61,local a la calle,"Canal 26 03/12/2025: 'cerro un historico bodegon de 95 anos y La Boca perdio un Bar Notable'; causa: falta de renovacion del alquiler e imposibilidad de afrontar costos. BAE Negocios 02/12/2025 corrobora (cuerpo devolvio 403, titulo indexado). Antecedente: ya habia cerrado antes y reabierto en septiembre de 2021; el de 2025 es el cierre definitivo.",MAXIMA — EL MAS GRAVE DE TODOS,Dar de baja. Es peor que el Plaza Bar en un sentido: paso por una consolidacion completa NUEVE MESES despues del cierre y salio intacta.
The New Brighton,Sarmiento 645,San Nicolas,cerrado,2026-03-18,SI,88,local a la calle,Declarado en quiebra por la Justicia el 18/03/2026 tras mas de un siglo.,ALTA — CINCO MESES,Dar de baja.
La Esquina de Anibal Troilo,Paraguay 1500,Recoleta,cerrado (evidencia parcial),"indeterminada, entre 2024 y 2026",NO — dado de baja en 1225/26,,local a la calle,"Es la UNICA baja del catalogo entre el anexo 3758/24 y el consolidado 1225/26, y las bajas de este catalogo han seguido historicamente al cierre (Castelar, Iberia). Foursquare lo rotula 'Ahora cerrado' (titulo indexado; la pagina bloquea por robots). La ultima pieza que lo describe operativo es de marzo de 2022. NO SE ENCONTRO NOTA DE CIERRE.",MEDIA,"Senalado, no cerrado en firme. La baja del catalogo es indicio, no prueba: hay bajas que no corresponden a cierres."
Esquina Homero Manzi,Av. San Juan 3601,Boedo,en_riesgo,sin cierre consumado al 07/08/2026,SI,55,local a la calle con sala de espectaculos propia,"Infobae 07/05/2026: condena laboral de $220 millones por juicio de dos bailarines de tango. El administrador Gabriel Perez: 'es algo que, aparte de ser injusto, es impagable hoy en dia', y 'despues de pandemia, nunca mas se volvio a recuperar'. Corroboran Pagina/12 08/05/2026 ('al borde de la quiebra y el cierre'), La Nacion 07/05/2026 y Canal 26 06/05/2026.",ALTA — VIGILANCIA,Marcar en_riesgo con fecha. Es el hito mas visible de R14 Av. Boedo. Revisar en 90 dias.
La Academia,Av. Callao 368 -> MONTEVIDEO 341,Balvanera,reabierto con mudanza,cierre en Callao 368 en 2025; reapertura en Montevideo 341 el 19/06/2025,"SI, con la direccion nueva en 1225/26",,local a la calle,"Clarin y Infobae 27/07/2025: 'el bar La Academia mudo sus juegos y sus fantasmas al local de un restaurante historico'. El local de Montevideo 341 es el de Pippo, cerrado en agosto de 2020. El anexo 3758/24 la publicaba en Av. Callao 368 CON EL LOCAL YA VACIO.",RESUELTA — pero corrige nuestro dato,"CAMBIAR LA DIRECCION A MONTEVIDEO 341. Esto reinterpreta el 'error de comuna' del catalogo: no era solo georreferencia, la ficha estaba en una direccion muerta."
Clasica y Moderna,Av. Callao 892,"Recoleta (el catalogo dice San Nicolas, que es incorrecto)",reabierto,cerro en febrero de 2019; reabrio en diciembre de 2023,SI,,local a la calle,"Wikipedia con citas: vendida en febrero de 2019, reabierta en diciembre de 2023 tras inversion. Cafes Notables OK 06/05/2023 la incluia entre las que el listado sostenia cerradas: 'el listado mantiene establecimientos cerrados desde antes, incluso, de la pandemia, como Castelar, Iberia y Clasica y Moderna'.","RESUELTA POR REAPERTURA, NO POR AUDITORIA","SEGUNDO CASO PLAZA BAR: estuvo publicada CUATRO ANOS mientras estaba cerrada, y se 'corrigio' porque volvio a abrir. Ademas el 1225/26 la ubica en San Nicolas: Callao 892 no es San Nicolas."
Cafe Thibon,Montevideo 723,San Nicolas,reabierto,anuncio de cierre en enero de 2023; nueva gestion operando desde 2024,SI,32,local a la calle,"Pura Ciudad 11/01/2023: Federico Thibon, 'el cafe ha llegado a su fin, la dinastia Thibon ha llegado a su fin'; la familia ofrecia en venta el molinillo y la tostadora y buscaba alquilar el local. Vinomanos 03/05/2024: lo toma Jorge Crespo con su hija Veronica, duenos de El Gato Negro.",RESUELTA,Sin accion. Util como precedente de continuidad con cambio de gestion.
El Palacio de la Papa Frita,Av. Corrientes 1612,San Nicolas,cerrado,2026-03-02,"NO — no figura en 33/23, ni en 3758/24, ni en 1225/26",,local a la calle,"30 Dias de Noticias 05/03/2026: persianas metalicas colocadas el lunes a la 1 de la madrugada, el personal se entero el martes. Declarado Bar Notable en 2015, 74 anos de actividad. Alquiler dolarizado que se duplico a la renovacion: 'era imposible afrontar el alquiler'. Anuncian reapertura en Parana 350.",REVELADOR,"Ya habia sido desafectado ANTES de cerrar, y la desafectacion tampoco se documento. Muestra que el catalogo tampoco explica sus bajas."
Confiteria del Hotel Castelar,Av. de Mayo 1148/50/52,Monserrat,cerrado,2020-05,NO — baja en 3758/24,,Hotel Castelar,"El hotel cerro en mayo de 2020 y sigue cerrado y en venta por USD 7 millones, 9.584 m2, con proyecto de subdividir en ~169 unidades.","CORREGIDA, con cuatro anos de retraso",Sin accion.
Bar Iberia,Av. de Mayo 1196,Monserrat,reabierto,cerro marzo 2020; reabrio junio 2024,SI — reincorporado en 1225/26,,local a la calle,La Nacion / Revista Lugares 06/01/2025: reporteo propio con entrevista a Maxi Longo. Dado de baja en 3758/24 y reincorporado en 1225/26.,RESUELTA,"ES EL UNICO CASO DONDE EL CATALOGO SIGUIO EL CICLO COMPLETO: alta, baja por cierre, alta por reapertura."
