polo_id,nombre_ficha,origen,comunas,barrios,estado,n_vias,morfologia,perimetro_textual,anclaje_normativo,via_A,via_B,via_C,via_D,via_E,via_F,via_E_texto_publicable,n_grupos_E,n_locales,ha,hitos_conocidos,alerta_de_vigencia,nota_de_delimitacion,decisiones_aplicadas,que_falta_para_la_ficha
R01,Palermo,referencia publicada,14,Palermo,PUBLICADO,4,sistema de subpolos,"Se publica con el perimetro vigente. Subzonas identificadas: P091 Soho, P078 Hollywood, P065 Las Canitas, P073 Botanico, P087 Pacifico, P092 Villa Freud.",sin anclaje normativo gastronomico,abre,abre,abre (Mercado Bonpland),no abre,ABRE,no abre,Infobae (2023) y Forbes Espana (2024) tratan a Palermo y su borde con Chacarita como epicentro gastronomico; El Cronista lo ubica primero entre los polos de la Ciudad.,4,1358,271.29,"Don Julio, Crizia, CoChinChina, A Fuego Fuerte, Mengano (Michelin) · Varela Varelita (Av. Scalabrini Ortiz 2102, Bar Notable, VERIFICADO ABIERTO v3 25/06/2026) · Cafe Cortazar (J. A. Cabrera 3797, alta 2026)",Varela Varelita verificado. El resto de los Michelin sin verificacion individual.,"Es seis polos, no uno partido en tres. La via E de R01 se apoya en food tours que recaen especificamente sobre Las Canitas.",18 (registro_oficial),Confirmar si las seis subzonas se publican como fichas separadas o como una con subzonas.
R02,Avenida Corrientes,referencia publicada,1 y 3,"San Nicolas, Balvanera",PUBLICADO,4,corredor,Eje Av. Corrientes. Tramo a precisar entre el Obelisco y Callao/Pueyrredon.,sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE,abre,La Nacion (ago-2026) trata el eje Corrientes como circuito de comida ligado al teatro; El Cronista y Perfil publican rutas de las pizzerias clasicas de la avenida.,3,354,49.67,"Los Galgos (Callao 501, VERIFICADO ABIERTO 02/08/2026) · La Giralda · El Gato Negro · Celta Bar · Bar Lavalle · La Academia (SE MUDO A MONTEVIDEO 341) · La Opera (Av. Corrientes 1799, alta 2026)","LA ACADEMIA SE MUDO: cerro en Callao 368 y reabrio el 19/06/2025 en Montevideo 341, el viejo local de Pippo. El anexo anterior la publicaba en una direccion muerta.",,20 (doble numeracion),Precisar el tramo del eje. Verificar los notables restantes.
R03,San Telmo,referencia publicada,1,San Telmo,PUBLICADO,2,nucleo compacto,Perimetro vigente. Nucleo en el entorno de Plaza Dorrego y Defensa.,APH1 San Telmo - Monserrat,no abre,abre,no abre,no abre,ABRE,no abre,"La Nacion (2026), El Cronista (2021, act. 2025) y Time Out (2025) tratan a San Telmo como circuito gastronomico; operadores internacionales venden food tours de la zona de forma sostenida.",2 (era 3),71,25.37,"Bar El Federal (Carlos Calvo 595, variante 599, VERIFICADO ABIERTO v3 21/07/2026) · Bar Plaza Dorrego · El Hipopotamo · Cafe Rivas (Estados Unidos 302, alta 2026) · Mercado de San Telmo (64 m FUERA del poligono)",El Federal verificado a 17 dias.,FILA EXPUESTA POR LOS DOS LADOS: la via E bajo de 3 a 2 grupos porque El Cronista cayo por re-sellado (FD-01). Abre por el minimo. Y la via A NO abre: 71 locales en 25 ha.,20 (El Federal 595),"Decidir si el Mercado de San Telmo, a 64 m del poligono, entra por ampliacion."
R04,Puerto Madero,referencia publicada,1,Puerto Madero,PUBLICADO,4,sistema de subpolos,"Perimetro vigente, diques.",sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE (DEBIL),abre,Clarin Gourmet (2023) y El Cronista (2021) tratan a Puerto Madero como polo gastronomico. Toda la evidencia de nivel zona es anterior a 2024.,2,354,314.54,Cabana Las Lilas · La Cabana · Estilo Campo · El Mercado (Faena),ALERTA DE ZONA: ninguna pieza de nivel zona posterior a 2023. Bahia Madero y Sottovoce figuran cerrados en la propia fuente de 2023.,Es la zona con peor relacion locales/superficie de las 22: 354 locales en 314 ha.,,Reverificar los cuatro hitos: ninguno tiene verificacion individual.
R05,Belgrano,referencia publicada,13,Belgrano,PUBLICADO,5,nucleo compacto con enclave,Perimetro vigente. Contiene el enclave E02 Barrio Chino.,sin anclaje normativo gastronomico,abre,abre,abre (Mercado de Belgrano),abre (E02 Barrio Chino),ABRE,no abre,La Nacion (2023) y Perfil (2026) tratan al Barrio Chino de Arribenos como polo gastronomico consolidado; Ambito (2025) cubre Belgrano como zona para comer.,3,343,39.65,"Casa Watson (Vuelta de Obligado 2072, Bar Notable, VERIFICADO ABIERTO v3 05/07/2026) · Casa Burgio (Av. Cabildo 2477, Pizzeria Emblematica, VERIFICADO ABIERTO v2 07/08/2026) · Sucre (Michelin) · Mas 51 establecimientos del Barrio Chino en enclaves_establecimientos_E02_E07.csv",Casa Watson y Casa Burgio verificados. Casa Burgio tiene continuidad_ininterrumpida = no: cerro en 2021-2022 y reabrio.,"ENCLAVE E02: nucleo de DOS CUADRAS (Arribenos entre Juramento y Olazabal, 255,2 m medidos) MAS corredor a lo largo del viaducto del Mitre, CASI PARALELO (19,1 grados). NO es un radio de cuatro manzanas: las dos formas capturan las mismas 45 de 49 puertas y el radio gasta 2,7 veces mas superficie.",16 (nucleo mas corredor),"Sumar Pampa Cafe (La Pampa 1117) y Sucre (Sucre 676) al inventario: son el residuo de Z45 Belgrano R, que no entra como zona autonoma."
R06,Recoleta,referencia publicada,2,Recoleta,PUBLICADO,3,nucleo compacto,Perimetro vigente.,sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE,no abre,La Nacion (2026) trata a Recoleta entre los barrios con mas movimiento gastronomico y El Cronista lo ubica entre los polos de la Ciudad; se suman food tours comerciales.,2,714,140.52,"Bar del Alvear Palace Hotel · La Biela · Casa Veltri y Presencia (Michelin) · Aramburu · Fervor · Josephina's Cafe (Guido 1532, alta 2026)",Precedente de vaciamiento documentado por la propia La Nacion: 'la calle fantasma que perdio restaurantes iconicos'. Ninguno de los hitos verificado individualmente.,,,"Verificar los hitos. El Bar del Alvear esta alojado dentro del hotel: contenedor operativo, verificado."
R07,Costanera Norte,referencia publicada,13,Nunez,PUBLICADO,4,sistema de subpolos,Perimetro vigente.,sin anclaje normativo gastronomico,abre,abre,abre (Patio Costanera Norte),no abre,NO ABRE,abre,no corresponde: la via no abre,1,67,38.5,Happening · Patio Costanera Norte,"ALERTA ALTA: Los Anos Locos, Los Platitos 57, A Los Amigos y Look figuran CERRADOS; Rodizio DEMOLIDO.","Queda a UN grupo del umbral de via E: La Nacion publico dos notas en 2025 pero del mismo medio, y eso es un grupo.",,Reverificar el Patio Costanera Norte y Happening: son lo unico que sostiene la zona.
R08,Villa Crespo,referencia publicada,15,Villa Crespo,PUBLICADO,3,nucleo compacto,"Perimetro vigente. Ejes: Loyola, Thames, Aguirre.",sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE,no abre,"La Nacion (2025) y El Cronista (2025) tratan a Villa Crespo como polo gastronomico consolidado sobre Loyola, Thames y Aguirre.",2,823,335.46,"San Bernardo (Bar Notable) · Alcanfor (Aguirre 949) y Horta (Aguirre 1080), recomendados Michelin · Julia · Trescha · Fico · Han",Ninguno verificado individualmente.,"Los recomendados Michelin son VIA B, no via E: Michelin distingue restaurantes, no barrios.",18,"Verificar San Bernardo, que es el unico Notable."
R09,Chacarita,referencia publicada,15,Chacarita,PUBLICADO,3,sucesion de centralidades,"Perimetro vigente. Se pisa con Z43 Colegiales via el corredor 'Chacagiales' (Elcano, Alvarez Thomas, Forest, Jorge Newbery).",sin anclaje normativo gastronomico,abre,abre,no abre,no abre,ABRE,no abre,The New York Times (2024) dedica una nota al barrio como destino; La Nacion (2024) publica reporteo propio y el ranking de Time Out (2026) nombra el eje Chacarita-Colegiales.,3,202,94.81,Cafe Palacio (Av. F. Lacroze 3901) — HOY SE LLAMA MUSEO FOTOGRAFICO SIMIK · Anchoita · Albamonte Ristorante,CAMBIO DE DENOMINACION en la misma direccion: Cafe Palacio pasa a Museo Fotografico Simik en el consolidado 1225/26.,"La nota del NYT fue replicada por Infobae, La Nacion sociedad, Perfil, Diario Con Vos y Cucinare: es UN grupo, no cinco.",,Resolver el solapamiento con Z43 Colegiales y con Z44 Villa Ortuzar (La Mezzetta esta en el borde).
R10,Caballito,referencia publicada,6,Caballito,PUBLICADO,4,sistema de subpolos,Perimetro vigente. Subzona premium sobre Av. Pedro Goyena.,sin anclaje normativo gastronomico,abre,abre,abre (Mercado del Progreso),no abre,ABRE,no abre,El Cronista (2021) describe el polo premium de Av. Pedro Goyena y La Nacion publico un recorrido por esa avenida. Sin cobertura nacional de la zona posterior a 2023.,2,508,225.36,"Mercado del Progreso · Confiteria El Greco (Av. Rivadavia 5353, ALTA 2026) · Plaza Cafe (Av. Rivadavia 4732, ALTA 2026)",La afirmacion 'sin vacancia de locales' es de 2021 y previa a la caida del consumo: no es sostenible hoy sin verificacion.,DOS ALTAS DE AGOSTO DE 2026 EN ESTA ZONA. Y una discrepancia sin resolver: El Greco y Josephina's figuraban como altas de 1225/26 pero ya estaban cargados citando 3758/24.,,Resolver la discrepancia de El Greco. Verificar el Mercado del Progreso.
