id,nombre,tipo_primario,es_itinerante,perfil_productores,gestion,barrio,comuna,estado_operativo,horario_resumido,dias_apertura,publico_objetivo,atractivo_principal,nivel_respaldo_documental,cantidad_tipos_fuente,observacion_ejecutiva
MG-0001,Mercado de San Telmo,mercado_historico,no,no,mixta,San Telmo,1,activo_identificado,9 a 22 (a confirmar),Lunes a Domingo,turistico y barrial,mercado historico de 1897,alto_documental,4,Icono turistico; horarios con fuentes divergentes
MG-0002,Mercado de Belgrano,mercado_historico,no,no,mixta,Belgrano,13,activo_identificado,frescos 8:30-20; gastronomia 11-24,Lunes a Domingo,barrial y turistico,mercado de 1891 renovado,alto_documental,4,Renovado con food court; respaldo interno DGDGAS
MG-0013,Mercado San Nicolas,mercado_historico,no,no,mixta,San Nicolas,1,activo_identificado,mercado 8-18; gastronomia 11-24,Lunes a Sabado,barrial,mercado centenario renovado,alto_documental,4,Plaza de comidas en Microcentro
MG-0003,Mercado del Progreso,mercado_barrial_alimentario,no,no,privada,Caballito,6,activo_identificado,Lun-Vie 7:30-13 y 17-20; Sab hasta 14,Lunes a Sabado,barrial,mercado de 1889 sitio de interes cultural,alto_documental,5,Clasico barrial de abasto con gastronomia
MG-0004,Mercat Villa Crespo,food_hall,no,no,privada,Villa Crespo,15,activo_identificado,12 a 23 (Vie-Sab hasta 01),Martes a Domingo,mixto,food hall de diseno,alto_documental,3,Food hall moderno con impronta cultural
MG-0017,Gourmand Food Hall,food_hall,no,no,privada,Retiro,1,activo_identificado,Dom-Jue 10-23; Vie-Sab 10-1,Todos los dias,turistico y medio-alto,primer food hall del pais,alto_documental,3,Incorporado tras validacion V2.4 (Patio Bullrich)
MG-0006,Patio de los Lecheros,patio_gastronomico,no,no,publica,Caballito,6,activo_identificado,9 a 24 (Vie-Sab hasta 3),Todos los dias,barrial y turistico,antiguo anden ferroviario,alto_documental,3,Polo gastronomico-cultural gratuito del GCBA
MG-0010,Smart Plaza Parque Patricios,patio_gastronomico,no,no,publica,Parque Patricios,4,activo_identificado,11 a 24 (Vie-Sab hasta 1),Todos los dias,barrial,primera plaza de comidas tecnologica,alto_documental,3,Patio gastronomico del sur
MG-0011,Patio Costanera Norte,patio_gastronomico,no,no,mixta,Costanera Norte,13,activo_identificado,Mie 12-19; Jue-Sab 12-24; Dom 12-21,Miercoles a Domingo,turistico,vistas al rio y aire libre,medio_documental,2,Patio gastronomico junto al rio
MG-0012,Patio Gastronomico Rodrigo Bueno,patio_gastronomico,no,no,publica,Puerto Madero,1,activo_identificado,11 a 23,Viernes a Domingo,barrial,emprendimientos del barrio,alto_documental,3,Desarrollo local junto a la Reserva
MG-0008,Mercado Bonpland,mercado_de_productores,no,si,mixta,Palermo,14,activo_identificado,10 a 19/20,Martes Miercoles Viernes y Sabado,barrial y consumo consciente,mercado cooperativo,alto_documental,4,Referente de economia solidaria; respaldo interno DGDGAS
MG-0016,Sabe la Tierra,mercado_de_productores,si,si,privada,itinerante,0,activo_identificado,Fin de semana (por sede),Fines de semana,consumo consciente,feria de productores organicos,alto_documental,4,Itinerante; productores organicos
MG-0015,Buenos Aires Market,feria_gastronomica,si,si,privada,itinerante,0,activo_identificado,Fin de semana (por sede),Fines de semana,barrial y turistico,feria itinerante de productores,alto_documental,3,Itinerante; alimentos saludables
