id,archivo_fuente,pagina,elemento,imagen_o_mapa_utilizado,texto_asociado,metrica_asociada,script_generador,dependencia_externa,reemplazo_esperado
PH-01,docs/polos_gastro/experimentos/fase25_politica_e_integracion_editorial_v1/contenido_fase25_politica_experimental_v1.yaml (mapa_general.asset),3,Mapa general a pagina completa,global_mapa_fase25.png (copia sanitizada de outputs/polos_gastro/fase25_microajustes_finales_oficina/assets),mapa_general.lectura + mapa_general.nota_pie,ninguna numerica; leyenda de 4 categorias,scripts/polos_gastro/experimentos/fase25_politica_e_integracion_editorial_v1/generar_fase25_politica_experimental_v1.py,capas de presentacion V3 (Codex),mapa general V3 con Belgrano/Recoleta como polos y Costanera multiparte de 4 componentes; leyenda redisenada
PH-02,idem (palermo.asset),4,Mapa Palermo,mapa_fase25_palermo_las_canitas.png (placeholder saneado),palermo.lectura + chip estado_lectura,ninguna,idem PH-01,capa escalado Palermo Soho (PEN-04; opcional; fuera de alcance V3),asset actual se conserva en V3; sustitucion futura solo si Diego aprueba PEN-04
PH-03,idem (corrientes.asset),5,Mapa Corrientes con Abasto asociado,mapa_fase25_corrientes_abasto.png (placeholder),corrientes.lectura + corrientes.abasto,ninguna publicada (cobertura 40.08 v2 = no publicable),idem PH-01,corredor v2.1 (DEC-01/DEC-20/PEN-03; cola previa independiente de V3),corredor continuo con Abasto en trama diferenciada fuera de traza
PH-04,idem (san_telmo_puerto_madero.asset_san_telmo),6,Mapa San Telmo,mapa_fase25_san_telmo.png (placeholder),san_telmo_puerto_madero.san_telmo,ninguna publicada (cobertura 65.0 v2 = no publicable),idem PH-01,capa v2.1 nucleo + eje Defensa jerarquizado (cola previa),nucleo pleno como figura principal y eje secundario
PH-05,idem (san_telmo_puerto_madero.asset_puerto),6,Mapa Puerto Madero,mapa_fase25_puerto_madero.png (placeholder),san_telmo_puerto_madero.puerto (incluye frase caduca de cartografia en elaboracion),ninguna publicada (cobertura 79.93 v2 = no publicable),idem PH-01,capa presentacion PM_PRES_C v2.1 (NO los ~80 segmentos analiticos; cola previa),frente doble simplificado; retirar frase en elaboracion al integrar
PH-06,idem (belgrano.asset),7,Mapa Belgrano,mapa_fase25_belgrano.png (placeholder con 3 areas de lectura equivalentes),belgrano.lectura + belgrano.observacion + chip estado_lectura,shortlist tecnica v2.1 BEL_RV2_N02/N03/N05/N06 (interna; no publicada),idem PH-01,corrida V3 Belgrano + test de correspondencia post hoc + firma DH-05 (nombres),mapa V3 con centralidad principal Barrio Chino-Belgrano C-Barrancas-Pje. Echeverria; eje interno Cabildo-Juramento; Bajo Belgrano diferenciado; Belgrano R solo si el analisis lo respalda
PH-07,idem (costanera; sin campo asset),8,Composicion Costanera (hoy 3 paneles de texto sin mapa; mitad inferior vacia),(sin asset),costanera.lectura + costanera.exploratoria + costanera.territorio + costanera.seguimiento + chip estado_lectura,v2.1: 72 conciliados (71+1); CN_C02 = 11 registros 100% Places; dependencia externa 93.1% (v2; solo metodo),idem PH-01,corrida V3 Costanera (4 componentes con CN_C02; vacios preservados),mapa multiparte en la mitad inferior + paneles reescritos con lenguaje DEC-10
PH-08,(sin archivo actual; elemento inexistente),7 u otra (a decidir),Seccion/pagina Recoleta,(sin asset; Recoleta solo aparece como zona en observacion en p.7),belgrano.observacion (mencion obsoleta),v2.1 interno: 9 nucleos HDBSCAN; cobertura 78.23%; 47.33% Places (no publicables como estan),idem PH-01,corrida V3 Recoleta (comparacion unidad-general vs maximo 2 subzonas),mapa y lectura Recoleta como polo unico; Junin-Vicente Lopez-Cementerio y Alvear-Posadas como referencias; Callao-9 de Julio y Bellas Artes como transiciones
PH-09,idem PH-01 (campos estado_lectura de secciones 4-8),4-8,Chips de estado de lectura (tipo/madurez),(elemento tipografico del generador),estado_lectura por seccion,taxonomia SISTEMA_TIPO_Y_MADUREZ_TERRITORIAL.md,idem PH-01,decision editorial post-V3 sobre estados nuevos,chips actualizados; "lectura exploratoria" deja de aplicar a Costanera (DEC-10)
PH-10,idem PH-01 (sintesis.encuadre),2,Cifras editoriales 22 zonas / 5 seleccionadas,(texto),sintesis.encuadre,zonas_referencia_informe=22; zonas_seleccionadas_detalle=5 (kpis_lock_preliminar.json),idem PH-01,decision editorial de arquitectura V3,encuadre actualizado si Recoleta y Costanera pasan al detalle
PH-11,docs/polos_gastro/experimentos/fase25_politica_e_integracion_editorial_v1/kpis_lock_preliminar.json,global,Metadatos de trazabilidad de capas,(no aplica),pdf_subject en meta,version_capas y hashes (hoy null),idem PH-01,manifest V3 de Codex con hashes SHA-256,bloque pendiente_de_codex completado y citable en QA
