establecimiento,direccion,barrio,registro,estaba_en_nuestra_base,nota
Bar El Colonial,Av. Belgrano 599,Monserrat,"Bar Notable, anexo 1225/26",NO,Alta nueva a la capa de hitos.
Bar Seddon,Defensa 695,Monserrat (el catalogo) / San Telmo (la CPPHC),"Bar Notable + Sitio de Interes Cultural, norma 287/00, ano 2000",NO,DISCREPANCIA DE BARRIO entre el catalogo y la CPPHC. Resolver con USIG.
Cabildo de Buenos Aires,Peru 86,Monserrat,"Bar Notable, anexo 1225/26",NO,Bar alojado dentro del Cabildo. Vigencia NO verificada.
El Querandi,Peru 302,Monserrat,"Bar Notable, anexo 1225/26",NO,Tanguerria con cena-show: depende del turismo.
London City,Av. de Mayo 599,Monserrat,"Bar Notable, anexo 1225/26",NO,"Sitio oficial activo con direccion, sin horarios ni aviso de cierre. Presumido abierto, NO verificado. Es ademas una de las diez sedes reales del Tango BA 2026 segun el GCBA."
Gran Cafe Gardel,ochava Av. Entre Rios e Independencia,Monserrat (Infobae y Wikipedia) / disputado con San Cristobal,"1935, 91 anos",NO,"VERIFICADO ABIERTO a enero de 2025 (Infobae 05/01/2025, con reporteo)."
Centro Asturiano de Buenos Aires,Solis 475,Monserrat,casa regional con restaurante,NO,El sitio oficial confirma que la sede social cuenta con un restaurante; sede lunes a viernes 10-18. Horario del restaurante sin confirmar: dudoso. ABRE LA VIA D.
Centro Laurak Bat (Restaurante Haritz),Av. Belgrano 1144,Monserrat,casa regional vasca con restaurante propio,NO,"HALLAZGO NUEVO. Opera el Restaurante Haritz. ABRE LA VIA D con oferta verificable, no con relato."
Miramar,Sarandi 1190 / Av. San Juan 1999 (misma ochava),San Cristobal,"Bar Notable, anexo 1225/26, Y Restaurante Iconico (16, 07/07/2026)",a medias,DOBLE RECONOCIMIENTO OFICIAL. Nuestra base solo lo tenia como Iconico.
Casal de Catalunya,Chacabuco 863,San Telmo,casa regional,NO,Fuera del perimetro de Monserrat pero contiguo. Registrar.
