orden_prioridad,nombre,barrio,polo_id,polo_nombre,hitos_reconocidos_en_polo,criterio_prioridad,estado_previo,nivel_previo,dias_desde_verificacion_previa,resultado,nivel_resultante,fecha_nueva,fuente_nueva,observaciones
1,BAR BRITANICO,San Telmo,R11,Boulevard Caseros,1,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,probablemente_abierto,v2,2026-07,https://www.timeout.com/es/buenos-aires/que-hacer-planes-experiencias-teatro-museo-bares-restaurantes-musica-avenidad-corrientes,Recomendación editorial reciente con visita propuesta; no es constatación directa.
2,CAFE DE LA U,Villa Urquiza,R17,Villa Urquiza,1,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2025-06-24,https://www.lanacion.com.ar/revista-lugares/villa-urquiza-el-barrio-tradicional-que-que-no-para-de-crecer-y-convoca-a-jovenes-y-foodies-nid24062025/,Pieza individual fechada; sigue requiriendo actualización para vigencia al corte.
3,CONFITERIA EL GRECO,Caballito,R10,Caballito,2,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v3,2026-02-25,https://caballitourbano.com.ar/caballito-jugo-con-su-historia/,Actividad pública fechada realizada dentro del establecimiento.
4,EL PROGRESO,Barracas,Z50,Barracas · Av. Montes de Oca,2,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
5,CAFE DE GARCIA,Villa Devoto,R15,Devoto,3,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v3,2026-02,https://static.buenosaires.gob.ar/sites/default/files/2026-02/DBA%20714%20WEB.pdf,Participación operativa fechada en agenda oficial.
6,CAFE MARGOT,Boedo,R14,Avenida Boedo,3,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-06-01,https://la100.cienradios.com/sociedad/cuanto-cuesta-una-merienda-para-2-personas-en-cafe-margot-en-junio-2026/,Pieza individual fechada con oferta de servicio.
7,ESQUINA HOMERO MANZI,Almagro,R14,Avenida Boedo,3,sostiene_condicion_historia; priorizar_por_pocos_hitos,en_riesgo,v1,95,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
8,MUSEO FOTOGRAFICO SIMIK,Chacarita,R09;R19,Chacarita;Federico Lacroze,3,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-04-21,https://www.infobae.com/sociedad/2020/03/15/la-fantastica-historia-del-bombero-que-se-transformo-en-el-mayor-coleccionista-de-maquinas-fotograficas-y-de-cine-del-pais//,La actualización pública ubica el museo dentro del bar; acredita el hecho a esa fecha.
9,STYLO CAFE,Villa Devoto,R15,Devoto,3,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,abierto_a_fecha_fuente,v2,2026-03-07,https://www.canal26.com/turismo/2026/03/07/un-viaje-al-pasado-el-bar-notable-de-villa-devoto-con-mas-de-70-anos-que-mantiene-viva-la-tradicion-del-cafe-de-pocillo/,Pieza individual fechada sobre el servicio.
10,CABILDO DE BUENOS AIRES,Monserrat,Z47,Monserrat y Congreso,5,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
11,LONDON CITY,Monserrat,Z47,Monserrat y Congreso,5,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
12,BAR 9 DE JULIO,Mataderos,Z33,Mataderos,6,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,298,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
13,LA ESCUELA,Nunez,Z41,Núñez,6,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
14,CAFE SAN BERNARDO,Villa Crespo,R08,Villa Crespo,8,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
15,ALMACEN Y BAR LAVALLE,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
16,BAR DEL ALVEAR PALACE HOTEL,Recoleta,R06,Recoleta,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
17,CELTA BAR,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
18,EL GATO NEGRO,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
19,LA ACADEMIA,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,417,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
20,LA BIELA,Recoleta,R06,Recoleta,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
21,LA GIRALDA,San Nicolas,R02;R12,Avenida Corrientes;Centro y Microcentro,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
22,LA OPERA,San Nicolas,R02,Avenida Corrientes,10,sostiene_condicion_historia; priorizar_por_pocos_hitos,abierto,v1,2,pendiente_pieza_individual_fechada,v1,,,No se localizó en esta pasada una pieza pública individual que supere el estándar previo.
